year,delta_noexp,exp_rate_terms,exp_rate_terms_clipped,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_hat,pop_after,lag_d1,lag_d2
2026,-31.095333550343376,0.1760563380281688,0.1760563380281688,852.0,149.99999999999983,0.0,149.99999999999983,118.90466644965645,970.9046664496565,,
2027,122.23352663438457,-0.029220028183416,-0.029220028183416,970.9046664496565,-28.369861717069075,0.0,-28.369861717069075,93.8636649173155,1064.768331366972,118.90466644965645,
2028,125.44010483781122,0.0704225352112674,0.0704225352112674,1064.768331366972,74.98368530753302,0.0,74.98368530753302,200.42379014534424,1265.1921215123161,93.8636649173155,118.90466644965645
