year,delta_noexp,exp_rate_terms,exp_rate_terms_clipped,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_hat,pop_after,lag_d1,lag_d2
2026,-30.612031044690507,3.0,0.5,28.0,14.0,0.0,14.0,-16.612031044690507,11.387968955309493,,
2027,-16.24788348849229,3.0,0.5,11.387968955309493,5.693984477654746,0.0,5.693984477654746,-10.553899010837542,0.8340699444719508,-16.612031044690507,
2028,-16.72009070145097,2.142857142857143,0.5,1.0,0.5,0.0,0.5,-16.22009070145097,-15.38602075697902,-10.553899010837542,-16.612031044690507
