町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減,原因
清水万石５丁目,2008,32.30769230769231,大幅増加,32.30769230769231,195.00000000000003,63.0,
月出１丁目,2008,31.5136476426799,激増,31.5136476426799,1209.0,381.0,
小峯４丁目,2022,30.38277511961722,大幅増加,30.38277511961722,418.00000000000006,127.0,
元三町１丁目,2021,30.21276595744681,大幅増加,30.21276595744681,235.0,71.0,
大江６丁目,2010,29.069767441860467,激増,29.069767441860467,1032.0,300.0,
二本木５丁目,2006,28.650137741046834,激増,28.650137741046834,726.0,208.0,
新屋敷１丁目,2001,28.306878306878307,激増,28.306878306878307,756.0,214.0,
大江６丁目,2013,27.349228611500703,激増,27.349228611500703,1426.0,390.0,
上熊本３丁目,2020,25.16297262059974,激増,25.16297262059974,1534.0,386.0,
新屋敷１丁目,2006,23.548387096774192,激増,23.548387096774192,1240.0,292.0,
画図町大字重富,2007,23.470122390208783,激増,23.470122390208783,1389.0,326.0,
長嶺南４丁目,2014,21.7707701637356,激増,21.7707701637356,1649.0,359.0,
京町本丁,2015,20.689655172413794,激増,20.689655172413794,1015.0,210.0,
大江２丁目,2018,20.0,激増,20.0,1040.0,208.0,
神水本町,2000,19.69587255611875,激増,19.69587255611875,1381.0,272.0,
渡鹿６丁目,2006,18.84422110552764,激増,18.84422110552764,1193.9999999999998,225.0,
世安町,1999,18.375499334221036,激増,18.375499334221036,2253.0000000000005,414.0,
大江２丁目,2019,16.185897435897438,激増,16.185897435897438,1248.0,202.0,
近見８丁目,2004,15.39961013645224,激増,15.39961013645224,1539.0,237.0,
九品寺５丁目,2019,15.127840909090908,激増,15.127840909090908,1408.0,213.0,
水前寺公園,1999,14.598930481283425,激増,14.598930481283425,1870.0,273.0,
本山町,2002,13.855799373040751,激増,13.855799373040751,1595.0,221.0,
坪井６丁目,2004,13.66646598434678,激増,13.66646598434678,1661.0,227.0,
徳王町,2005,13.527851458885944,激増,13.527851458885944,1508.0,204.0,
東町３丁目,2018,13.465195891974137,激増,13.465195891974137,2629.0,354.0,
長嶺南３丁目,2008,12.665489849955868,激増,12.665489849955868,2266.0,287.0,
月出２丁目,2001,12.529002320185617,激増,12.529002320185617,1724.0,216.0,
大江３丁目,2017,12.522907758094073,激増,12.522907758094073,1637.0000000000002,205.0,
長嶺南３丁目,2006,12.278928751894895,激増,12.278928751894895,1979.0,243.0,
神水本町,2018,11.74751607247224,激増,11.74751607247224,1711.0,201.0,
水前寺公園,2010,10.278372591006423,激増,10.278372591006423,2335.0,240.0,
長嶺東５丁目,2002,9.246417013407305,激増,9.246417013407305,2163.0,200.0,
帯山１丁目,2007,8.16546762589928,激増,8.16546762589928,2780.0,227.0,
小山町,1999,4.84996510816469,激増,4.84996510816469,5732.0,278.0,
東町４丁目,2007,-4.8177360903858455,激減,4.8177360903858455,4691.0,-226.0,
東町４丁目,2009,-4.829480430304418,激減,4.829480430304418,4368.999999999999,-211.0,
東町４丁目,2006,-4.905736874113116,激減,4.905736874113116,4933.0,-242.0,
東町４丁目,2014,-5.046895935685574,激減,5.046895935685574,4478.000000000001,-226.0,
東町４丁目,2020,-5.537720706260032,激減,5.537720706260032,3738.0,-207.0,
東町３丁目,2024,-7.402084081925979,激減,7.402084081925979,2783.0,-206.0,
東町３丁目,2015,-7.519046041735675,激減,7.519046041735675,3018.9999999999995,-227.0,
江津１丁目,2005,-15.835616438356166,激減,15.835616438356166,1825.0,-289.0,
大江２丁目,2004,-16.852540272614622,激減,16.852540272614622,1614.0,-272.0,
清水本町,1999,-20.674079221681723,激減,20.674079221681723,2878.0,-595.0,
楠１丁目,2000,-21.983039791258967,激減,21.983039791258967,1533.0,-337.0,
龍田町弓削,2000,-23.987690314220927,激減,23.987690314220927,6174.0,-1481.0,
西原３丁目,2015,-29.3007769145394,激減,29.3007769145394,901.0,-264.0,
楠２丁目,2014,-31.132075471698112,大幅減少,31.132075471698112,636.0,-198.0,
東町１丁目,2024,-31.717171717171716,大幅減少,31.717171717171716,495.0,-157.0,
春日３丁目,2009,-32.114882506527415,大幅減少,32.114882506527415,383.0,-123.0,
土河原町,2010,-37.41058655221745,激減,37.41058655221745,1398.0,-523.0,
八幡１丁目,2000,-39.7887323943662,大幅減少,39.7887323943662,284.0,-113.0,
上通町,2006,-40.298507462686565,大幅減少,40.298507462686565,402.0,-162.0,
奥古閑町,2008,-50.73572689817539,激減,50.73572689817539,1699.0000000000002,-862.0,
清水亀井町,2006,-53.785798352295025,激減,53.785798352295025,2549.0,-1371.0,
世安町,2022,-54.680412371134025,激減,54.680412371134025,2425.0,-1326.0,
春日３丁目,2010,-55.00000000000001,大幅減少,55.00000000000001,260.0,-143.0,
清水町大字打越,1999,-55.96666666666666,激減,55.96666666666666,3000.0,-1679.0,
下硯川町,2011,-58.54309687261632,激減,58.54309687261632,2622.0000000000005,-1535.0,
沼山津４丁目,2006,-62.24561403508771,激減,62.24561403508771,1425.0,-887.0,
田迎町大字良町,2001,-78.57142857142857,大幅減少,78.57142857142857,210.0,-165.0,
御幸笛田町,2001,-78.89908256880734,大幅減少,78.89908256880734,218.0,-172.0,
小峯４丁目,2006,-80.74534161490683,激減,80.74534161490683,483.0,-390.0,
中原町,2015,-83.92523364485982,激減,83.92523364485982,1070.0,-898.0,
清水万石５丁目,2006,-84.43337484433376,激減,84.43337484433376,803.0,-678.0,
小島上町,2008,-85.05154639175258,激減,85.05154639175258,775.9999999999999,-660.0,
鶴羽田町,2010,-86.39303482587066,激減,86.39303482587066,4019.999999999999,-3473.0,
海路口町,2006,-88.72502378686966,激減,88.72502378686966,2101.9999999999995,-1865.0,
画図町大字下江津,2008,-89.77777777777777,激減,89.77777777777777,225.00000000000003,-202.0,
近見町,2001,-90.16018306636155,激減,90.16018306636155,1311.0,-1182.0,
画図町大字下江津,2005,-90.93556607207864,激減,90.93556607207864,2747.0,-2498.0,
御領７丁目,1999,-91.1214953271028,大幅減少,91.1214953271028,214.0,-195.0,
小山町,2004,-91.41075604053,激減,91.41075604053,6415.0,-5864.0,
池上町,2006,-91.54055102832751,激減,91.54055102832751,2577.0,-2359.0,
御幸西無田町,2000,-93.9203354297694,激減,93.9203354297694,477.0,-448.0,
清水町大字松崎,1999,-94.77124183006536,大幅減少,94.77124183006536,153.00000000000003,-145.0,
龍田町弓削,2006,-94.80177993527508,激減,94.80177993527508,4944.0,-4687.0,
健軍本町,2007,-95.0,激減,95.0,240.0,-228.0,
江津２丁目,2006,-95.01703577512777,激減,95.01703577512777,2348.0,-2231.0,
徳王町,2009,-95.79918032786884,激減,95.79918032786884,1952.0,-1870.0,
田迎町大字良町,2000,-95.8489820122554,激減,95.8489820122554,5059.0,-4849.0,
坪井６丁目,2010,-96.03015075376884,激減,96.03015075376884,1990.0,-1911.0,
島崎７丁目,2001,-96.44076060458312,激減,96.44076060458312,2051.0,-1978.0,
御幸笛田町,2000,-96.83599419448475,激減,96.83599419448475,6890.0,-6672.0,
黒髪町大字坪井,2000,-97.53086419753086,激減,97.53086419753086,324.0,-316.0,
長嶺東８丁目,2004,-97.53424657534246,激減,97.53424657534246,1095.0,-1068.0,
御幸木部町,2000,-97.86392405063292,激減,97.86392405063292,1263.9999999999998,-1237.0,
画図町大字上無田,2005,-97.88079470198674,激減,97.88079470198674,755.0000000000001,-739.0,
戸島町,2003,-98.27044025157232,激減,98.27044025157232,11448.0,-11250.0,
薄場町,2001,-98.30508474576273,激減,98.30508474576273,1947.0,-1914.0,
田崎町,1999,-98.4788732394366,激減,98.4788732394366,3550.0000000000005,-3496.0,
石原町,2004,-99.21337266470007,激減,99.21337266470007,1017.0,-1009.0,
清水町大字打越,2002,-99.4752623688156,激減,99.4752623688156,1334.0,-1327.0,
上南部町,2001,-99.5366079703429,激減,99.5366079703429,2158.0000000000005,-2148.0,
