町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減
呉服町３丁目,2011,93.98496240601504,大幅増加,93.98496240601504,133.0,125.0
御幸笛田町,2017,91.30434782608695,自然増減,91.30434782608695,23.0,21.0
東子飼町,2000,86.79245283018868,激増,86.79245283018868,424.0,368.0
春日３丁目,2014,84.32601880877742,激増,84.32601880877742,319.00000000000006,269.0
松原町,2023,80.0,自然増減,80.0,5.0,4.0
山ノ内１丁目,2007,75.86206896551724,激増,75.86206896551724,290.0,220.0
上京塚町,2001,75.75757575757575,自然増減,75.75757575757575,33.00000000000001,25.0
米屋町１丁目,2008,70.98445595854922,大幅増加,70.98445595854922,193.0,137.0
南熊本２丁目,2018,70.39106145251397,大幅増加,70.39106145251397,179.0,126.0
魚屋町２丁目,2020,66.66666666666666,自然増減,66.66666666666666,12.000000000000004,8.0
二本木５丁目,2020,66.19718309859155,自然増減,66.19718309859155,71.0,47.0
紺屋町１丁目,2020,64.70588235294117,自然増減,64.70588235294117,68.00000000000001,44.0
御幸笛田町,2016,64.28571428571429,自然増減,64.28571428571429,13.999999999999998,9.0
流通団地２丁目,2007,62.5,自然増減,62.5,8.0,5.0
九品寺２丁目,2008,61.511423550087876,激増,61.511423550087876,569.0,350.0
近見２丁目,2001,61.04868913857678,激増,61.04868913857678,800.9999999999999,489.0
中江町,2016,60.97560975609756,自然増減,60.97560975609756,41.0,25.0
水道町,2004,60.53268765133172,激増,60.53268765133172,413.0,250.0
春日３丁目,2012,60.49382716049383,自然増減,60.49382716049383,81.0,49.0
川端町,2010,59.09090909090909,自然増減,59.09090909090909,22.0,13.0
古大工町,2024,58.82352941176471,自然増減,58.82352941176471,51.0,30.0
田迎１丁目,2005,58.77437325905292,激増,58.77437325905292,359.0,211.0
清水万石５丁目,2009,58.52713178294574,大幅増加,58.52713178294574,258.0,151.0
清水万石５丁目,2007,56.00000000000001,大幅増加,56.00000000000001,124.99999999999999,70.0
段山本町,2023,55.98705501618123,大幅増加,55.98705501618123,309.0,173.0
九品寺６丁目,2006,55.88235294117647,激増,55.88235294117647,544.0,304.0
桜町,2020,55.115511551155116,大幅増加,55.115511551155116,303.0,167.0
近見５丁目,2012,53.333333333333336,自然増減,53.333333333333336,15.0,8.0
馬渡１丁目,2002,53.333333333333336,大幅増加,53.333333333333336,225.0,120.0
出仲間９丁目,2014,52.093023255813954,大幅増加,52.093023255813954,215.0,112.0
大江３丁目,2016,51.855287569573285,激増,51.855287569573285,1078.0,559.0
小峯４丁目,2020,51.4018691588785,大幅増加,51.4018691588785,214.00000000000003,110.0
八幡８丁目,2006,50.79365079365079,自然増減,50.79365079365079,63.0,32.0
横紺屋町,2000,50.0,自然増減,50.0,18.0,9.0
紺屋町１丁目,2001,50.0,自然増減,50.0,16.0,8.0
出仲間５丁目,2007,49.795918367346935,激増,49.795918367346935,490.0,244.0
呉服町２丁目,2001,49.62406015037594,大幅増加,49.62406015037594,133.0,66.0
千葉城町,2014,49.572649572649574,大幅増加,49.572649572649574,351.0,174.0
九品寺６丁目,2001,49.44071588366891,激増,49.44071588366891,447.0,221.0
出仲間８丁目,2003,47.82608695652174,大幅増加,47.82608695652174,345.0,165.0
佐土原３丁目,2013,47.651006711409394,大幅増加,47.651006711409394,149.0,71.0
中江町,2003,46.93877551020408,自然増減,46.93877551020408,49.0,23.0
近見９丁目,2000,45.94594594594595,自然増減,45.94594594594595,37.0,17.0
春日２丁目,2025,45.645645645645644,激増,45.645645645645644,666.0,304.0
米屋町１丁目,2009,44.84848484848485,大幅増加,44.84848484848485,330.0,148.0
近見５丁目,2023,44.0,自然増減,44.0,25.0,11.0
草葉町,2003,44.0,大幅増加,44.0,275.0,121.0
武蔵ケ丘９丁目,2007,43.641618497109825,大幅増加,43.641618497109825,346.0,151.0
船場町３丁目,2005,43.28358208955223,大幅増加,43.28358208955223,134.00000000000003,58.0
出仲間９丁目,2006,41.9753086419753,大幅増加,41.9753086419753,162.00000000000003,68.0
佐土原２丁目,2017,40.34653465346535,大幅増加,40.34653465346535,404.0,163.0
城東町,2005,40.09433962264151,大幅増加,40.09433962264151,212.0,85.0
古桶屋町,2018,39.473684210526315,自然増減,39.473684210526315,38.0,15.0
紺屋町２丁目,2004,39.39393939393939,自然増減,39.39393939393939,33.0,13.0
近見５丁目,2022,38.88888888888889,自然増減,38.88888888888889,17.999999999999996,7.0
平田２丁目,2012,38.767395626242546,大幅増加,38.767395626242546,503.0,195.0
横紺屋町,1999,38.46153846153847,自然増減,38.46153846153847,12.999999999999998,5.0
元三町１丁目,2017,38.46153846153847,自然増減,38.46153846153847,90.99999999999999,35.0
近見８丁目,2002,37.80135004821601,激増,37.80135004821601,1037.0,392.0
春日１丁目,2012,37.640449438202246,激増,37.640449438202246,890.0000000000001,335.0
小峯４丁目,2019,37.17948717948718,大幅増加,37.17948717948718,156.0,58.0
孫代町,2015,37.04347826086957,激増,37.04347826086957,574.9999999999999,213.0
上熊本１丁目,2021,36.74641148325359,激増,36.74641148325359,1045.0,384.0
戸島町,2010,36.31713554987212,大幅増加,36.31713554987212,391.0,142.0
南高江３丁目,1999,36.029411764705884,自然増減,36.029411764705884,136.0,49.0
江津２丁目,2013,35.714285714285715,大幅増加,35.714285714285715,224.0,80.0
元三町１丁目,2019,35.25179856115108,自然増減,35.25179856115108,139.0,49.0
坪井６丁目,2000,34.93975903614458,激増,34.93975903614458,1162.0,406.0
飛田町,2000,34.48275862068966,自然増減,34.48275862068966,28.999999999999996,10.0
佐土原３丁目,2015,34.385964912280706,大幅増加,34.385964912280706,285.0,98.0
画図町大字下江津,2014,33.33333333333333,自然増減,33.33333333333333,12.000000000000004,4.0
紺屋阿弥陀寺町,2018,33.33333333333333,自然増減,33.33333333333333,9.000000000000002,3.0
出仲間３丁目,2003,33.114035087719294,大幅増加,33.114035087719294,456.00000000000006,151.0
南熊本２丁目,2020,32.33532934131736,大幅増加,32.33532934131736,334.00000000000006,108.0
清水万石５丁目,2008,32.30769230769231,大幅増加,32.30769230769231,195.00000000000003,63.0
二本木５丁目,2021,32.20338983050847,自然増減,32.20338983050847,118.00000000000001,38.0
月出１丁目,2008,31.5136476426799,激増,31.5136476426799,1209.0,381.0
二本木５丁目,2019,31.48148148148148,自然増減,31.48148148148148,54.0,17.0
小峯４丁目,2022,30.38277511961722,大幅増加,30.38277511961722,418.00000000000006,127.0
川端町,2016,30.23255813953488,自然増減,30.23255813953488,43.0,13.0
元三町１丁目,2021,30.21276595744681,大幅増加,30.21276595744681,235.0,71.0
板屋町,2023,30.0,自然増減,30.0,10.0,3.0
魚屋町２丁目,2021,30.0,自然増減,30.0,20.0,6.0
坪井６丁目,2018,29.87012987012987,自然増減,29.87012987012987,77.0,23.0
古川町,2018,29.807692307692307,自然増減,29.807692307692307,104.0,31.0
御幸笛田町,2018,29.545454545454547,自然増減,29.545454545454547,44.0,13.0
佐土原３丁目,2014,29.545454545454547,自然増減,29.545454545454547,220.0,65.0
上京塚町,2008,29.166666666666668,自然増減,29.166666666666668,48.0,14.0
大江６丁目,2010,29.069767441860467,激増,29.069767441860467,1032.0,300.0
小峯４丁目,2021,29.01234567901235,自然増減,29.01234567901235,324.0,94.0
大江５丁目,2006,28.678678678678676,自然増減,28.678678678678676,666.0,191.0
二本木５丁目,2006,28.650137741046834,激増,28.650137741046834,726.0,208.0
川端町,2025,28.57142857142857,自然増減,28.57142857142857,42.0,12.0
画図町大字下江津,2019,28.57142857142857,自然増減,28.57142857142857,14.0,4.0
横紺屋町,2007,28.57142857142857,自然増減,28.57142857142857,42.0,12.0
迎町１丁目,2017,28.508124076809455,自然増減,28.508124076809455,677.0,193.0
新屋敷１丁目,2001,28.306878306878307,激増,28.306878306878307,756.0,214.0
八幡６丁目,2001,27.764127764127768,自然増減,27.764127764127768,406.99999999999994,113.0
春日６丁目,2014,27.676240208877285,自然増減,27.676240208877285,383.0,106.0
南高江５丁目,1999,27.586206896551722,自然増減,27.586206896551722,29.0,8.0
秋津町沼山津,2011,27.450980392156865,自然増減,27.450980392156865,50.99999999999999,14.0
大江６丁目,2013,27.349228611500703,激増,27.349228611500703,1426.0,390.0
春日５丁目,2021,26.590909090909093,自然増減,26.590909090909093,439.99999999999994,117.0
馬渡１丁目,2010,26.55367231638418,自然増減,26.55367231638418,531.0,141.0
山室３丁目,2008,26.53061224489796,自然増減,26.53061224489796,244.99999999999997,65.0
楠２丁目,2015,26.48401826484018,自然増減,26.48401826484018,438.0,116.0
上京塚町,2007,26.31578947368421,自然増減,26.31578947368421,38.0,10.0
南高江３丁目,2012,26.143790849673206,自然増減,26.143790849673206,153.0,40.0
南高江５丁目,2020,26.0,自然増減,26.0,50.0,13.0
南千反畑町,2002,25.4416961130742,自然増減,25.4416961130742,566.0,144.0
武蔵ケ丘４丁目,2019,25.314183123877914,自然増減,25.314183123877914,557.0000000000001,141.0
上熊本３丁目,2020,25.16297262059974,激増,25.16297262059974,1534.0,386.0
元三町１丁目,2020,25.0,自然増減,25.0,188.0,47.0
板屋町,2002,25.0,自然増減,25.0,28.0,7.0
新南部２丁目,2001,24.84725050916497,自然増減,24.84725050916497,491.0,122.0
二本木１丁目,2015,24.725274725274726,自然増減,24.725274725274726,182.0,45.0
城山上代町,2002,24.401913875598087,自然増減,24.401913875598087,209.0,51.0
近見９丁目,2015,24.358974358974358,自然増減,24.358974358974358,78.0,19.0
田迎町大字田井島,2016,24.324324324324326,自然増減,24.324324324324326,37.0,9.0
保田窪２丁目,2006,24.11994784876141,自然増減,24.11994784876141,767.0,185.0
田迎４丁目,2007,23.762376237623762,自然増減,23.762376237623762,404.0,96.0
新屋敷１丁目,2006,23.548387096774192,激増,23.548387096774192,1240.0,292.0
画図町大字重富,2007,23.470122390208783,激増,23.470122390208783,1389.0,326.0
紺屋町２丁目,2023,23.456790123456788,自然増減,23.456790123456788,81.0,19.0
段山本町,2019,23.348017621145374,自然増減,23.348017621145374,227.00000000000003,53.0
南熊本３丁目,2025,23.32155477031802,自然増減,23.32155477031802,283.0,66.0
秋津町沼山津,2019,23.28767123287671,自然増減,23.28767123287671,73.0,17.0
佐土原２丁目,2004,23.28767123287671,自然増減,23.28767123287671,219.0,51.0
細工町２丁目,2011,23.076923076923077,自然増減,23.076923076923077,52.0,12.0
魚屋町１丁目,2013,23.076923076923077,自然増減,23.076923076923077,13.0,3.0
上林町,2015,23.051948051948052,自然増減,23.051948051948052,308.0,71.0
長嶺西３丁目,2009,22.797927461139896,自然増減,22.797927461139896,193.0,44.0
南熊本４丁目,2023,22.794117647058822,自然増減,22.794117647058822,272.0,62.0
新屋敷３丁目,2010,22.638680659670165,自然増減,22.638680659670165,667.0,151.0
鍛冶屋町,2015,22.459893048128343,自然増減,22.459893048128343,187.0,42.0
本荘１丁目,2025,22.22222222222222,自然増減,22.22222222222222,18.0,4.0
川端町,2022,22.22222222222222,自然増減,22.22222222222222,45.0,10.0
万町２丁目,2013,22.22222222222222,自然増減,22.22222222222222,18.0,4.0
船場町３丁目,2003,22.105263157894736,自然増減,22.105263157894736,95.0,21.0
佐土原３丁目,2016,21.93211488250653,自然増減,21.93211488250653,383.0,84.0
長嶺南４丁目,2014,21.770770163735598,激増,21.770770163735598,1649.0,359.0
馬渡１丁目,2003,21.73913043478261,自然増減,21.73913043478261,345.0,75.0
呉服町３丁目,1999,21.73913043478261,自然増減,21.73913043478261,92.0,20.0
武蔵ケ丘９丁目,2011,21.651090342679126,自然増減,21.651090342679126,642.0000000000001,139.0
八幡８丁目,2010,21.649484536082475,自然増減,21.649484536082475,97.0,21.0
山ノ内２丁目,2001,21.55688622754491,自然増減,21.55688622754491,167.0,36.0
江越１丁目,2004,21.553090332805073,自然増減,21.553090332805073,631.0,136.0
保田窪２丁目,2004,21.553090332805073,自然増減,21.553090332805073,631.0,136.0
硯川町,2019,21.428571428571427,自然増減,21.428571428571427,616.0,132.0
清水万石１丁目,1999,21.374045801526716,自然増減,21.374045801526716,655.0,140.0
上京塚町,2020,21.34831460674157,自然増減,21.34831460674157,89.00000000000001,19.0
小峯４丁目,2015,21.25,自然増減,21.25,80.0,17.0
川尻２丁目,2002,21.195652173913043,自然増減,21.195652173913043,184.0,39.0
春竹町大字春竹,2019,20.994475138121548,自然増減,20.994475138121548,361.99999999999994,76.0
新市街,2019,20.863309352517987,自然増減,20.863309352517987,139.0,29.0
細工町５丁目,2002,20.833333333333336,自然増減,20.833333333333336,47.99999999999999,10.0
京町本丁,2015,20.689655172413794,激増,20.689655172413794,1015.0,210.0
呉服町３丁目,2016,20.44609665427509,自然増減,20.44609665427509,269.0,55.0
古大工町,2016,20.37037037037037,自然増減,20.37037037037037,54.0,11.0
段山本町,2018,20.105820105820104,自然増減,20.105820105820104,189.0,38.0
本荘１丁目,2009,20.0,自然増減,20.0,45.0,9.0
慶徳堀町,2002,20.0,自然増減,20.0,20.0,4.0
八幡８丁目,2002,20.0,自然増減,20.0,55.0,11.0
万町２丁目,2015,20.0,自然増減,20.0,20.0,4.0
大江２丁目,2018,20.0,激増,20.0,1040.0,208.0
魚屋町３丁目,2020,20.0,自然増減,20.0,5.0,1.0
南坪井町,2025,19.892473118279568,自然増減,19.892473118279568,558.0,111.0
秋津新町,2021,19.852941176470587,自然増減,19.852941176470587,272.0,54.0
春日３丁目,2023,19.81132075471698,自然増減,19.81132075471698,848.0000000000001,168.0
紺屋今町,2006,19.78021978021978,自然増減,19.78021978021978,90.99999999999999,18.0
神水本町,2000,19.695872556118754,激増,19.695872556118754,1381.0,272.0
出仲間３丁目,2002,19.68503937007874,自然増減,19.68503937007874,381.0,75.0
秋津１丁目,2004,19.65811965811966,自然増減,19.65811965811966,584.9999999999999,115.0
井川淵町,2024,19.631901840490798,自然増減,19.631901840490798,163.0,32.0
小峯４丁目,2016,19.587628865979383,自然増減,19.587628865979383,96.99999999999999,19.0
楠２丁目,2017,19.53405017921147,自然増減,19.53405017921147,558.0,109.0
紺屋町２丁目,2009,19.444444444444446,自然増減,19.444444444444446,35.99999999999999,7.0
若葉１丁目,2017,19.428571428571427,自然増減,19.428571428571427,525.0,102.0
東町１丁目,1999,19.41031941031941,自然増減,19.41031941031941,407.0,79.0
本荘１丁目,2019,19.230769230769234,自然増減,19.230769230769234,25.999999999999996,5.0
古大工町,2011,19.148936170212767,自然増減,19.148936170212767,46.99999999999999,9.0
小峯３丁目,2016,19.103521878335112,自然増減,19.103521878335112,937.0,179.0
清水町大字室園,2019,19.047619047619047,自然増減,19.047619047619047,21.0,4.0
万町２丁目,2020,19.047619047619047,自然増減,19.047619047619047,21.0,4.0
御領６丁目,2007,18.97810218978102,自然増減,18.97810218978102,274.00000000000006,52.0
南高江５丁目,2000,18.91891891891892,自然増減,18.91891891891892,37.0,7.0
佐土原３丁目,2020,18.896321070234116,自然増減,18.896321070234116,598.0,113.0
八幡８丁目,2005,18.867924528301888,自然増減,18.867924528301888,52.99999999999999,10.0
武蔵ケ丘９丁目,2014,18.858560794044664,自然増減,18.858560794044664,806.0000000000001,152.0
渡鹿６丁目,2006,18.84422110552764,激増,18.84422110552764,1193.9999999999998,225.0
近見９丁目,2005,18.75,自然増減,18.75,64.0,12.0
上水前寺１丁目,2018,18.738049713193117,自然増減,18.738049713193117,523.0,98.0
元三町１丁目,2022,18.627450980392158,自然増減,18.627450980392158,306.0,57.0
東町１丁目,2003,18.561484918793504,自然増減,18.561484918793504,431.0,80.0
西原１丁目,2008,18.424242424242422,自然増減,18.424242424242422,825.0000000000001,152.0
世安町,1999,18.375499334221036,激増,18.375499334221036,2253.0000000000005,414.0
水道町,2023,18.337129840546698,自然増減,18.337129840546698,878.0,161.0
荒尾町,1999,18.27956989247312,自然増減,18.27956989247312,279.0,51.0
手取本町,2009,18.181818181818183,自然増減,18.181818181818183,33.0,6.0
小峯４丁目,2018,18.181818181818183,自然増減,18.181818181818183,132.0,24.0
紺屋今町,2016,18.085106382978726,自然増減,18.085106382978726,94.0,17.0
本山３丁目,2019,17.946058091286307,自然増減,17.946058091286307,964.0,173.0
出町,2009,17.815344603381014,自然増減,17.815344603381014,769.0,137.0
八幡８丁目,2011,17.796610169491526,自然増減,17.796610169491526,118.0,21.0
船場町２丁目,2007,17.699115044247787,自然増減,17.699115044247787,113.0,20.0
慶徳堀町,2001,17.647058823529413,自然増減,17.647058823529413,17.0,3.0
清水町大字室園,2015,17.647058823529413,自然増減,17.647058823529413,17.0,3.0
菅原町,2011,17.528373266078184,自然増減,17.528373266078184,793.0,139.0
黒髪７丁目,2013,17.391304347826086,自然増減,17.391304347826086,759.0,132.0
二本木１丁目,2021,17.372881355932204,自然増減,17.372881355932204,236.0,41.0
南高江３丁目,2013,17.098445595854923,自然増減,17.098445595854923,193.0,33.0
渡鹿９丁目,2021,17.094017094017094,自然増減,17.094017094017094,117.0,20.0
薄場町,2020,17.073170731707318,自然増減,17.073170731707318,41.0,7.0
桜木６丁目,2003,17.073170731707318,自然増減,17.073170731707318,41.0,7.0
小山町,2017,17.05263157894737,自然増減,17.05263157894737,475.0,81.0
細工町２丁目,2021,17.02127659574468,自然増減,17.02127659574468,47.0,8.0
近見９丁目,2002,16.9811320754717,自然増減,16.9811320754717,52.99999999999999,9.0
大窪３丁目,2023,16.967509025270758,自然増減,16.967509025270758,277.0,47.0
南高江５丁目,2024,16.923076923076923,自然増減,16.923076923076923,65.0,11.0
中唐人町,2008,16.77018633540373,自然増減,16.77018633540373,161.0,27.0
二本木５丁目,2025,16.751269035532996,自然増減,16.751269035532996,197.0,33.0
薄場町,2013,16.666666666666664,自然増減,16.666666666666664,36.00000000000001,6.0
細工町１丁目,2011,16.666666666666664,自然増減,16.666666666666664,114.00000000000003,19.0
御幸木部町,2021,16.666666666666664,自然増減,16.666666666666664,132.00000000000003,22.0
元三町５丁目,2020,16.666666666666664,自然増減,16.666666666666664,36.00000000000001,6.0
万町２丁目,2016,16.666666666666664,自然増減,16.666666666666664,24.000000000000007,4.0
古川町,2021,16.666666666666664,自然増減,16.666666666666664,138.00000000000003,23.0
水道町,2009,16.532258064516128,自然増減,16.532258064516128,744.0,123.0
小糸山町,2019,16.50943396226415,自然増減,16.50943396226415,424.0,70.0
米屋町２丁目,2021,16.450216450216452,自然増減,16.450216450216452,231.0,38.0
日吉１丁目,2013,16.422594142259413,自然増減,16.422594142259413,956.0,157.0
山ノ内４丁目,2000,16.40625,自然増減,16.40625,128.0,21.0
佐土原３丁目,2012,16.40625,自然増減,16.40625,128.0,21.0
山ノ内４丁目,1999,16.363636363636363,自然増減,16.363636363636363,110.0,18.0
島崎４丁目,2000,16.303099885189436,自然増減,16.303099885189436,871.0,142.0
南高江５丁目,2015,16.27906976744186,自然増減,16.27906976744186,43.0,7.0
中江町,2013,16.27906976744186,自然増減,16.27906976744186,43.0,7.0
大江２丁目,2019,16.185897435897438,激増,16.185897435897438,1248.0,202.0
蓮台寺５丁目,2014,16.184971098265898,自然増減,16.184971098265898,172.99999999999997,28.0
上京塚町,2012,16.176470588235293,自然増減,16.176470588235293,68.00000000000001,11.0
草葉町,2009,16.13691931540342,自然増減,16.13691931540342,409.0,66.0
練兵町,2009,16.056338028169016,自然増減,16.056338028169016,710.0,114.0
長嶺西３丁目,2025,16.0,自然増減,16.0,300.0,48.0
万町２丁目,2021,16.0,自然増減,16.0,25.0,4.0
慶徳堀町,2014,16.0,自然増減,16.0,175.0,28.0
二本木５丁目,2023,15.950920245398773,自然増減,15.950920245398773,163.0,26.0
南千反畑町,2025,15.950920245398773,自然増減,15.950920245398773,978.0,156.0
御幸笛田町,2023,15.942028985507244,自然増減,15.942028985507244,69.0,11.0
細工町５丁目,2022,15.909090909090908,自然増減,15.909090909090908,44.0,7.0
飛田町,2014,15.909090909090908,自然増減,15.909090909090908,44.0,7.0
田迎町大字田井島,2018,15.909090909090908,自然増減,15.909090909090908,44.0,7.0
九品寺１丁目,2025,15.88477366255144,自然増減,15.88477366255144,1215.0,193.0
下通２丁目,2016,15.822784810126583,自然増減,15.822784810126583,316.0,50.0
桜木６丁目,2019,15.789473684210526,自然増減,15.789473684210526,95.0,15.0
楠１丁目,2004,15.721231766612643,自然増減,15.721231766612643,1234.0,194.0
北迫町,2020,15.66265060240964,自然増減,15.66265060240964,166.0,26.0
万町２丁目,1999,15.625,自然増減,15.625,32.0,5.0
通町,2017,15.625,自然増減,15.625,64.0,10.0
呉服町２丁目,2016,15.611814345991561,自然増減,15.611814345991561,237.0,37.0
南熊本４丁目,2024,15.568862275449103,自然増減,15.568862275449103,334.0,52.0
船場町３丁目,2004,15.517241379310345,自然増減,15.517241379310345,116.0,18.0
幸田２丁目,2002,15.476190476190476,自然増減,15.476190476190476,588.0,91.0
段山本町,2021,15.412186379928317,自然増減,15.412186379928317,279.0,43.0
近見８丁目,2004,15.39961013645224,激増,15.39961013645224,1539.0,237.0
魚屋町２丁目,2013,15.384615384615385,自然増減,15.384615384615385,13.0,2.0
川端町,2012,15.384615384615385,自然増減,15.384615384615385,39.0,6.0
古桶屋町,2017,15.151515151515152,自然増減,15.151515151515152,33.0,5.0
中江町,2020,15.151515151515152,自然増減,15.151515151515152,66.0,10.0
八幡５丁目,2003,15.131578947368421,自然増減,15.131578947368421,456.0,69.0
九品寺５丁目,2019,15.127840909090908,激増,15.127840909090908,1408.0,213.0
秋津町沼山津,2024,15.11627906976744,自然増減,15.11627906976744,86.0,13.0
大窪１丁目,2017,15.104166666666666,自然増減,15.104166666666666,192.0,29.0
千葉城町,2015,15.04761904761905,自然増減,15.04761904761905,525.0,79.0
呉服町２丁目,2021,14.982578397212542,自然増減,14.982578397212542,287.0,43.0
渡鹿４丁目,2010,14.862914862914863,自然増減,14.862914862914863,693.0,103.0
桜木５丁目,2000,14.862385321100918,自然増減,14.862385321100918,545.0,81.0
新屋敷１丁目,2002,14.845360824742269,自然増減,14.845360824742269,970.0,144.0
新市街,2023,14.814814814814813,自然増減,14.814814814814813,135.0,20.0
馬渡１丁目,2004,14.761904761904763,自然増減,14.761904761904763,420.0,62.0
飛田町,2012,14.634146341463413,自然増減,14.634146341463413,41.0,6.0
水前寺公園,1999,14.598930481283423,激増,14.598930481283423,1870.0,273.0
春日３丁目,2015,14.45578231292517,自然増減,14.45578231292517,588.0,85.0
古川町,2025,14.393939393939394,自然増減,14.393939393939394,132.0,19.0
長嶺東７丁目,2004,14.363143631436316,自然増減,14.363143631436316,369.0,53.0
山ノ内２丁目,2008,14.345991561181433,自然増減,14.345991561181433,237.0,34.0
二本木２丁目,2016,14.331210191082802,自然増減,14.331210191082802,628.0,90.0
東阿弥陀寺町,2008,14.285714285714285,自然増減,14.285714285714285,14.0,2.0
通町,2004,14.285714285714285,自然増減,14.285714285714285,49.0,7.0
桜木６丁目,2011,14.285714285714285,自然増減,14.285714285714285,35.0,5.0
魚屋町３丁目,2008,14.285714285714285,自然増減,14.285714285714285,7.0,1.0
古川町,2017,14.285714285714285,自然増減,14.285714285714285,91.0,13.0
通町,2015,14.285714285714285,自然増減,14.285714285714285,56.0,8.0
田迎町大字田井島,2008,14.285714285714285,自然増減,14.285714285714285,42.0,6.0
二本木２丁目,2019,14.246947082767978,自然増減,14.246947082767978,737.0,105.0
九品寺５丁目,2005,14.217633042096903,自然増減,14.217633042096903,1259.0,179.0
井川淵町,2008,14.17910447761194,自然増減,14.17910447761194,134.0,19.0
近見町,2017,14.084507042253522,自然増減,14.084507042253522,71.0,10.0
二本木２丁目,2023,14.072494669509595,自然増減,14.072494669509595,938.0,132.0
呉服町２丁目,2007,14.07035175879397,自然増減,14.07035175879397,199.0,28.0
春日１丁目,2002,14.047619047619047,自然増減,14.047619047619047,840.0,118.0
山ノ内４丁目,2006,14.02439024390244,自然増減,14.02439024390244,163.99999999999997,23.0
米屋町３丁目,2016,14.009661835748794,自然増減,14.009661835748794,206.99999999999997,29.0
飛田町,2017,14.000000000000002,自然増減,14.000000000000002,49.99999999999999,7.0
長嶺南８丁目,2002,13.9937106918239,自然増減,13.9937106918239,636.0,89.0
川端町,2014,13.953488372093023,自然増減,13.953488372093023,43.0,6.0
山ノ内２丁目,2007,13.942307692307693,自然増減,13.942307692307693,208.0,29.0
河原町,2007,13.939393939393941,自然増減,13.939393939393941,165.0,23.0
沼山津３丁目,2019,13.938053097345133,自然増減,13.938053097345133,904.0,126.0
南高江５丁目,2012,13.88888888888889,自然増減,13.88888888888889,36.0,5.0
上熊本２丁目,2014,13.874345549738221,自然増減,13.874345549738221,764.0,106.0
紺屋町３丁目,2016,13.861386138613863,自然増減,13.861386138613863,100.99999999999999,14.0
本山町,2002,13.855799373040753,激増,13.855799373040753,1595.0,221.0
小峯４丁目,2017,13.793103448275861,自然増減,13.793103448275861,116.0,16.0
月出１丁目,2006,13.774973711882229,自然増減,13.774973711882229,951.0,131.0
元三町１丁目,2023,13.774104683195592,自然増減,13.774104683195592,363.0,50.0
春日６丁目,2010,13.768115942028986,自然増減,13.768115942028986,276.0,38.0
通町,2006,13.725490196078432,自然増減,13.725490196078432,50.99999999999999,7.0
坪井６丁目,2004,13.666465984346779,激増,13.666465984346779,1661.0,227.0
秋津３丁目,2020,13.654618473895583,自然増減,13.654618473895583,747.0,102.0
細工町５丁目,2016,13.636363636363635,自然増減,13.636363636363635,44.0,6.0
画図町大字上無田,1999,13.636363636363635,自然増減,13.636363636363635,682.0,93.0
横紺屋町,2003,13.636363636363635,自然増減,13.636363636363635,22.0,3.0
