町丁名,年度,変化率(%),変化タイプ
近見９丁目,1999,8.823529411764707,大幅増加
二本木１丁目,2016,8.81057268722467,大幅増加
桜木５丁目,1999,8.78243512974052,大幅増加
佐土原３丁目,2017,8.779443254817988,大幅増加
出水１丁目,2001,8.777969018932874,大幅増加
九品寺１丁目,2018,8.76595744680851,大幅増加
二本木１丁目,2020,8.755760368663594,大幅増加
楠８丁目,2003,8.734939759036145,大幅増加
白石町,2024,8.707865168539326,大幅増加
紺屋町２丁目,2016,8.695652173913043,大幅増加
近見９丁目,2008,8.695652173913043,大幅増加
田迎町大字田井島,2020,8.695652173913043,大幅増加
板屋町,2010,8.695652173913043,大幅増加
古城町,2012,8.695652173913043,大幅増加
東町１丁目,2021,8.676789587852495,大幅増加
桜木４丁目,1999,8.676207513416816,大幅増加
水道町,2007,8.669656203288492,大幅増加
湖東１丁目,2022,8.641975308641975,大幅増加
紺屋町１丁目,2004,8.641975308641975,大幅増加
平成３丁目,2013,8.597285067873303,大幅増加
西唐人町,2016,8.571428571428571,大幅増加
大江６丁目,2011,8.558558558558559,大幅増加
馬渡１丁目,2013,8.547008547008547,大幅増加
長嶺南５丁目,2007,8.53462157809984,大幅増加
秋津３丁目,2000,8.52575488454707,大幅増加
月出８丁目,2013,8.522727272727272,大幅増加
八反田２丁目,2000,8.512020792722547,大幅増加
八島町,2025,8.51063829787234,大幅増加
湖東１丁目,2000,8.502772643253234,大幅増加
細工町４丁目,2008,8.49056603773585,大幅増加
近見９丁目,2004,8.47457627118644,大幅増加
千葉城町,2006,8.465608465608465,大幅増加
山室６丁目,2004,8.45771144278607,大幅増加
江越２丁目,2011,8.450704225352112,大幅増加
内坪井町,1999,8.448540706605224,大幅増加
春竹町大字春竹,2020,8.447488584474886,大幅増加
上林町,2006,8.42911877394636,大幅増加
硯川町,2020,8.422459893048128,大幅増加
八幡８丁目,2007,8.421052631578947,大幅増加
八反田１丁目,2007,8.412483039348711,大幅増加
山ノ神２丁目,2005,8.397683397683398,大幅増加
万町１丁目,2012,8.396946564885496,大幅増加
長嶺南７丁目,2021,8.385241974125538,大幅増加
長嶺東６丁目,1999,8.378870673952642,大幅増加
白山２丁目,2009,8.378870673952642,大幅増加
会富町,2021,8.366533864541832,大幅増加
長嶺東８丁目,2003,8.361204013377927,大幅増加
新外４丁目,2005,8.34990059642147,大幅増加
国府１丁目,2017,8.339594290007513,大幅増加
北迫町,2004,8.333333333333332,大幅増加
総数,2012,8.333333333333332,大幅増加
魚屋町１丁目,2012,8.333333333333332,大幅増加
鍛冶屋町,2017,8.333333333333332,大幅増加
薄場町,2021,8.333333333333332,大幅増加
紺屋阿弥陀寺町,2020,8.333333333333332,大幅増加
呉服町１丁目,2011,8.333333333333332,大幅増加
飛田２丁目,2017,8.323424494649228,大幅増加
新町３丁目,2001,8.303249097472925,大幅増加
南熊本５丁目,2008,8.289241622574956,大幅増加
坪井２丁目,2014,8.287292817679557,大幅増加
八幡８丁目,2014,8.275862068965518,大幅増加
御領７丁目,2013,8.264462809917356,大幅増加
練兵町,2023,8.262454434993925,大幅増加
桜木２丁目,2005,8.262108262108262,大幅増加
細工町１丁目,2006,8.24742268041237,大幅増加
水前寺２丁目,2002,8.244023083264633,大幅増加
八反田２丁目,2015,8.236057068741893,大幅増加
呉服町１丁目,2020,8.235294117647058,大幅増加
田迎５丁目,1999,8.232445520581114,大幅増加
十禅寺２丁目,2005,8.229813664596273,大幅増加
上水前寺２丁目,2022,8.21917808219178,大幅増加
通町,2021,8.21917808219178,大幅増加
総数,2014,8.21917808219178,大幅増加
万町１丁目,2018,8.208955223880597,大幅増加
近見８丁目,2000,8.205128205128204,大幅増加
東野４丁目,2014,8.201058201058201,大幅増加
江越２丁目,2003,8.178438661710038,大幅増加
帯山１丁目,2007,8.16546762589928,大幅増加
城東町,2008,8.16326530612245,大幅増加
佐土原３丁目,2021,8.157524613220815,大幅増加
出仲間９丁目,1999,8.148148148148149,大幅増加
新町４丁目,2016,8.144475920679886,大幅増加
紺屋町３丁目,2006,8.13953488372093,大幅増加
上鍛冶屋町,2010,8.13953488372093,大幅増加
本荘６丁目,2013,8.125819134993446,大幅増加
山ノ内２丁目,2009,8.118081180811808,大幅増加
月出３丁目,2016,8.117443868739207,大幅増加
新町１丁目,2025,8.117062396466041,大幅増加
南熊本５丁目,2003,8.114035087719298,大幅増加
画図町大字下無田,2021,8.110516934046345,大幅増加
健軍１丁目,1999,8.110065170166546,大幅増加
河内町面木,2004,8.108108108108109,大幅増加
保田窪３丁目,2013,8.090075062552128,大幅増加
上鍛冶屋町,2007,8.074534161490684,大幅増加
迎町２丁目,2015,8.053691275167784,大幅増加
春日７丁目,2024,8.046767537826685,大幅増加
紺屋町１丁目,2021,8.035714285714286,大幅増加
呉服町２丁目,2017,8.02919708029197,大幅増加
田迎５丁目,2013,8.027923211169284,大幅増加
桜木５丁目,2014,8.023255813953488,大幅増加
平田２丁目,2013,8.022922636103152,大幅増加
池亀町,2018,8.00561797752809,大幅増加
渡鹿９丁目,2011,8.0,大幅増加
黒髪７丁目,2016,8.0,大幅増加
東野４丁目,2018,8.0,大幅増加
長嶺西３丁目,2023,8.0,大幅増加
新屋敷３丁目,2012,7.995079950799508,大幅増加
西原１丁目,2007,7.984293193717278,大幅増加
紺屋今町,2012,7.954545454545454,大幅増加
白山３丁目,2015,7.9452054794520555,大幅増加
城東町,2002,7.936507936507936,大幅増加
大窪４丁目,2013,7.936507936507936,大幅増加
画図町大字所島,2004,7.931570762052877,大幅増加
小峯２丁目,2014,7.928642220019821,大幅増加
大江２丁目,2013,7.928118393234672,大幅増加
平山町,2013,7.905138339920949,大幅増加
江越１丁目,2000,7.904411764705882,大幅増加
黒髪７丁目,2023,7.894736842105263,大幅増加
南高江３丁目,2007,7.894736842105263,大幅増加
平成３丁目,1999,7.888040712468193,大幅増加
山ノ内１丁目,2012,7.885906040268456,大幅増加
小峯３丁目,2017,7.885304659498208,大幅増加
米屋町３丁目,2005,7.8817733990147785,大幅増加
南高江６丁目,2005,7.858048162230672,大幅増加
大窪４丁目,2018,7.857142857142857,大幅増加
古大工町,1999,7.8431372549019605,大幅増加
上京塚町,2023,7.8431372549019605,大幅増加
東町１丁目,2023,7.8431372549019605,大幅増加
新南部２丁目,2012,7.84,大幅増加
上水前寺１丁目,2013,7.834101382488479,大幅増加
近見７丁目,2014,7.772020725388601,大幅増加
白山１丁目,2013,7.769423558897243,大幅増加
新市街,2013,7.751937984496124,大幅増加
船場町２丁目,2021,7.751937984496124,大幅増加
船場町２丁目,2000,7.751937984496124,大幅増加
長嶺南７丁目,2018,7.749469214437367,大幅増加
新土河原２丁目,2005,7.737226277372263,大幅増加
月出４丁目,1999,7.715674362089915,大幅増加
近見８丁目,2003,7.697690692792163,大幅増加
江越２丁目,2005,7.6923076923076925,大幅増加
魚屋町１丁目,2016,7.6923076923076925,大幅増加
呉服町１丁目,2012,7.6923076923076925,大幅増加
宮内,2019,7.6923076923076925,大幅増加
古大工町,2013,7.6923076923076925,大幅増加
呉服町１丁目,2010,7.6923076923076925,大幅増加
板屋町,2024,7.6923076923076925,大幅増加
山ノ内４丁目,2004,7.6923076923076925,大幅増加
水前寺２丁目,2005,7.65661252900232,大幅増加
馬渡１丁目,2001,7.655502392344498,大幅増加
長嶺西３丁目,2006,7.653061224489796,大幅増加
田迎４丁目,2021,7.645875251509055,大幅増加
保田窪５丁目,2007,7.637231503579953,大幅増加
新南部３丁目,2013,7.623318385650224,大幅増加
近見町,2008,7.608695652173914,大幅増加
水前寺１丁目,2005,7.60441292356186,大幅増加
江津２丁目,2019,7.59493670886076,大幅増加
湖東１丁目,2016,7.59493670886076,大幅増加
池田４丁目,2023,7.592592592592593,大幅増加
大窪３丁目,2004,7.586206896551724,大幅増加
八景水谷４丁目,2010,7.579462102689487,大幅増加
迎町２丁目,2007,7.575757575757576,大幅増加
九品寺３丁目,2019,7.573047107930829,大幅増加
二本木２丁目,2024,7.570093457943925,大幅増加
船場町２丁目,2009,7.563025210084033,大幅増加
平成１丁目,2006,7.55813953488372,大幅増加
八幡７丁目,2013,7.5566750629722925,大幅増加
白石町,2023,7.552870090634441,大幅増加
河内町東門寺,2024,7.547169811320755,大幅増加
飛田２丁目,2014,7.5396825396825395,大幅増加
新屋敷１丁目,2000,7.539118065433854,大幅増加
上通町,2001,7.537688442211055,大幅増加
小沢町,2020,7.536764705882352,大幅増加
南坪井町,2008,7.532956685499058,大幅増加
新大江３丁目,1999,7.506297229219143,大幅増加
田迎５丁目,2012,7.5046904315197,大幅増加
蓮台寺５丁目,2015,7.462686567164178,大幅増加
近見７丁目,2010,7.459677419354839,大幅増加
細工町１丁目,2002,7.446808510638298,大幅増加
古川町,2011,7.446808510638298,大幅増加
細工町１丁目,2018,7.43801652892562,大幅増加
明徳町,2023,7.43801652892562,大幅増加
上水前寺１丁目,2012,7.425742574257425,大幅増加
黒髪５丁目,2013,7.42296918767507,大幅増加
川尻２丁目,2012,7.4074074074074066,大幅増加
万町２丁目,2007,7.4074074074074066,大幅増加
上林町,2011,7.4074074074074066,大幅増加
新南部６丁目,2017,7.391304347826087,大幅増加
健軍５丁目,2015,7.386363636363637,大幅増加
帯山８丁目,2000,7.357859531772576,大幅増加
城東町,2003,7.352941176470589,大幅増加
魚屋町１丁目,2022,7.352941176470589,大幅増加
吉原町,2005,7.339449541284404,大幅増加
日吉２丁目,2013,7.329317269076305,大幅増加
坪井１丁目,2003,7.319952774498228,大幅増加
飛田町,2003,7.317073170731707,大幅増加
細工町４丁目,2015,7.30593607305936,大幅増加
長嶺東５丁目,2000,7.304526748971194,大幅増加
江越１丁目,2005,7.301173402868318,大幅増加
南熊本２丁目,2008,7.2992700729927,大幅増加
佐土原３丁目,2002,7.2992700729927,大幅増加
武蔵ケ丘５丁目,2009,7.298335467349553,大幅増加
春日２丁目,2017,7.297830374753452,大幅増加
健軍５丁目,2025,7.291666666666667,大幅増加
健軍本町,2023,7.282184655396619,大幅増加
小山町,2021,7.281553398058252,大幅増加
新町３丁目,2003,7.2796934865900385,大幅増加
桜木６丁目,2020,7.2727272727272725,大幅増加
水前寺公園,2015,7.248576850094876,大幅増加
出仲間３丁目,2017,7.238605898123325,大幅増加
上熊本１丁目,2009,7.234726688102894,大幅増加
上水前寺１丁目,2024,7.231040564373897,大幅増加
山ノ神２丁目,2000,7.2274881516587675,大幅増加
上鍛冶屋町,2025,7.211538461538461,大幅増加
飛田２丁目,2004,7.208872458410351,大幅増加
野田１丁目,2007,7.207207207207207,大幅増加
八幡８丁目,2012,7.194244604316546,大幅増加
蓮台寺５丁目,2006,7.18954248366013,大幅増加
西阿弥陀寺町,2014,7.18232044198895,大幅増加
渡鹿７丁目,2010,7.164480322906155,大幅増加
長嶺東３丁目,2000,7.162162162162162,大幅増加
菅原町,2009,7.152682255845942,大幅増加
鍛冶屋町,2004,7.142857142857142,大幅増加
魚屋町１丁目,2009,7.142857142857142,大幅増加
国府２丁目,2012,7.142857142857142,大幅増加
薄場町,2007,7.142857142857142,大幅増加
本山町,2014,7.139315815567675,大幅増加
沼山津１丁目,2016,7.136237256719184,大幅増加
水前寺１丁目,2009,7.130060910068075,大幅増加
長嶺東３丁目,2008,7.107843137254902,大幅増加
山室２丁目,2001,7.104795737122557,大幅増加
大江本町,2015,7.093821510297483,大幅増加
花立５丁目,2000,7.078853046594983,大幅増加
呉服町３丁目,2020,7.07395498392283,大幅増加
紺屋町３丁目,1999,7.07070707070707,大幅増加
坪井２丁目,2017,7.068062827225131,大幅増加
蓮台寺３丁目,2017,7.046070460704606,大幅増加
万町１丁目,2000,7.017543859649122,大幅増加
古京町,2019,7.017543859649122,大幅増加
蓮台寺５丁目,2012,7.006369426751593,大幅増加
南熊本５丁目,2009,7.0032573289902285,大幅増加
御領６丁目,2011,6.997084548104956,大幅増加
八景水谷４丁目,1999,6.989247311827956,大幅増加
徳王町,2007,6.988352745424292,大幅増加
紺屋町１丁目,2007,6.976744186046512,大幅増加
紺屋町３丁目,2008,6.976744186046512,大幅増加
江越２丁目,2021,6.976744186046512,大幅増加
長嶺東６丁目,2000,6.974789915966387,大幅増加
鍛冶屋町,2000,6.944444444444445,大幅増加
春日７丁目,2025,6.938255887969447,大幅増加
船場町３丁目,2010,6.914893617021277,大幅増加
花園１丁目,2001,6.901615271659324,大幅増加
上京塚町,2002,6.896551724137931,大幅増加
御領４丁目,2019,6.896551724137931,大幅増加
紺屋町３丁目,2011,6.896551724137931,大幅増加
古京町,2001,6.896551724137931,大幅増加
飛田４丁目,2017,6.896551724137931,大幅増加
山ノ内１丁目,2016,6.896551724137931,大幅増加
近見７丁目,2007,6.896551724137931,大幅増加
横紺屋町,2016,6.896551724137931,大幅増加
万町１丁目,2014,6.896551724137931,大幅増加
出仲間３丁目,2006,6.891701828410689,大幅増加
飛田２丁目,2015,6.888068880688807,大幅増加
中央街,2002,6.885245901639345,大幅増加
本荘３丁目,2009,6.8833652007648185,大幅増加
出仲間２丁目,2017,6.875000000000001,大幅増加
佐土原２丁目,2015,6.865671641791045,大幅増加
新土河原２丁目,2004,6.86427457098284,大幅増加
東町１丁目,2016,6.8557919621749415,大幅増加
山ノ内４丁目,2003,6.8493150684931505,大幅増加
近見９丁目,2014,6.8493150684931505,大幅増加
南熊本１丁目,2016,6.845965770171149,大幅増加
九品寺３丁目,2007,6.837606837606838,大幅増加
平成２丁目,2017,6.828193832599119,大幅増加
桜木２丁目,2019,6.827880512091039,大幅増加
坪井１丁目,2013,6.815642458100559,大幅増加
月出８丁目,2014,6.806282722513089,大幅増加
蓮台寺５丁目,2020,6.806282722513089,大幅増加
蓮台寺３丁目,2023,6.806282722513089,大幅増加
新町４丁目,2021,6.804536357571714,大幅増加
楠８丁目,1999,6.804374240583232,大幅増加
八島町,2000,6.802721088435375,大幅増加
小山町,2022,6.787330316742081,大幅増加
吉原町,2015,6.787330316742081,大幅増加
保田窪１丁目,2013,6.784335355763928,大幅増加
八幡１１丁目,2022,6.77710843373494,大幅増加
小峯１丁目,2016,6.7765567765567765,大幅増加
北迫町,2021,6.770833333333333,大幅増加
八反田１丁目,2004,6.7669172932330826,大幅増加
大窪２丁目,2012,6.761565836298933,大幅増加
山崎町,2010,6.756756756756757,大幅増加
出水８丁目,2017,6.754530477759473,大幅増加
帯山８丁目,2011,6.75422138836773,大幅増加
小沢町,2012,6.751054852320674,大幅増加
楠８丁目,2001,6.7477876106194685,大幅増加
出仲間９丁目,2025,6.744868035190615,大幅増加
黒髪５丁目,2011,6.744186046511628,大幅増加
野中１丁目,2007,6.739811912225706,大幅増加
春日２丁目,2024,6.730769230769231,大幅増加
城東町,2013,6.727828746177369,大幅増加
花園１丁目,2011,6.7114093959731544,大幅増加
上熊本２丁目,2005,6.7092651757188495,大幅増加
近見３丁目,2017,6.704980842911877,大幅増加
国府２丁目,2022,6.70391061452514,大幅増加
佐土原２丁目,2018,6.701940035273369,大幅増加
東本町,2004,6.701881809177947,大幅増加
若葉３丁目,2022,6.70147954743255,大幅増加
本荘３丁目,2013,6.688963210702341,大幅増加
本山２丁目,2019,6.687898089171974,大幅増加
飛田３丁目,2012,6.684491978609626,大幅増加
新南部２丁目,2004,6.677524429967427,大幅増加
米屋町３丁目,2001,6.666666666666667,大幅増加
釜尾町,2025,6.666666666666667,大幅増加
江越２丁目,1999,6.666666666666667,大幅増加
板屋町,2019,6.666666666666667,大幅増加
魚屋町１丁目,2005,6.666666666666667,大幅増加
南高江３丁目,2017,6.666666666666667,大幅増加
御領７丁目,2023,6.666666666666667,大幅増加
野中３丁目,2003,6.666666666666667,大幅増加
手取本町,2006,6.666666666666667,大幅増加
山ノ内２丁目,2006,6.666666666666667,大幅増加
九品寺３丁目,1999,6.65291387313048,大幅増加
本山３丁目,2008,6.648936170212766,大幅増加
大江３丁目,2018,6.623235613463627,大幅増加
山ノ内２丁目,2014,6.620209059233449,大幅増加
白山３丁目,2018,6.61764705882353,大幅増加
島崎４丁目,1999,6.609547123623011,大幅増加
水前寺１丁目,2001,6.606606606606606,大幅増加
京町２丁目,2017,6.60377358490566,大幅増加
神水１丁目,2006,6.6006600660066,大幅増加
九品寺４丁目,2011,6.598984771573605,大幅増加
平山町,2014,6.593406593406594,大幅増加
尾ノ上２丁目,2000,6.587942821628341,大幅増加
秋津１丁目,2005,6.571428571428571,大幅増加
新屋敷３丁目,2009,6.549520766773163,大幅増加
神水１丁目,2002,6.5432098765432105,大幅増加
万町１丁目,1999,6.5420560747663545,大幅増加
大江１丁目,2009,6.536636794939378,大幅増加
呉服町２丁目,2002,6.532663316582915,大幅増加
飛田２丁目,1999,6.521739130434782,大幅増加
紺屋町２丁目,2013,6.521739130434782,大幅増加
古大工町,2005,6.521739130434782,大幅増加
中江町,2002,6.521739130434782,大幅増加
小糸山町,2025,6.517311608961303,大幅増加
月出３丁目,2014,6.513409961685824,大幅増加
近見６丁目,2024,6.507462686567164,大幅増加
坪井１丁目,2024,6.504961411245866,大幅増加
湖東１丁目,2011,6.504065040650407,大幅増加
東野４丁目,2016,6.490384615384616,大幅増加
西阿弥陀寺町,2003,6.486486486486487,大幅増加
南熊本２丁目,2000,6.486486486486487,大幅増加
山ノ内２丁目,2023,6.478873239436619,大幅増加
長嶺南８丁目,2020,6.477732793522267,大幅増加
西子飼町,2019,6.474820143884892,大幅増加
下通１丁目,2013,6.470588235294119,大幅増加
上鍛冶屋町,2018,6.470588235294119,大幅増加
飛田４丁目,2005,6.468531468531468,大幅増加
南高江７丁目,2017,6.457925636007827,大幅増加
大江本町,2018,6.457925636007827,大幅増加
鶴羽田町,2023,6.456241032998565,大幅増加
妙体寺町,2019,6.451612903225806,大幅増加
幸田１丁目,2010,6.451612903225806,大幅増加
平田１丁目,2017,6.4393939393939394,大幅増加
米屋町２丁目,2000,6.4,大幅増加
若葉４丁目,1999,6.3938618925831205,大幅増加
細工町４丁目,2011,6.392694063926941,大幅増加
平成２丁目,2004,6.386861313868613,大幅増加
横紺屋町,2013,6.382978723404255,大幅増加
楠６丁目,2011,6.375227686703097,大幅増加
渡鹿２丁目,2006,6.372549019607843,大幅増加
近見４丁目,2001,6.359300476947535,大幅増加
帯山２丁目,2025,6.3564875491481,大幅増加
馬渡２丁目,2010,6.353591160220995,大幅増加
花立５丁目,2007,6.348122866894198,大幅増加
幸田２丁目,2003,6.332842415316642,大幅増加
山崎町,2011,6.329113924050633,大幅増加
辛島町,2011,6.320541760722348,大幅増加
古川町,2002,6.315789473684211,大幅増加
紺屋町３丁目,2015,6.315789473684211,大幅増加
本荘２丁目,2024,6.315789473684211,大幅増加
花立５丁目,2006,6.313497822931785,大幅増加
下南部３丁目,2001,6.30550621669627,大幅増加
八幡１１丁目,2016,6.303236797274275,大幅増加
平山町,2012,6.302521008403361,大幅増加
佐土原２丁目,2025,6.301824212271974,大幅増加
米屋町２丁目,2006,6.299212598425196,大幅増加
船場町２丁目,2017,6.299212598425196,大幅増加
野田２丁目,2011,6.299212598425196,大幅増加
新町１丁目,2008,6.28053035589672,大幅増加
迎町１丁目,2016,6.279434850863422,大幅増加
新屋敷２丁目,2019,6.2755798090040935,大幅増加
上通町,2014,6.266318537859007,大幅増加
山ノ神１丁目,2019,6.262833675564681,大幅増加
水前寺３丁目,2007,6.259370314842578,大幅増加
御領５丁目,2018,6.2558356676003735,大幅増加
飛田３丁目,2006,6.25,大幅増加
板屋町,2020,6.25,大幅増加
山ノ内３丁目,2005,6.25,大幅増加
細工町１丁目,2021,6.25,大幅増加
松原町,2005,6.25,大幅増加
東阿弥陀寺町,2009,6.25,大幅増加
花畑町,2001,6.25,大幅増加
近見１丁目,1999,6.25,大幅増加
蓮台寺１丁目,2017,6.237218813905931,大幅増加
小峯３丁目,2015,6.235827664399093,大幅増加
壺川２丁目,2004,6.228956228956229,大幅増加
南高江３丁目,2024,6.211180124223603,大幅増加
八幡８丁目,2021,6.206896551724138,大幅増加
御領６丁目,2004,6.198347107438017,大幅増加
長嶺東７丁目,2001,6.191950464396285,大幅増加
山室６丁目,2008,6.190476190476191,大幅増加
近見９丁目,2016,6.185567010309279,大幅増加
迎町２丁目,2013,6.181818181818182,大幅増加
大江１丁目,2013,6.179775280898876,大幅増加
城東町,2001,6.179775280898876,大幅増加
長嶺東５丁目,2003,6.178586542530681,大幅増加
上林町,2015,6.1688311688311686,大幅増加
佐土原３丁目,2006,6.164383561643835,大幅増加
野中３丁目,2016,6.149732620320856,大幅増加
若葉３丁目,2004,6.147859922178988,大幅増加
楠６丁目,2001,6.142034548944338,大幅増加
清水万石１丁目,2013,6.129807692307692,大幅増加
蓮台寺５丁目,2009,6.122448979591836,大幅増加
西唐人町,2003,6.122448979591836,大幅増加
西唐人町,2008,6.122448979591836,大幅増加
上水前寺１丁目,2015,6.105263157894736,大幅増加
本山３丁目,2006,6.104651162790697,大幅増加
細工町３丁目,2006,6.097560975609756,大幅増加
出仲間５丁目,2002,6.097560975609756,大幅増加
紺屋町３丁目,2018,6.086956521739131,大幅増加
坪井３丁目,2016,6.085918854415275,大幅増加
坪井４丁目,2023,6.085753803596127,大幅増加
井川淵町,2021,6.081081081081082,大幅増加
本荘４丁目,2008,6.078431372549019,大幅増加
大窪２丁目,2018,6.071428571428571,大幅増加
本山２丁目,2016,6.070287539936102,大幅増加
川端町,2005,6.0606060606060606,大幅増加
古川町,2007,6.0606060606060606,大幅増加
段山本町,2011,6.0606060606060606,大幅増加
帯山８丁目,2014,6.0606060606060606,大幅増加
武蔵ケ丘９丁目,2015,6.05427974947808,大幅増加
平田２丁目,2003,6.046511627906977,大幅増加
画図町大字重富,2012,6.042296072507553,大幅増加
花園１丁目,2012,6.037735849056604,大幅増加
小沢町,2002,6.0344827586206895,大幅増加
明徳町,2012,6.0200668896321075,大幅増加
新南部６丁目,1999,6.015037593984962,大幅増加
大江３丁目,2008,6.00896860986547,大幅増加
通町,2013,6.0,大幅増加
田迎町大字田井島,2021,6.0,大幅増加
古大工町,2008,6.0,大幅増加
通町,2000,6.0,大幅増加
御領７丁目,2005,6.0,大幅増加
飛田３丁目,2001,5.9880239520958085,大幅増加
本山４丁目,2025,5.987261146496816,大幅増加
榎町,2006,5.985037406483791,大幅増加
九品寺２丁目,2009,5.984766050054406,大幅増加
野中１丁目,2006,5.980066445182724,大幅増加
新町２丁目,2019,5.980066445182724,大幅増加
山ノ内２丁目,2005,5.978260869565218,大幅増加
十禅寺２丁目,2003,5.977382875605816,大幅増加
西原１丁目,2000,5.972434915773354,大幅増加
坪井３丁目,2017,5.961754780652419,大幅増加
湖東１丁目,2014,5.952380952380952,大幅増加
新土河原２丁目,2003,5.950413223140496,大幅増加
新外４丁目,1999,5.9405940594059405,大幅増加
月出５丁目,2003,5.9405940594059405,大幅増加
長嶺南８丁目,2008,5.936675461741425,大幅増加
米屋町３丁目,2017,5.932203389830509,大幅増加
桜町,2009,5.932203389830509,大幅増加
呉服町３丁目,2004,5.932203389830509,大幅増加
月出７丁目,2017,5.932203389830509,大幅増加
山室３丁目,2006,5.932203389830509,大幅増加
国府４丁目,2023,5.927835051546391,大幅増加
田崎１丁目,2021,5.918057663125948,大幅増加
南熊本２丁目,2017,5.9171597633136095,大幅増加
白山１丁目,2009,5.913978494623656,大幅増加
中央街,2001,5.902777777777778,大幅増加
飛田４丁目,2001,5.894736842105263,大幅増加
野田２丁目,2001,5.890052356020942,大幅増加
東阿弥陀寺町,2010,5.88235294117647,大幅増加
川尻２丁目,2024,5.88235294117647,大幅増加
船場町３丁目,2014,5.88235294117647,大幅増加
健軍４丁目,2012,5.88235294117647,大幅増加
上水前寺１丁目,2005,5.8690744920993225,大幅増加
黒髪２丁目,2013,5.866486850977748,大幅増加
御領６丁目,1999,5.8558558558558556,大幅増加
野田１丁目,1999,5.853658536585367,大幅増加
鶴羽田町,2011,5.850091407678245,大幅増加
中唐人町,2004,5.847953216374268,大幅増加
大窪３丁目,2020,5.839416058394161,大幅増加
白山２丁目,2013,5.833333333333333,大幅増加
八反田３丁目,1999,5.832147937411095,大幅増加
平成３丁目,2001,5.825242718446602,大幅増加
渡鹿９丁目,2008,5.825242718446602,大幅増加
中島町,2022,5.825242718446602,大幅増加
小峯３丁目,2003,5.8240396530359355,大幅増加
尾ノ上１丁目,2013,5.822649572649572,大幅増加
妙体寺町,2011,5.82010582010582,大幅増加
画図町大字所島,2013,5.8171745152354575,大幅増加
秋津３丁目,2012,5.815602836879433,大幅増加
紺屋町１丁目,2014,5.813953488372093,大幅増加
国府４丁目,1999,5.811965811965812,大幅増加
鶴羽田町,2018,5.81039755351682,大幅増加
花園１丁目,2023,5.800464037122969,大幅増加
通町,2023,5.797101449275362,大幅増加
下南部３丁目,2021,5.775075987841945,大幅増加
御領１丁目,2023,5.7740585774058575,大幅増加
河原町,2000,5.769230769230769,大幅増加
近見７丁目,2015,5.769230769230769,大幅増加
水道町,2010,5.767012687427912,大幅増加
小峯４丁目,1999,5.764411027568922,大幅増加
細工町３丁目,2001,5.747126436781609,大幅増加
孫代町,2010,5.745062836624776,大幅増加
月出１丁目,2020,5.741626794258373,大幅増加
桜木３丁目,2018,5.738575982996812,大幅増加
桜木６丁目,2022,5.737704918032787,大幅増加
万町１丁目,2010,5.737704918032787,大幅増加
細工町３丁目,2015,5.7324840764331215,大幅増加
佐土原２丁目,2013,5.7324840764331215,大幅増加
川尻５丁目,2006,5.723905723905724,大幅増加
桜木６丁目,2013,5.714285714285714,大幅増加
渡鹿３丁目,2013,5.714285714285714,大幅増加
南高江３丁目,2021,5.714285714285714,大幅増加
西原１丁目,2003,5.710306406685237,大幅増加
小峯４丁目,2002,5.707762557077626,大幅増加
桜町,2011,5.7034220532319395,大幅増加
南熊本３丁目,2007,5.7034220532319395,大幅増加
大鳥居町,2003,5.701754385964912,大幅増加
二本木４丁目,2012,5.700123915737299,大幅増加
春日２丁目,2018,5.698529411764706,大幅増加
画図町大字重富,2013,5.698005698005698,大幅増加
八幡１１丁目,2001,5.688073394495413,大幅増加
春日６丁目,2012,5.681818181818182,大幅増加
鶴羽田町,1999,5.679579776756402,大幅増加
長嶺東６丁目,2006,5.678466076696165,大幅増加
出仲間１丁目,2001,5.673758865248227,大幅増加
桜木５丁目,2003,5.6716417910447765,大幅増加
北千反畑町,2017,5.660377358490567,大幅増加
戸島町,2011,5.660377358490567,大幅増加
通町,2014,5.660377358490567,大幅増加
本山２丁目,2011,5.660377358490567,大幅増加
横手５丁目,2017,5.652759084791386,大幅増加
楠８丁目,2024,5.65262076053443,大幅増加
新外２丁目,2009,5.649717514124294,大幅増加
国府２丁目,2001,5.645557191948945,大幅増加
帯山９丁目,2017,5.642256902761105,大幅増加
桜木４丁目,2009,5.641025641025641,大幅増加
水源２丁目,2003,5.639913232104121,大幅増加
和泉町,2017,5.637982195845697,大幅増加
花立２丁目,2000,5.635245901639344,大幅増加
飛田４丁目,2025,5.625879043600563,大幅増加
江越２丁目,2013,5.621301775147929,大幅増加
江津２丁目,2014,5.617977528089887,大幅増加
黒髪２丁目,2007,5.614035087719298,大幅増加
護藤町,2018,5.611601513240857,大幅増加
蓮台寺３丁目,2015,5.604719764011799,大幅増加
小峯２丁目,2008,5.600722673893405,大幅増加
近見８丁目,2018,5.600430802369413,大幅増加
小峯４丁目,2010,5.6000000000000005,大幅増加
若葉６丁目,2019,5.597416576964478,大幅増加
出仲間４丁目,2009,5.588993981083405,大幅増加
健軍３丁目,2002,5.580266882329155,大幅増加
浜口町,2022,5.571847507331378,大幅増加
楠１丁目,2002,5.560307955517536,大幅増加
西唐人町,1999,5.555555555555555,大幅増加
田迎町大字田井島,2025,5.555555555555555,大幅増加
紺屋阿弥陀寺町,2006,5.555555555555555,大幅増加
呉服町３丁目,2006,5.555555555555555,大幅増加
