人口統計表,Column_1,Column_2,Column_3
総数,747,347,400
鹿子木町,,,
総数,"1,206",539,667
釜尾町,,,
総数,177,88,89
上鍛冶屋町,,,
総数,212,78,134
上京塚町,,,
総数,105,46,59
上熊本１丁目,,,
総数,"1,429",671,758
上熊本２丁目,,,
総数,"1,061",497,564
上熊本３丁目,,,
総数,"1,951",883,"1,068"
上水前寺１丁目,,,
総数,589,266,323
上水前寺２丁目,,,
総数,657,305,352
総数,839,409,430
総数,67,30,37
総数,"1,454",680,774
総数,54,28,26
総数,88,47,41
総数,149,81,68
総数,792,385,407
総数,"1,350",614,736
総数,246,113,133
総数,307,145,162
総数,754,330,424
総数,689,315,374
上通町,,,
総数,431,198,233
総数,513,235,278
総数,"1,873",899,974
総数,"1,707",857,850
総数,216,108,108
上南部町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
総数,804,387,417
総数,837,413,424
上林町,,,
総数,278,120,158
総数,322,163,159
辛島町,,,
総数,469,202,267
総数,604,283,321
総数,425,205,220
総数,"1,055",503,552
川口町,,,
総数,"1,764",845,919
川尻１丁目,,,
総数,325,147,178
川尻２丁目,,,
総数,206,96,110
川尻３丁目,,,
総数,547,256,291
川尻４丁目,,,
総数,597,270,327
川尻５丁目,,,
総数,253,118,135
川尻６丁目,,,
総数,430,205,225
河内町大多尾,,,
総数,290,131,159
河内町面木,,,
総数,38,18,20
河内町河内,,,
総数,"1,289",613,676
河内町白浜,,,
総数,805,387,418
河内町岳,,,
総数,724,342,382
河内町東門寺,,,
総数,122,63,59
河内町野出,,,
総数,635,312,323
河内町船津,,,
総数,"1,738",841,897
川端町,,,
総数,45,20,25
河原町,,,
総数,160,73,87
北迫町,,,
総数,205,88,117
北千反畑町,,,
総数,374,164,210
京塚本町,,,
総数,"1,678",778,900
京町１丁目,,,
総数,"1,311",626,685
京町２丁目,,,
総数,"1,768",790,978
京町本丁,,,
総数,"1,045",466,579
京町本丁,,,
総数,235,115,120
草葉町,,,
総数,540,245,295
楠１丁目,,,
総数,"1,123",470,653
楠２丁目,,,
総数,682,305,377
楠３丁目,,,
総数,335,128,207
楠４丁目,,,
総数,702,318,384
楠５丁目,,,
総数,876,401,475
楠６丁目,,,
総数,571,271,300
楠７丁目,,,
総数,"1,074",485,589
楠８丁目,,,
総数,975,463,512
楠野町,,,
総数,"1,124",545,579
九品寺１丁目,,,
総数,"1,191",571,620
九品寺２丁目,,,
総数,"1,218",535,683
九品寺３丁目,,,
総数,"1,755",820,935
九品寺４丁目,,,
総数,662,328,334
九品寺５丁目,,,
総数,"1,631",756,875
九品寺６丁目,,,
総数,950,450,500
黒髪１丁目,,,
総数,"1,110",527,583
黒髪２丁目,,,
総数,"1,400",706,694
黒髪３丁目,,,
総数,709,318,391
黒髪４丁目,,,
総数,"1,063",562,501
黒髪５丁目,,,
総数,"1,400",698,702
