人口統計表,Column_1,Column_2,Column_3
春日７丁目,,,
総数,"1,354",607,747
春日８丁目,,,
総数,690,326,364
鹿子木町,,,
総数,"1,341",595,746
釜尾町,,,
総数,168,79,89
上鍛冶屋町,,,
総数,181,65,116
上京塚町,,,
総数,80,39,41
上熊本１丁目,,,
総数,"1,098",528,570
上熊本２丁目,,,
総数,"1,093",510,583
上熊本３丁目,,,
総数,"1,581",704,877
上水前寺１丁目,,,
総数,621,273,348
上水前寺２丁目,,,
総数,746,338,408
総数,839,402,437
総数,76,34,42
総数,"1,412",668,744
総数,33,19,14
総数,86,44,42
総数,133,71,62
総数,790,381,409
総数,"1,457",653,804
総数,238,111,127
総数,285,134,151
総数,788,342,446
総数,734,346,388
上通町,,,
総数,424,187,237
総数,482,225,257
総数,"1,893",919,974
総数,"1,759",869,890
総数,214,106,108
上南部町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
総数,736,339,397
総数,826,412,414
上林町,,,
総数,301,133,168
総数,359,182,177
辛島町,,,
総数,494,216,278
総数,225,99,126
総数,426,201,225
総数,"1,047",494,553
川口町,,,
総数,"1,896",914,982
川尻１丁目,,,
総数,354,162,192
川尻２丁目,,,
総数,231,105,126
川尻３丁目,,,
総数,544,257,287
川尻４丁目,,,
総数,601,272,329
川尻５丁目,,,
総数,275,132,143
川尻６丁目,,,
総数,425,201,224
河内町大多尾,,,
総数,321,150,171
河内町面木,,,
総数,50,22,28
河内町河内,,,
総数,"1,398",658,740
河内町白浜,,,
総数,839,404,435
河内町岳,,,
総数,746,348,398
河内町東門寺,,,
総数,137,68,69
河内町野出,,,
総数,652,308,344
河内町船津,,,
総数,"1,809",868,941
川端町,,,
総数,54,27,27
河原町,,,
総数,165,73,92
北迫町,,,
総数,171,82,89
北千反畑町,,,
総数,437,198,239
京塚本町,,,
総数,"1,669",772,897
京町１丁目,,,
総数,"1,375",648,727
京町２丁目,,,
総数,"1,655",750,905
京町本丁（中央区）,,,
総数,"1,003",451,552
京町本丁（西区）,,,
総数,266,134,132
草葉町,,,
総数,544,251,293
楠１丁目,,,
総数,"1,177",510,667
楠２丁目,,,
総数,649,296,353
楠３丁目,,,
総数,345,129,216
楠４丁目,,,
総数,765,351,414
楠５丁目,,,
総数,933,426,507
楠６丁目,,,
総数,575,273,302
楠７丁目,,,
総数,"1,130",514,616
楠８丁目,,,
総数,"1,001",476,525
楠野町,,,
総数,"1,130",539,591
九品寺１丁目,,,
総数,"1,278",611,667
九品寺２丁目,,,
総数,"1,136",498,638
九品寺３丁目,,,
総数,"1,677",774,903
九品寺４丁目,,,
総数,688,315,373
九品寺５丁目,,,
総数,"1,408",634,774
九品寺６丁目,,,
総数,"1,000",464,536
黒髪１丁目,,,
総数,"1,109",539,570
黒髪２丁目,,,
総数,"1,482",710,772
黒髪３丁目,,,
総数,725,331,394
黒髪４丁目,,,
総数,"1,163",597,566
黒髪５丁目,,,
総数,"1,457",717,740
黒髪６丁目,【秘匿】室園町（中央区）、黒髪８丁目を含みます,,
総数,"1,868",939,929
黒髪７丁目（北区）,,,
総数,108,61,47
黒髪７丁目（中央区）,,,
総数,667,318,349
黒髪８丁目,【秘匿】黒髪６丁目に含めています,,
総数,χ,χ,χ
黒髪町大字坪井,,,
総数,0,0,0
神水１丁目,,,
総数,"1,841",809,"1,032"
神水２丁目,,,
総数,707,323,384
神水本町（東区）,,,
総数,86,42,44
神水本町（中央区）,,,
総数,"1,826",839,987
慶徳堀町,,,
総数,197,89,108
健軍１丁目,,,
総数,"1,375",618,757
健軍２丁目,,,
総数,"1,039",502,537
健軍３丁目,,,
総数,"2,539","1,207","1,332"
健軍４丁目,,,
総数,"1,847",848,999
健軍５丁目,,,
総数,194,96,98
健軍本町,,,
総数,"2,323","1,088","1,235"
小糸山町,,,
総数,521,253,268
総数,240,106,134
総数,"1,003",500,503
総数,60,29,31
総数,7,2,5
総数,475,236,239
総数,424,207,217
幸田１丁目,,,
総数,518,253,265
幸田２丁目,,,
総数,689,332,357
紺屋阿弥陀寺町,,,
総数,12,4,8
紺屋今町,,,
総数,107,51,56
紺屋町１丁目,,,
総数,75,33,42
紺屋町２丁目,,,
総数,45,22,23
紺屋町３丁目,,,
総数,122,55,67
子飼本町,,,
総数,602,298,304
国府１丁目,,,
総数,"1,479",691,788
国府２丁目,,,
総数,"1,940",835,"1,105"
国府３丁目,,,
総数,"2,811","1,317","1,494"
国府４丁目,,,
総数,"1,133",536,597
国府本町,,,
総数,"1,317",651,666
小沢町,,,
総数,568,246,322
古城町,,,
総数,39,17,22
壺川１丁目,,,
総数,788,367,421
壺川２丁目,,,
総数,673,327,346
湖東１丁目（中央区）,,,
総数,86,44,42
湖東１丁目（東区）,,,
総数,322,159,163
湖東２丁目,,,
総数,"1,205",566,639
湖東３丁目,,,
