人口統計表,Column_1,Column_2,Column_3
春日７丁目,,,
総数,"1,370",619,751
春日８丁目,,,
総数,715,336,379
鹿子木町,,,
総数,"1,376",602,774
釜尾町,,,
総数,179,84,95
上鍛冶屋町,,,
総数,170,60,110
上京塚町,,,
総数,73,38,35
上熊本１丁目,,,
総数,"1,173",554,619
上熊本２丁目,,,
総数,973,445,528
上熊本３丁目,,,
総数,"1,604",721,883
上水前寺１丁目,,,
総数,523,239,284
上水前寺２丁目,,,
総数,743,329,414
総数,853,411,442
総数,76,37,39
総数,"1,445",682,763
総数,35,20,15
総数,82,41,41
総数,125,64,61
総数,794,378,416
総数,"1,470",663,807
総数,244,115,129
総数,262,120,142
総数,830,362,468
総数,752,355,397
上通町,,,
総数,456,202,254
総数,495,231,264
総数,"1,852",903,949
総数,"1,767",870,897
総数,216,106,110
上南部町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
総数,712,327,385
総数,858,428,430
上林町,,,
総数,302,143,159
総数,364,180,184
辛島町,,,
総数,525,226,299
総数,240,108,132
総数,435,212,223
総数,"1,019",481,538
川口町,,,
総数,"1,922",928,994
川尻１丁目,,,
総数,346,158,188
川尻２丁目,,,
総数,223,103,120
川尻３丁目,,,
総数,554,261,293
川尻４丁目,,,
総数,630,288,342
川尻５丁目,,,
総数,292,144,148
川尻６丁目,,,
総数,448,212,236
河内町大多尾,,,
総数,329,152,177
河内町面木,,,
総数,60,27,33
河内町河内,,,
総数,"1,427",670,757
河内町白浜,,,
総数,849,407,442
河内町岳,,,
総数,752,352,400
河内町東門寺,,,
総数,137,70,67
河内町野出,,,
総数,671,318,353
河内町船津,,,
総数,"1,864",906,958
川端町,,,
総数,53,29,24
河原町,,,
総数,173,80,93
北迫町,,,
総数,178,85,93
北千反畑町,,,
総数,448,198,250
京塚本町,,,
総数,"1,696",778,918
京町１丁目,,,
総数,"1,349",633,716
京町２丁目,,,
総数,"1,582",712,870
京町本丁（中央区）,,,
総数,979,441,538
京町本丁,,,
総数,277,134,143
草葉町,,,
総数,536,231,305
楠１丁目,【秘匿】楡木６丁目を含みます,,
総数,"1,239",537,702
楠２丁目,,,
総数,667,304,363
楠３丁目,,,
総数,357,136,221
楠４丁目,,,
総数,766,346,420
楠５丁目,,,
総数,931,430,501
楠６丁目,,,
総数,562,261,301
楠７丁目,,,
総数,"1,124",510,614
楠８丁目,,,
総数,"1,030",491,539
楠野町,,,
総数,"1,118",527,591
九品寺１丁目,,,
総数,"1,175",562,613
九品寺２丁目,,,
総数,"1,115",491,624
九品寺３丁目,,,
総数,"1,593",717,876
九品寺４丁目,,,
総数,662,306,356
九品寺５丁目,,,
総数,"1,401",620,781
九品寺６丁目,,,
総数,"1,030",472,558
黒髪１丁目,,,
総数,"1,154",555,599
黒髪２丁目,,,
総数,"1,519",736,783
黒髪３丁目,,,
総数,739,334,405
黒髪４丁目,,,
総数,"1,173",596,577
黒髪５丁目,,,
総数,"1,521",763,758
黒髪６丁目,【秘匿】室園町（中央区）、黒髪８丁目を含みます,,
総数,"1,900",947,953
黒髪７丁目（北区）,,,
総数,111,62,49
黒髪７丁目（中央区）,,,
総数,636,305,331
黒髪８丁目,【秘匿】黒髪６丁目に含めています,,
総数,χ,χ,χ
黒髪町大字坪井,,,
総数,0,0,0
神水１丁目,,,
総数,"1,828",794,"1,034"
神水２丁目,,,
総数,706,329,377
神水本町,,,
総数,71,34,37
神水本町（中央区）,,,
総数,"1,640",756,884
慶徳堀町,,,
総数,204,95,109
健軍１丁目,,,
総数,"1,373",621,752
健軍２丁目,,,
総数,"1,054",505,549
健軍３丁目,,,
総数,"2,571","1,212","1,359"
健軍４丁目,,,
総数,"1,838",843,995
健軍５丁目,,,
総数,192,95,97
健軍本町,,,
総数,"2,368","1,112","1,256"
小糸山町,,,
総数,539,257,282
総数,257,113,144
総数,"1,015",501,514
総数,58,28,30
総数,6,1,5
総数,442,219,223
総数,382,187,195
幸田１丁目,,,
総数,510,244,266
幸田２丁目,,,
総数,717,348,369
紺屋阿弥陀寺町,,,
総数,9,3,6
紺屋今町,,,
総数,107,49,58
紺屋町１丁目,,,
総数,77,35,42
紺屋町２丁目,,,
総数,51,26,25
紺屋町３丁目,,,
総数,115,55,60
子飼本町,,,
総数,613,299,314
国府１丁目,,,
総数,"1,442",671,771
国府２丁目,,,
総数,"1,972",854,"1,118"
国府３丁目,,,
総数,"2,817","1,309","1,508"
国府４丁目,,,
総数,"1,134",529,605
国府本町,,,
総数,"1,337",658,679
小沢町,,,
総数,512,228,284
古城町,,,
総数,41,18,23
壺川１丁目,,,
総数,793,365,428
壺川２丁目,,,
総数,668,324,344
湖東１丁目（中央区）,,,
総数,78,40,38
湖東１丁目（東区）,,,
総数,332,162,170
湖東２丁目,,,
総数,"1,182",553,629
湖東３丁目,,,
総数,821,383,438
琴平１丁目,,,
総数,757,356,401
琴平２丁目,,,
総数,990,478,512
琴平本町,,,
総数,"1,492",677,815
呉服町１丁目,,,
総数,82,35,47
呉服町２丁目,,,
総数,296,133,163
呉服町３丁目,,,
総数,329,142,187
米屋町１丁目,,,
総数,479,201,278
米屋町２丁目,,,
総数,246,107,139
米屋町３丁目,,,
総数,250,100,150
御領１丁目,,,
総数,"1,280",611,669
御領２丁目,,,
総数,"1,339",645,694
御領３丁目,,,
総数,"1,411",690,721
御領４丁目,,,
総数,297,138,159
御領５丁目,,,
総数,"1,071",534,537
御領６丁目,,,
総数,382,205,177
御領７丁目,,,
総数,114,58,56
総数,508,249,259
護藤町,,,
総数,"1,586",757,829
細工町１丁目,,,
総数,121,56,65
細工町２丁目,,,
総数,50,27,23
細工町３丁目,,,
総数,161,64,97
細工町４丁目,,,
総数,222,91,131
細工町５丁目,,,
総数,50,24,26
栄町,,,
総数,447,196,251
桜木１丁目,,,
総数,781,365,416
桜木２丁目,,,
総数,719,341,378
桜木３丁目,,,
総数,941,458,483
桜木４丁目,,,
総数,"1,604",775,829
桜木５丁目,,,
総数,936,441,495
桜木６丁目,,,
総数,92,45,47
桜町,,,
総数,285,116,169
佐土原１丁目,,,
総数,"1,610",771,839
佐土原２丁目,,,
総数,567,284,283
佐土原３丁目,,,
総数,508,238,270
三郎１丁目（中央区）,,,
総数,653,303,350
三郎１丁目（東区）,,,
総数,616,278,338
三郎２丁目,,,
総数,832,377,455
島崎１丁目,,,
総数,"2,668","1,178","1,490"
島崎２丁目,,,
総数,"2,570","1,216","1,354"
島崎３丁目,,,
総数,"1,206",549,657
島崎４丁目,,,
総数,983,470,513
島崎５丁目,,,
総数,"1,740",814,926
島崎６丁目,,,
総数,"1,622",695,927
島崎７丁目,,,
総数,"1,283",568,715
総数,668,307,361
総数,688,318,370
総数,496,221,275
総数,503,223,280
総数,669,327,342
総数,611,280,331
総数,744,350,394
総数,632,313,319
清水亀井町,【秘匿】清水町大字松崎を含みます,,
総数,"2,169","1,020","1,149"
総数,936,458,478
総数,"1,163",560,603
総数,529,235,294
総数,675,326,349
総数,"1,624",681,943
総数,807,392,415
総数,877,386,491
清水東町,,,
総数,"1,429",684,745
清水本町,,,
総数,"1,437",678,759
清水町大字打越,,,
総数,0,0,0
清水町大字松崎,【秘匿】清水亀井町に含めています,,
総数,χ,χ,χ
清水町大字室園,,,
総数,19,9,10
清水万石１丁目,,,
総数,866,383,483
清水万石２丁目,,,
総数,137,62,75
清水万石３丁目,,,
総数,510,236,274
清水万石４丁目,,,
総数,981,430,551
清水万石５丁目,,,
総数,767,357,410
総数,957,449,508
総数,665,295,370
総数,542,266,276
総数,595,295,300
総数,778,387,391
総数,277,134,143
総数,609,277,332
総数,596,310,286
総数,320,142,178
総数,"1,136",543,593
下硯川町,,,
総数,"1,080",522,558
下通１丁目,,,
総数,136,67,69
下通２丁目,,,
総数,368,179,189
下南部１丁目,,,
総数,327,152,175
下南部２丁目,,,
総数,"1,467",695,772
下南部３丁目,,,
総数,"1,344",659,685
十禅寺１丁目,,,
総数,560,266,294
十禅寺２丁目,,,
総数,655,309,346
十禅寺３丁目,【秘匿】近見６丁目に含めています,,
総数,χ,χ,χ
総数,50,23,27
総数,854,382,472
総数,245,119,126
総数,580,260,320
総数,52,13,39
総数,14,9,5
総数,0,0,0
総数,0,0,0
城山上代町,【秘匿】上代３丁目に含めています,,
総数,χ,χ,χ
総数,773,364,409
総数,648,300,348
総数,58,28,30
総数,665,328,337
総数,0,0,0
総数,339,166,173
総数,627,294,333
総数,429,206,223
総数,74,37,37
総数,104,43,61
総数,148,58,90
城東町,,,
総数,335,124,211
総数,441,214,227
総数,781,396,385
総数,990,479,511
総数,95,49,46
総数,"1,025",509,516
総数,"1,348",620,728
総数,630,312,318
総数,501,237,264
総数,548,272,276
総数,509,230,279
総数,319,152,167
総数,"2,029",954,"1,075"
総数,339,159,180
総数,405,196,209
総数,815,391,424
総数,187,89,98
総数,910,430,480
総数,575,275,300
総数,444,203,241
総数,"1,846",901,945
総数,"1,094",532,562
総数,"2,373","1,153","1,220"
総数,"1,727",837,890
総数,460,225,235
総数,861,406,455
昭和町,,,
総数,644,315,329
総数,"1,435",706,729
総数,"1,085",506,579
総数,879,357,522
総数,740,351,389
総数,χ,χ,χ
白石町,,,
総数,345,162,183
新大江１丁目,,,
総数,"1,685",774,911
新大江２丁目,,,
総数,"1,576",725,851
新大江３丁目,,,
総数,"2,150",994,"1,156"
新鍛冶屋町,,,
総数,0,0,0
新市街,,,
総数,123,62,61
新生１丁目,,,
総数,"1,274",598,676
新生２丁目,,,
総数,695,336,359
新土河原１丁目,,,
総数,782,373,409
新土河原２丁目,,,
総数,726,349,377
新南部１丁目,,,
総数,214,112,102
新南部２丁目,,,
総数,664,338,326
新南部３丁目,,,
総数,"1,231",629,602
新南部４丁目,,,
総数,383,201,182
新南部５丁目,,,
総数,"1,162",536,626
新南部６丁目,,,
総数,247,129,118
新外１丁目,,,
総数,456,221,235
新外２丁目,,,
総数,353,170,183
新外３丁目,,,
総数,"1,055",517,538
新外４丁目,,,
総数,492,242,250
新町１丁目,,,
総数,"1,677",717,960
新町２丁目,,,
総数,892,387,505
新町３丁目,,,
総数,"1,651",731,920
新町４丁目,,,
総数,"1,487",683,804
新港１丁目,,,
総数,0,0,0
総数,0,0,0
新屋敷１丁目,,,
総数,"1,646",729,917
新屋敷２丁目,,,
総数,"1,464",663,801
新屋敷３丁目,,,
総数,989,450,539
水源１丁目,,,
総数,770,337,433
水源２丁目,,,
総数,405,182,223
水前寺１丁目,,,
総数,"3,260","1,377","1,883"
水前寺２丁目,,,
総数,"1,409",622,787
水前寺３丁目,,,
総数,"3,001","1,331","1,670"
水前寺４丁目,,,
総数,"2,058",947,"1,111"
水前寺５丁目,,,
総数,"1,310",605,705
水前寺６丁目,,,
総数,"1,303",631,672
水前寺公園,,,
総数,"2,997","1,318","1,679"
水道町,,,
総数,977,391,586
菅原町,,,
総数,956,437,519
硯川町,,,
総数,611,282,329
砂原町,,,
総数,"1,484",702,782
銭塘町,,,
総数,"1,055",476,579
船場町２丁目,,,
総数,135,52,83
船場町３丁目,,,
総数,270,129,141
船場町下１丁目,,,
総数,311,152,159
総数,613,277,336
総数,686,318,368
総数,"1,574",765,809
総数,196,102,94
総数,249,108,141
高平１丁目,,,
総数,"1,718",804,914
高平２丁目,,,
総数,"1,303",638,665
高平３丁目,,,
総数,"1,642",782,860
田崎１丁目,,,
総数,707,345,362
田崎２丁目,,,
総数,945,400,545
田崎３丁目,,,
総数,"1,355",558,797
田崎本町,,,
総数,506,226,280
田崎町,,,
総数,30,15,15
総数,"1,372",674,698
総数,"1,924",943,981
総数,831,409,422
総数,"1,052",507,545
総数,"1,124",539,585
総数,"1,100",522,578
総数,"2,040",987,"1,053"
総数,"1,747",854,893
総数,762,375,387
総数,443,191,252
総数,"1,657",819,838
総数,"1,736",822,914
総数,613,274,339
龍田町弓削,,,
総数,"5,234","2,492","2,742"
総数,"1,462",722,740
総数,317,161,156
谷尾崎町,,,
総数,"1,463",704,759
段山本町,,,
総数,189,86,103
田迎１丁目,,,
総数,535,251,284
田迎２丁目,,,
総数,850,419,431
田迎３丁目,,,
総数,763,371,392
