人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,649,311,338
秋津１丁目,,,
総数,625,306,319
秋津２丁目,,,
総数,809,371,438
秋津３丁目,,,
総数,553,269,284
秋津新町,,,
総数,149,73,76
秋津町秋田,,,
総数,"2,584","1,240","1,344"
秋津町沼山津,【秘匿】東本町を含みます,,
総数,χ,χ,χ
荒尾町,,,
総数,279,125,154
改寄町,,,
総数,"1,227",570,657
安政町,,,
総数,111,53,58
井川淵町,,,
総数,178,87,91
池亀町,,,
総数,832,444,388
池田１丁目,,,
総数,"2,625","1,220","1,405"
池田２丁目,,,
総数,"2,578","1,254","1,324"
池田３丁目,,,
総数,"3,069","1,507","1,562"
池田４丁目,,,
総数,773,512,261
池上町,,,
総数,"2,634","1,217","1,417"
石原町,,,
総数,"1,015",490,525
出水１丁目,,,
総数,"1,131",508,623
出水２丁目,,,
総数,530,240,290
出水３丁目,,,
総数,"1,398",661,737
出水４丁目,,,
総数,"1,550",742,808
出水５丁目,,,
総数,"1,989",963,"1,026"
出水６丁目,,,
総数,"3,537","1,708","1,829"
出水７丁目,,,
総数,"2,515","1,204","1,311"
出水８丁目,,,
総数,"1,833",854,979
和泉町,,,
総数,398,189,209
板屋町,,,
総数,34,14,20
出仲間１丁目,,,
総数,704,354,350
出仲間２丁目,,,
総数,509,228,281
出仲間３丁目,,,
総数,341,168,173
出仲間４丁目,,,
総数,783,372,411
出仲間５丁目,,,
総数,454,216,238
出仲間６丁目,,,
総数,926,449,477
出仲間７丁目,,,
総数,"1,122",505,617
出仲間８丁目,,,
総数,346,166,180
出仲間９丁目,,,
総数,135,72,63
今町,,,
総数,320,141,179
魚屋町１丁目,,,
総数,30,7,23
魚屋町２丁目,,,
総数,33,16,17
魚屋町３丁目,,,
総数,68,39,29
海路口町,,,
総数,"2,136","1,023","1,113"
薄場町,,,
総数,"1,952",910,"1,042"
打越町,,,
総数,"1,861",881,980
内田町,,,
総数,"1,320",642,678
内坪井町,,,
総数,651,287,364
江越１丁目,,,
総数,550,277,273
江越２丁目,,,
総数,255,126,129
画図町大字上無田,,,
総数,682,323,359
画図町大字重富,,,
総数,"1,391",696,695
画図町大字下江津,,,
総数,"2,725","1,292","1,433"
画図町大字下無田,,,
総数,"1,037",494,543
画図町大字所島,,,
総数,696,353,343
江津１丁目,,,
総数,"1,804",837,967
江津２丁目,,,
総数,"2,715","1,225","1,490"
榎町,,,
総数,"1,998",941,"1,057"
大江１丁目,,,
総数,"1,960",965,995
大江２丁目,,,
総数,"1,940",971,969
大江３丁目,,,
総数,"1,171",602,569
大江４丁目,,,
総数,"1,448",617,831
大江５丁目,,,
総数,752,322,430
大江６丁目,,,
総数,"1,133",488,645
大江本町,,,
総数,446,182,264
総数,χ,χ,χ
大窪１丁目,,,
総数,246,119,127
大窪２丁目,,,
総数,240,118,122
大窪３丁目,,,
総数,278,134,144
大窪４丁目,,,
総数,311,154,157
大窪５丁目,,,
総数,"1,015",497,518
大鳥居町,,,
総数,238,119,119
岡田町,,,
総数,612,273,339
沖新町,,,
総数,"2,252","1,083","1,169"
奥古閑町,,,
総数,"1,804",849,955
小島上町,,,
総数,884,410,474
小島下町,,,
総数,"2,668","1,255","1,413"
総数,139,62,77
尾ノ上１丁目,,,
総数,"2,211","1,043","1,168"
尾ノ上２丁目,,,
総数,"1,585",776,809
尾ノ上３丁目,,,
総数,"1,403",691,712
尾ノ上４丁目,,,
総数,"1,841",906,935
帯山１丁目,,,
総数,"3,008","1,403","1,605"
帯山２丁目,,,
総数,"1,411",646,765
帯山３丁目,,,
総数,"2,708","1,283","1,425"
帯山４丁目,,,
総数,"2,865","1,349","1,516"
帯山５丁目,,,
総数,"2,786","1,313","1,473"
帯山６丁目,,,
総数,998,478,520
帯山７丁目,,,
総数,"2,120","1,051","1,069"
帯山８丁目,,,
総数,590,290,300
帯山９丁目,,,
総数,820,378,442
小峯１丁目,,,
総数,529,235,294
小峯２丁目,,,
総数,"1,225",597,628
小峯３丁目,,,
総数,810,390,420
小峯４丁目,,,
総数,399,192,207
小山町,,,
総数,"5,732","2,816","2,916"
鹿帰瀬町,,,
総数,402,203,199
梶尾町,,,
総数,"2,752","1,330","1,422"
鍛冶屋町,,,
総数,79,29,50
春日１丁目,,,
総数,802,353,449
春日２丁目,,,
総数,371,171,200
春日３丁目,,,
総数,907,412,495
春日４丁目,,,
総数,"1,355",626,729
春日５丁目,,,
総数,788,382,406
春日６丁目,,,
総数,569,251,318
春日７丁目,,,
総数,"1,335",631,704
春日８丁目,,,
総数,727,339,388
総数,χ,χ,χ
鹿子木町,,,
総数,"1,355",613,742
釜尾町,,,
総数,265,132,133
上鍛冶屋町,,,
総数,181,87,94
上京塚町,,,
総数,39,23,16
上熊本１丁目,,,
総数,"1,417",657,760
上熊本２丁目,,,
総数,600,283,317
上熊本３丁目,,,
総数,"1,953",943,"1,010"
上水前寺１丁目,,,
総数,413,194,219
上水前寺２丁目,,,
総数,937,458,479
総数,"1,884",844,"1,040"
上通町,,,
総数,421,181,240
上南部町,,,
