人口統計表,Column_1,Column_2,Column_3
総数,"1,671",751,920
上水前寺１丁目,,,
総数,434,209,225
上水前寺２丁目,,,
総数,746,327,419
総数,850,406,444
総数,38,21,17
総数,"1,456",693,763
総数,28,18,10
総数,89,46,43
総数,89,48,41
総数,745,363,382
総数,"1,523",716,807
総数,252,115,137
総数,160,78,82
総数,839,369,470
総数,816,380,436
上通町,,,
総数,378,155,223
総数,483,219,264
総数,"1,589",766,823
総数,"1,857",904,953
総数,212,103,109
上南部町,【秘匿】上南部３丁目に含めています,,
総数,χ,χ,χ
総数,751,344,407
総数,810,376,434
上林町,,,
総数,288,125,163
辛島町,,,
総数,486,191,295
総数,246,115,131
総数,381,185,196
総数,737,345,392
川口町,,,
総数,"2,202","1,068","1,134"
川尻１丁目,,,
総数,389,180,209
川尻２丁目,,,
総数,232,107,125
川尻３丁目,,,
総数,630,297,333
川尻４丁目,,,
総数,653,303,350
川尻５丁目,,,
総数,330,151,179
川尻６丁目,,,
総数,487,229,258
河内町大多尾,,,
総数,368,174,194
河内町面木,,,
総数,66,28,38
河内町河内,,,
総数,"1,572",738,834
河内町白浜,,,
総数,887,419,468
河内町岳,,,
総数,762,363,399
河内町東門寺,,,
総数,153,78,75
河内町野出,,,
総数,718,348,370
河内町船津,,,
総数,"2,000",968,"1,032"
川端町,,,
総数,45,21,24
河原町,,,
総数,177,82,95
北迫町,,,
総数,187,92,95
北千反畑町,,,
総数,450,194,256
京塚本町,,,
総数,"1,683",770,913
京町１丁目,,,
総数,"1,319",586,733
京町２丁目,,,
総数,"1,440",618,822
京町本丁,,,
総数,"1,050",505,545
草葉町,,,
総数,532,220,312
楠１丁目,,,
総数,"1,332",552,780
楠２丁目,,,
総数,756,369,387
楠３丁目,,,
総数,368,145,223
楠４丁目,,,
総数,941,434,507
楠５丁目,,,
総数,962,428,534
楠６丁目,,,
総数,558,275,283
楠７丁目,,,
総数,"1,230",575,655
楠８丁目,,,
総数,"1,091",526,565
楠野町,,,
総数,"1,105",518,587
九品寺１丁目,,,
総数,"1,220",554,666
九品寺２丁目,,,
総数,"1,032",447,585
九品寺３丁目,,,
総数,"1,720",790,930
九品寺４丁目,,,
総数,688,305,383
九品寺５丁目,,,
総数,"1,423",648,775
九品寺６丁目,,,
総数,990,458,532
黒髪１丁目,,,
総数,"1,204",564,640
黒髪２丁目,,,
総数,"1,483",714,769
黒髪３丁目,,,
総数,772,350,422
黒髪４丁目,,,
総数,"1,100",564,536
黒髪５丁目,,,
総数,"1,428",706,722
黒髪６丁目,【秘匿】黒髪８丁目を含みます,,
総数,"1,928",950,978
黒髪７丁目,,,
総数,759,384,375
黒髪８丁目,【秘匿】黒髪６丁目に含めています,,
総数,χ,χ,χ
黒髪町大字坪井,,,
総数,0,0,0
神水１丁目,,,
総数,"1,870",802,"1,068"
神水２丁目,,,
総数,744,357,387
神水本町,,,
総数,"1,680",777,903
慶徳堀町,,,
総数,20,7,13
健軍１丁目,,,
総数,"1,390",621,769
健軍２丁目,,,
総数,"1,045",474,571
健軍３丁目,,,
総数,"2,705","1,278","1,427"
健軍４丁目,,,
総数,"1,908",866,"1,042"
健軍５丁目,,,
総数,184,87,97
健軍本町,,,
総数,"2,629","1,264","1,365"
小糸山町,,,
総数,528,246,282
総数,307,128,179
総数,872,424,448
総数,57,27,30
総数,χ,χ,χ
総数,479,237,242
総数,387,188,199
幸田１丁目,,,
総数,514,254,260
幸田２丁目,,,
総数,736,357,379
紺屋阿弥陀寺町,,,
総数,17,9,8
紺屋今町,,,
総数,95,40,55
紺屋町１丁目,,,
総数,95,45,50
紺屋町２丁目,,,
総数,46,18,28
紺屋町３丁目,,,
総数,90,42,48
子飼本町,,,
総数,612,294,318
国府１丁目,,,
総数,"1,309",593,716
国府２丁目,,,
総数,"2,100",913,"1,187"
国府３丁目,,,
総数,"2,922","1,361","1,561"
国府４丁目,,,
総数,"1,196",559,637
国府本町,,,
総数,"1,315",630,685
小沢町,【秘匿】古桶屋町を含みます,,
総数,506,217,289
古城町,,,
総数,50,22,28
壺川１丁目,,,
総数,778,348,430
壺川２丁目,,,
総数,657,307,350
湖東１丁目,,,
総数,492,240,252
湖東２丁目,,,
総数,"1,111",509,602
湖東３丁目,,,
総数,850,393,457
琴平１丁目,,,
総数,794,374,420
琴平２丁目,,,
総数,927,439,488
琴平本町,,,
総数,"1,451",636,815
呉服町１丁目,,,
総数,98,44,54
呉服町２丁目,,,
総数,221,92,129
呉服町３丁目,,,
総数,239,103,136
米屋町１丁目,,,
総数,495,206,289
米屋町２丁目,,,
総数,248,100,148
米屋町３丁目,,,
総数,222,89,133
御領１丁目,,,
総数,"1,438",700,738
御領２丁目,,,
総数,"1,327",618,709
御領３丁目,,,
総数,"1,428",698,730
御領４丁目,,,
総数,258,118,140
御領５丁目,,,
総数,967,482,485
御領６丁目,,,
総数,378,196,182
御領７丁目,,,
総数,121,55,66
総数,495,255,240
護藤町,,,
総数,"1,451",701,750
細工町１丁目,,,
総数,130,57,73
細工町２丁目,,,
総数,67,36,31
細工町３丁目,,,
総数,158,62,96
細工町４丁目,,,
総数,225,98,127
細工町５丁目,,,
総数,38,16,22
栄町,,,
総数,545,246,299
桜木１丁目,,,
総数,858,409,449
桜木２丁目,,,
総数,752,351,401
桜木３丁目,,,
総数,899,437,462
桜木４丁目,,,
総数,"1,489",734,755
桜木５丁目,,,
総数,842,403,439
桜木６丁目,,,
総数,35,17,18
桜町,,,
総数,286,119,167
佐土原１丁目,,,
総数,"1,669",803,866
佐土原２丁目,,,
総数,314,152,162
佐土原３丁目,,,
総数,149,69,80
三郎１丁目,,,
総数,"1,277",600,677
三郎２丁目,,,
総数,851,389,462
島崎１丁目,,,
総数,"2,711","1,196","1,515"
島崎２丁目,,,
総数,"2,759","1,295","1,464"
島崎３丁目,,,
総数,"1,271",592,679
島崎４丁目,,,
総数,"1,004",472,532
島崎５丁目,,,
総数,"1,769",803,966
島崎６丁目,,,
総数,"1,792",763,"1,029"
島崎７丁目,,,
総数,"1,337",603,734
総数,643,299,344
総数,663,314,349
総数,526,245,281
総数,510,240,270
総数,650,309,341
総数,631,282,349
総数,817,382,435
総数,641,307,334
清水亀井町,,,
総数,"2,409","1,136","1,273"
総数,937,459,478
総数,"1,153",550,603
総数,450,205,245
総数,667,312,355
総数,"1,967",826,"1,141"
総数,771,374,397
総数,"1,090",485,605
清水東町,,,
総数,"1,301",604,697
清水本町,,,
総数,"1,519",714,805
清水町大字打越,,,
総数,0,0,0
清水町大字松崎,,,
総数,0,0,0
清水町大字室園,,,
総数,16,9,7
清水万石１丁目,,,
総数,832,383,449
清水万石２丁目,,,
総数,176,75,101
清水万石３丁目,,,
総数,516,238,278
清水万石４丁目,,,
総数,"1,071",480,591
清水万石５丁目,,,
総数,774,365,409
総数,970,451,519
総数,667,301,366
総数,500,245,255
総数,508,245,263
総数,736,357,379
総数,269,130,139
総数,490,214,276
総数,483,251,232
総数,308,144,164
総数,"1,220",581,639
下硯川町,,,
総数,"1,069",520,549
下通１丁目,,,
総数,170,81,89
下通２丁目,,,
総数,284,133,151
下南部１丁目,,,
総数,342,175,167
下南部２丁目,,,
総数,"1,522",722,800
下南部３丁目,,,
総数,"1,329",637,692
十禅寺１丁目,,,
総数,584,281,303
十禅寺２丁目,,,
総数,654,328,326
十禅寺３丁目,,,
総数,9,4,5
総数,8,5,3
総数,895,402,493
総数,253,121,132
総数,652,300,352
総数,54,13,41
総数,22,12,10
総数,0,0,0
城山上代町,【秘匿】上代３丁目に含めています,,
総数,χ,χ,χ
総数,789,377,412
総数,665,319,346
総数,44,20,24
総数,691,332,359
総数,270,134,136
総数,558,254,304
総数,293,136,157
総数,80,39,41
総数,88,38,50
総数,148,63,85
城東町,,,
総数,327,126,201
総数,451,224,227
総数,831,417,414
総数,808,380,428
総数,115,60,55
総数,"1,111",540,571
総数,"1,254",588,666
総数,643,315,328
総数,550,256,294
総数,349,165,184
総数,"1,973",929,"1,044"
総数,374,185,189
総数,429,201,228
総数,806,393,413
総数,218,108,110
総数,932,443,489
総数,638,294,344
総数,429,196,233
総数,"2,093","1,023","1,070"
総数,"1,121",539,582
総数,"2,065","1,004","1,061"
総数,"1,900",925,975
総数,432,216,216
総数,"1,000",474,526
昭和町,,,
総数,696,333,363
総数,"1,370",660,710
総数,"1,041",496,545
総数,"1,020",442,578
総数,735,343,392
総数,0,0,0
白石町,,,
総数,346,158,188
新大江１丁目,,,
総数,"1,658",751,907
新大江２丁目,,,
総数,"1,482",687,795
新大江３丁目,,,
総数,"1,886",876,"1,010"
新鍛冶屋町,,,
総数,0,0,0
新港１丁目,,,
総数,0,0,0
新市街,,,
総数,129,60,69
新生１丁目,,,
総数,"1,399",647,752
新生２丁目,,,
総数,748,354,394
新土河原１丁目,,,
総数,811,387,424
新土河原２丁目,,,
総数,746,345,401
新南部１丁目,,,
総数,240,119,121
新南部２丁目,,,
総数,674,320,354
新南部３丁目,,,
総数,"1,115",564,551
新南部４丁目,,,
総数,385,196,189
新南部５丁目,,,
総数,"1,233",572,661
新南部６丁目,,,
総数,258,136,122
新外１丁目,,,
総数,442,214,228
新外２丁目,,,
総数,375,184,191
新外３丁目,,,
総数,"1,041",500,541
新外４丁目,,,
総数,524,261,263
新町１丁目,,,
総数,"1,703",750,953
新町２丁目,,,
総数,800,347,453
新町３丁目,,,
総数,"1,552",676,876
新町４丁目,,,
総数,"1,452",653,799
新屋敷１丁目,,,
総数,"1,592",675,917
新屋敷２丁目,,,
総数,"1,218",554,664
新屋敷３丁目,,,
総数,878,403,475
水源１丁目,,,
総数,754,328,426
水源２丁目,,,
総数,427,197,230
水前寺１丁目,,,
総数,"3,096","1,351","1,745"
水前寺２丁目,,,
総数,"1,460",658,802
水前寺３丁目,,,
総数,"2,994","1,343","1,651"
水前寺４丁目,,,
総数,"2,076",940,"1,136"
水前寺５丁目,,,
総数,"1,321",615,706
水前寺６丁目,,,
総数,"1,387",659,728
水前寺公園,,,
総数,"2,671","1,179","1,492"
水道町,【秘匿】本丸を含みます,,
総数,944,398,546
菅原町,,,
総数,933,409,524
硯川町,,,
総数,635,299,336
砂原町,,,
総数,"1,429",660,769
銭塘町,,,
総数,"1,094",494,600
船場町２丁目,,,
総数,142,57,85
船場町３丁目,,,
総数,215,108,107
船場町下１丁目,,,
総数,336,162,174
総数,537,252,285
総数,786,365,421
総数,668,323,345
総数,201,95,106
総数,291,129,162
高平１丁目,,,
総数,"1,678",789,889
高平２丁目,,,
総数,"1,344",644,700
高平３丁目,,,
総数,"1,583",750,833
田崎１丁目,,,
総数,713,335,378
田崎２丁目,,,
総数,964,421,543
田崎３丁目,,,
総数,"1,378",575,803
田崎本町,,,
総数,554,250,304
田崎町,,,
総数,51,24,27
総数,"1,609",782,827
総数,"1,938",943,995
総数,882,432,450
総数,"1,155",561,594
総数,"1,184",568,616
総数,"1,161",552,609
総数,"1,971",956,"1,015"
総数,"1,869",901,968
総数,773,391,382
総数,498,213,285
総数,"1,384",685,699
総数,"1,810",868,942
総数,866,402,464
龍田町弓削,,,
総数,"5,249","2,554","2,695"
総数,"1,526",753,773
総数,297,147,150
谷尾崎町,,,
総数,"1,417",663,754
段山本町,,,
総数,203,98,105
田迎１丁目,,,
総数,551,265,286
田迎２丁目,,,
総数,880,430,450
田迎３丁目,,,
総数,788,388,400
田迎４丁目,,,
総数,491,235,256
田迎５丁目,,,
総数,573,271,302
田迎６丁目,,,
総数,585,271,314
田迎町大字田井島,,,
総数,38,19,19
田迎町大字良町,,,
総数,0,0,0
太郎迫町,,,
総数,274,118,156
近見１丁目,,,
総数,"1,082",510,572
近見２丁目,,,
総数,"1,112",523,589
近見３丁目,,,
総数,"1,050",495,555
近見４丁目,,,
総数,777,375,402
近見５丁目,,,
総数,23,11,12
近見６丁目,,,
総数,"1,512",713,799
近見７丁目,,,
総数,517,244,273
近見８丁目,,,
総数,"1,823",861,962
近見９丁目,,,
総数,65,29,36
近見町,,,
総数,96,36,60
千葉城町,,,
総数,124,54,70
中央街,,,
総数,360,191,169
月出１丁目,,,
総数,"1,628",789,839
月出２丁目,,,
総数,"1,809",864,945
月出３丁目,,,
総数,523,256,267
月出４丁目,,,
総数,"1,679",804,875
月出５丁目,,,
総数,584,285,299
月出６丁目,,,
総数,"1,457",669,788
月出７丁目,,,
総数,694,328,366
月出８丁目,,,
総数,352,169,183
津浦町,,,
総数,"1,994",984,"1,010"
坪井１丁目,,,
総数,895,399,496
坪井２丁目,,,
総数,714,304,410
坪井３丁目,,,
総数,841,365,476
坪井４丁目,,,
総数,731,339,392
坪井５丁目,,,
総数,909,421,488
坪井６丁目,,,
総数,"1,945",911,"1,034"
総数,941,444,497
総数,528,251,277
総数,"1,011",476,535
総数,"1,345",664,681
総数,83,34,49
鶴羽田町,,,
総数,561,269,292
手取本町,,,
総数,36,15,21
出町,,,
総数,"1,088",482,606
通町,,,
総数,50,27,23
土河原町,,,
総数,"1,401",677,724
総数,998,468,530
総数,894,444,450
徳王町,,,
総数,71,37,34
戸坂町,,,
総数,"1,276",583,693
総数,"1,299",646,653
総数,344,168,176
総数,460,225,235
総数,126,60,66
総数,741,362,379
総数,904,433,471
総数,"1,198",577,621
総数,"4,225","1,975","2,250"
総数,265,128,137
総数,43,22,21
総数,389,196,193
総数,306,151,155
総数,308,145,163
総数,291,139,152
総数,914,430,484
戸島町,,,
総数,166,99,67
総数,157,75,82
総数,369,179,190
総数,918,454,464
総数,562,273,289
総数,54,21,33
総数,176,80,96
総数,250,109,141
総数,492,242,250
総数,748,373,375
総数,589,270,319
総数,394,173,221
総数,303,144,159
総数,256,113,143
総数,350,169,181
総数,250,112,138
総数,298,139,159
総数,886,425,461
総数,402,210,192
総数,333,147,186
総数,87,43,44
総数,501,243,258
総数,229,109,120
総数,536,260,276
渡鹿１丁目,,,
総数,"1,205",600,605
渡鹿２丁目,,,
総数,416,191,225
渡鹿３丁目,,,
総数,"1,015",478,537
渡鹿４丁目,,,
総数,810,411,399
渡鹿５丁目,,,
総数,"1,063",500,563
渡鹿６丁目,,,
総数,"1,355",718,637
渡鹿７丁目,,,
総数,"1,110",625,485
渡鹿８丁目,,,
総数,881,484,397
渡鹿９丁目,,,
総数,108,51,57
中江町,,,
総数,43,23,20
中島町,,,
総数,934,432,502
中唐人町,,,
総数,171,74,97
中原町,,,
総数,"1,030",475,555
長嶺西１丁目,,,
総数,"1,438",684,754
長嶺西２丁目,,,
総数,"1,548",746,802
長嶺西３丁目,,,
総数,243,122,121
長嶺東１丁目,,,
総数,"1,413",641,772
長嶺東２丁目,,,
総数,"2,274","1,094","1,180"
長嶺東３丁目,,,
総数,902,436,466
長嶺東４丁目,,,
総数,"1,181",578,603
長嶺東５丁目,,,
総数,"2,530","1,239","1,291"
長嶺東６丁目,,,
総数,"1,453",713,740
長嶺東７丁目,,,
総数,445,232,213
長嶺東８丁目,,,
総数,672,327,345
総数,455,223,232
長嶺南１丁目,,,
総数,"1,256",592,664
長嶺南２丁目,,,
総数,739,354,385
長嶺南３丁目,,,
総数,"2,659","1,222","1,437"
長嶺南４丁目,,,
総数,"1,648",785,863
長嶺南５丁目,,,
総数,674,326,348
長嶺南６丁目,,,
総数,"2,162","1,052","1,110"
長嶺南７丁目,,,
総数,"1,883",916,967
長嶺南８丁目,,,
総数,814,369,445
中無田町,,,
総数,504,235,269
並建町,,,
総数,778,368,410
西阿弥陀寺町,,,
総数,182,73,109
西梶尾町,,,
総数,"1,692",824,868
錦ケ丘,,,
総数,"1,464",694,770
西子飼町,,,
総数,301,123,178
西唐人町,,,
総数,48,19,29
西原１丁目,,,
総数,972,452,520
西原２丁目,,,
総数,983,448,535
西原３丁目,,,
総数,879,380,499
二の丸,,,
総数,0,0,0
二本木１丁目,,,
総数,194,97,97
二本木２丁目,,,
総数,649,290,359
二本木３丁目,,,
総数,723,342,381
二本木４丁目,,,
総数,853,376,477
二本木５丁目,,,
総数,765,360,405
総数,92,37,55
総数,"1,425",675,750
総数,"1,111",527,584
総数,978,460,518
総数,864,403,461
総数,0,0,0
沼山津１丁目,,,
総数,"1,077",505,572
沼山津２丁目,,,
総数,"1,004",471,533
沼山津３丁目,,,
総数,"1,091",520,571
沼山津４丁目,,,
総数,"1,358",649,709
総数,587,267,320
総数,243,118,125
総数,294,136,158
総数,541,256,285
野口町,,,
総数,0,0,0
野田１丁目,,,
総数,254,119,135
野田２丁目,【秘匿】八幡１丁目を含みます,,
総数,818,398,420
野田３丁目,,,
総数,792,370,422
野中１丁目,,,
総数,680,314,366
野中２丁目,,,
総数,707,338,369
野中３丁目,,,
総数,384,176,208
乗越ヶ丘,,,
総数,0,0,0
萩原町,,,
総数,"3,247","1,467","1,780"
白山１丁目,,,
総数,399,174,225
白山２丁目,,,
総数,600,261,339
白山３丁目,,,
総数,357,171,186
八景水谷１丁目,,,
総数,"1,114",521,593
八景水谷２丁目,,,
総数,"3,425","2,165","1,260"
八景水谷３丁目,,,
総数,"1,420",637,783
八景水谷４丁目,,,
総数,890,424,466
畠口町,,,
総数,739,359,380
八王寺町,,,
総数,"4,316","2,014","2,302"
八反田１丁目,,,
総数,784,374,410
八反田２丁目,,,
総数,"1,612",789,823
八反田３丁目,,,
総数,"1,490",728,762
花園１丁目,,,
総数,843,408,435
花園２丁目,,,
総数,556,234,322
花園３丁目,,,
総数,"1,548",716,832
花園４丁目,,,
総数,661,306,355
花園５丁目,,,
総数,"2,406","1,113","1,293"
花園６丁目,,,
総数,"2,069",976,"1,093"
花園７丁目,,,
総数,"2,942","1,366","1,576"
花立１丁目,,,
総数,446,209,237
花立２丁目,,,
総数,926,447,479
花立３丁目,,,
総数,"1,214",569,645
花立４丁目,,,
総数,730,378,352
花立５丁目,,,
総数,"1,644",794,850
