人口統計表,Column_1,Column_2,Column_3
川尻２丁目,,,
総数,221,110,111
川尻３丁目,,,
総数,673,313,360
川尻４丁目,,,
総数,662,305,357
川尻５丁目,,,
総数,314,144,170
川尻６丁目,,,
総数,516,237,279
総数,χ,χ,χ
河内町大多尾,,,
総数,442,215,227
河内町面木,,,
総数,75,35,40
河内町河内,,,
総数,"1,761",825,936
河内町白浜,,,
総数,"1,009",481,528
河内町岳,,,
総数,800,371,429
河内町東門寺,,,
総数,193,94,99
河内町野出,,,
総数,822,394,428
河内町船津,,,
総数,"2,160","1,036","1,124"
川端町,,,
総数,30,12,18
河原町,,,
総数,165,75,90
北迫町,,,
総数,186,94,92
北千反畑町,,,
総数,419,182,237
京塚本町,,,
総数,"1,794",811,983
京町１丁目,,,
総数,"1,296",579,717
京町２丁目,,,
総数,"1,551",685,866
京町本丁,,,
総数,"1,151",546,605
草葉町,,,
総数,377,150,227
楠１丁目,,,
総数,"1,470",597,873
楠２丁目,,,
総数,807,405,402
楠３丁目,,,
総数,427,183,244
楠４丁目,,,
総数,"1,112",524,588
楠５丁目,,,
総数,"1,031",462,569
楠６丁目,,,
総数,509,254,255
楠７丁目,,,
総数,"1,324",623,701
楠８丁目,,,
総数,"1,121",535,586
楠野町,,,
総数,"1,128",549,579
九品寺１丁目,,,
総数,"1,169",528,641
九品寺２丁目,,,
総数,605,267,338
九品寺３丁目,,,
総数,"1,755",818,937
九品寺４丁目,,,
総数,662,288,374
九品寺５丁目,,,
総数,"1,438",673,765
九品寺６丁目,,,
総数,848,385,463
黒髪１丁目,,,
総数,"1,274",586,688
黒髪２丁目,,,
総数,"1,425",682,743
黒髪３丁目,,,
総数,861,398,463
黒髪４丁目,,,
総数,"1,225",635,590
黒髪５丁目,,,
総数,"1,604",796,808
黒髪６丁目,【秘匿】黒髪８丁目を含みます,,
総数,"1,926",953,973
黒髪７丁目,,,
総数,858,437,421
黒髪８丁目,【秘匿】黒髪６丁目を含みます,,
総数,χ,χ,χ
黒髪町大字坪井,,,
総数,0,0,0
神水１丁目,,,
総数,"1,938",857,"1,081"
神水２丁目,,,
総数,713,324,389
神水本町,,,
総数,"1,711",766,945
慶徳堀町,,,
総数,20,11,9
健軍１丁目,,,
総数,"1,511",661,850
健軍２丁目,,,
総数,"1,153",554,599
健軍３丁目,,,
総数,"2,636","1,243","1,393"
健軍４丁目,,,
総数,"1,835",856,979
健軍５丁目,,,
総数,191,93,98
健軍本町,,,
総数,"2,674","1,290","1,384"
総数,240,113,127
小糸山町,,,
総数,519,239,280
総数,307,125,182
総数,870,429,441
総数,28,12,16
総数,χ,χ,χ
総数,χ,χ,χ
総数,437,221,216
総数,390,197,193
幸田１丁目,,,
総数,489,244,245
幸田２丁目,,,
総数,759,357,402
紺屋阿弥陀寺町,,,
総数,19,9,10
紺屋今町,,,
総数,109,47,62
紺屋町１丁目,,,
総数,86,41,45
紺屋町２丁目,,,
総数,44,17,27
紺屋町３丁目,,,
総数,93,38,55
子飼本町,,,
総数,637,294,343
国府１丁目,,,
総数,"1,363",618,745
国府２丁目,,,
総数,"2,028",888,"1,140"
国府３丁目,,,
総数,"3,065","1,457","1,608"
国府４丁目,,,
総数,"1,279",586,693
国府本町,,,
総数,"1,412",653,759
小沢町,【秘匿】古桶屋町を含みます,,
総数,493,206,287
古城町,,,
総数,56,25,31
壺川１丁目,,,
総数,881,391,490
壺川２丁目,,,
総数,641,307,334
湖東１丁目,,,
総数,556,249,307
湖東２丁目,,,
総数,"1,162",536,626
湖東３丁目,,,
総数,844,396,448
琴平１丁目,,,
総数,805,354,451
琴平２丁目,,,
総数,981,465,516
琴平本町,,,
総数,"1,634",710,924
呉服町１丁目,,,
総数,84,34,50
呉服町２丁目,,,
総数,199,84,115
呉服町３丁目,,,
総数,133,63,70
米屋町１丁目,,,
総数,193,74,119
米屋町２丁目,,,
総数,270,120,150
米屋町３丁目,,,
総数,226,94,132
御領１丁目,,,
総数,"1,431",712,719
御領２丁目,,,
総数,"1,397",666,731
御領３丁目,,,
