人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
平成10年4月1日 現在,,,
年齢区分,平成10年04月　人　口,備考,
計,男,女,
会富町,,,
総数,649,311,338
0〜4歳,23,13,10
5〜9歳,12,8,4
10〜14歳,36,21,15
15〜19歳,54,29,25
20〜24歳,46,30,16
25〜29歳,29,13,16
30〜34歳,27,12,15
35〜39歳,29,10,19
40〜44歳,42,22,20
45〜49歳,47,22,25
50〜54歳,55,27,28
55〜59歳,35,17,18
60〜64歳,45,22,23
65〜69歳,39,18,21
70〜74歳,32,15,17
75〜79歳,39,15,24
80〜84歳,33,11,22
85〜89歳,17,2,15
90〜94歳,7,4,3
95〜99歳,2,0,2
100歳以上,0,0,0
秋津１丁目,,,
総数,625,306,319
0〜4歳,20,2,18
5〜9歳,25,12,13
10〜14歳,47,26,21
15〜19歳,34,19,15
20〜24歳,61,33,28
25〜29歳,50,32,18
30〜34歳,23,15,8
35〜39歳,40,21,19
40〜44歳,57,27,30
45〜49歳,40,18,22
50〜54歳,35,21,14
55〜59歳,39,15,24
60〜64歳,43,19,24
65〜69歳,34,19,15
70〜74歳,22,7,15
75〜79歳,20,9,11
80〜84歳,16,3,13
85〜89歳,13,5,8
90〜94歳,6,3,3
95〜99歳,0,0,0
100歳以上,0,0,0
秋津２丁目,,,
総数,809,371,438
0〜4歳,38,20,18
5〜9歳,52,24,28
10〜14歳,60,26,34
15〜19歳,61,33,28
20〜24歳,50,25,25
25〜29歳,56,26,30
30〜34歳,34,9,25
35〜39歳,58,25,33
40〜44歳,62,35,27
45〜49歳,75,36,39
50〜54歳,42,20,22
55〜59歳,37,16,21
60〜64歳,40,15,25
65〜69歳,52,21,31
70〜74歳,44,23,21
75〜79歳,19,9,10
80〜84歳,13,3,10
85〜89歳,12,5,7
90〜94歳,3,0,3
95〜99歳,1,0,1
100歳以上,0,0,0
秋津３丁目,,,
総数,553,269,284
0〜4歳,38,20,18
5〜9歳,32,16,16
10〜14歳,27,15,12
15〜19歳,34,20,14
20〜24歳,42,20,22
25〜29歳,56,25,31
30〜34歳,39,19,20
35〜39歳,37,18,19
40〜44歳,31,12,19
45〜49歳,53,25,28
50〜54歳,34,21,13
55〜59歳,41,18,23
60〜64歳,25,11,14
65〜69歳,20,14,6
70〜74歳,13,3,10
75〜79歳,16,5,11
80〜84歳,8,4,4
85〜89歳,6,3,3
90〜94歳,1,0,1
