year,delta_noexp,exp_rate_terms,exp_rate_terms_clipped,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_hat,pop_after,lag_d1,lag_d2
2026,-33.806691193579866,0.1038781163434902,0.1038781163434902,2888.0,299.9999999999997,0.0,299.9999999999997,266.19330880641985,3154.1933088064197,,
2027,97.27715373747888,-0.0045207777041937,-0.0045207777041937,3154.1933088064197,-14.259406785169016,0.0,-14.259406785169016,83.01774695230986,3237.21105575873,266.19330880641985,
2028,157.82375637670046,0.031163434903047002,0.031163434903047002,3237.21105575873,100.88261600356124,0.0,100.88261600356124,258.7063723802617,3495.9174281389915,83.01774695230986,266.19330880641985
