year,exp_rate_terms,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_noexp,delta_hat,residual_error
2026,0.0,138.0,0.0,0.0,0.0,-16.17606504726978,-16.17606504726978,0.0
2027,0.0,121.82393495273021,0.0,0.0,0.0,-16.522179797430574,-16.522179797430574,0.0
2028,0.0,105.30175515529965,0.0,0.0,0.0,-16.100203569747347,-16.100203569747347,0.0
