town,year,exp_all_h1,exp_all_h2,exp_all_h3,era_post2022,exp_all_h1_post2022,exp_all_h2_post2022,exp_all_h3_post2022,pop_total,lag_d1,lag_d2,ma2_delta,town_ma5,town_std5,town_trend5,macro_delta,macro_ma3,macro_excl,macro_shock,era_pre2013,era_post2009,era_post2013,era_covid,exp_all_h1_pre2013,exp_all_h1_post2009,exp_all_h1_post2013,exp_all_h2_pre2013,exp_all_h2_post2009,exp_all_h2_post2013,exp_all_h3_pre2013,exp_all_h3_post2009,exp_all_h3_post2013,foreign_population,foreign_change,foreign_pct_change,foreign_log,foreign_ma3,foreign_population_covid,foreign_change_covid,foreign_pct_change_covid,foreign_log_covid,foreign_ma3_covid,foreign_population_post2022,foreign_change_post2022,foreign_pct_change_post2022,foreign_log_post2022,foreign_ma3_post2022
万町2丁目,2026,0.0,0.0,0.0,1,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.6,2.7018512172212596,-1.500000000000133,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万町2丁目,2027,0.0,0.0,0.0,1,0.0,0.0,0.0,28.0,6.5511235615814325,0.0,6.5511235615814325,0.6,2.7018512172212596,-1.500000000000133,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万町2丁目,2028,0.0,0.0,0.0,1,0.0,0.0,0.0,28.0,7.058031590018701,6.5511235615814325,6.804577575800067,0.6,2.7018512172212596,-1.500000000000133,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
