year,exp_rate_terms,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_noexp,delta_hat,residual_error
2026,0.0,0.0,0.0,0.0,0.0,-19.78949729371478,-19.78949729371478,0.0
2027,0.0,-19.78949729371478,-0.0,0.0,0.0,-20.65454175475409,-20.65454175475409,0.0
2028,0.0,-40.444039048468866,-0.0,0.0,0.0,-19.295516008794785,-19.295516008794785,0.0
