town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
出仲間9丁目,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
出水5丁目,2022,housing,increase,1.0,1.0,1,1,https://rita-fudosan.jp/,リタ不動産,,"(1, 1.0, 1.0, -9223372036854775807)"
千葉城町,2014,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
千葉城町,2014,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
南熊本2丁目,2018,commercial,increase,1.0,41.0,1,1,,,,"(1, 1.0, 41.0, -9223372036854775807)"
南熊本2丁目,2018,housing,increase,1.0,41.0,1,1,,,,"(1, 1.0, 41.0, -9223372036854775807)"
南熊本2丁目,2018,transit,increase,1.0,41.0,0,1,,,,"(1, 1.0, 41.0, -9223372036854775807)"
南熊本2丁目,2020,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
呉服町2丁目,2001,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
呉服町3丁目,2011,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
呉服町3丁目,2011,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
四方寄町,2022,transit,decrease,1.0,1.0,1,0,https://shimatsukensetsu.co.jp/|https://n-search.jp/,島津建設／nSearch,,"(1, 1.0, 1.0, -9223372036854775807)"
国府2丁目,2022,housing,increase,1.0,1.0,1,1,https://www.city.kumamoto.jp/|https://www.athome.co.jp/,熊本市公式サイト／アットホーム,2021-02-28,"(1, 1.0, 1.0, -1614470400000000000)"
土河原町,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
土河原町,2010,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
坪井6丁目,2000,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
坪井6丁目,2004,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
坪井6丁目,2010,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
城東町,2005,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
城東町,2005,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
城東町,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
大江2丁目,2004,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
