year,horizon,delta_full,contrib_exp,contrib_macro,contrib_inertia,contrib_other
2026,1,122.1420043445249,150.0,-0.08069786921445754,-3.676644544820629,-24.10065324144003
2027,2,209.79942416307819,90.0,-0.21898285037299559,-43.58320980936786,163.60161682281904
2028,3,172.18048480801326,60.0,1.5298414212634128,-52.95097343606918,163.60161682281904
