year,delta_noexp,exp_terms,lag_d1,lag_d2,exp,macro,inertia,other
2026,6.562401475492291,0.0,0.0,0.0,0.0,0.0,0.018924216465600274,6.543477259026691
2027,7.069309503929562,0.0,6.562401475492291,0.0,0.0,0.0,0.01892421646560205,7.05038528746396
2028,7.069309503929562,0.0,7.069309503929562,6.562401475492291,0.0,0.0,0.01892421646560205,7.05038528746396
