year,horizon,delta_full,contrib_exp,contrib_macro,contrib_inertia,contrib_other
2026,1,121.36301062999408,150.0,-0.36368651541637576,-3.8619149137697697,-24.411387940819793
2027,2,205.037756945534,90.0,-0.638336698743899,-47.60466093075314,163.28075457503104
2028,3,178.18254586585823,60.0,1.5542412902485836,-46.65244999942141,163.28075457503104
