year,horizon,delta_full,contrib_exp,contrib_macro,contrib_inertia,contrib_other
2026,1,-29.144785223962863,0.0,-0.42036025127031706,-4.530233000158571,-24.194191972533975
2027,2,14.326510820535354,43.9359503187077,-0.20823195004124528,29.607086442971195,-59.008293991102285
2028,3,-28.77543977671413,0.0,-0.07482032485966528,-12.877304440752585,-15.82331501110188
