year,delta_noexp,exp_terms,lag_d1,lag_d2,exp,macro,inertia,other
2026,6.5511235615814325,0.0,0.0,0.0,0.0,0.0,0.007646302554741524,6.543477259026691
2027,7.058031590018701,0.0,6.5511235615814325,0.0,0.0,0.0,0.007646302554741524,7.05038528746396
2028,7.058031590018701,0.0,7.058031590018701,6.5511235615814325,0.0,0.0,0.007646302554741524,7.05038528746396
