year,exp_rate_terms,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_noexp,delta_hat,residual_error
2026,0.0,682.0,0.0,0.0,0.0,-14.008314297975422,-14.008314297975422,0.0
2027,0.0,667.9916857020246,0.0,0.0,0.0,-14.10323393746201,-14.10323393746201,0.0
2028,0.0,653.8884517645625,0.0,0.0,0.0,-14.146169029416614,-14.146169029416614,0.0
