MAE,RMSE,MAPE,R2,fold,train_years,test_years
3.678704911414588,9.091317323777016,0.8008243776967565,0.920308954004861,1,"{'len': 20, 'first': 1999, 'last': 2018}",[2019]
2.9041739576489087,10.80598872363883,0.6987205870688741,0.8936199043210107,2,"{'len': 21, 'first': 1999, 'last': 2019}",[2020]
2.8249236620539073,9.755155557987008,0.6852560865589035,0.9006323399795118,3,"{'len': 22, 'first': 1999, 'last': 2020}",[2021]
3.29208881538483,48.37245556458286,0.163924934541337,0.26596422708670064,4,"{'len': 23, 'first': 1999, 'last': 2021}",[2022]
2.8930739668637684,9.674766528615667,0.6747607937030676,0.8777871459338308,5,"{'len': 24, 'first': 1999, 'last': 2022}",[2023]
1.9028347858067116,6.013756852630526,0.5229310800588618,0.944435395604736,6,"{'len': 25, 'first': 1999, 'last': 2023}",[2024]
1.9321312605241274,7.170532597232208,0.4122361119128514,0.9392608834187071,7,"{'len': 26, 'first': 1999, 'last': 2024}",[2025]
