year,delta_noexp,exp_rate_terms,exp_rate_terms_clipped,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_hat,pop_after,lag_d1,lag_d2
2026,-27.3231094882783,0.6024096385542168,0.5,249.0,124.5,0.0,124.5,97.1768905117217,346.1768905117217,,
2027,106.12069988909043,0.2265919521322125,0.2265919521322125,346.1768905117217,78.44089740411022,0.0,78.44089740411022,184.56159729320063,530.7384878049223,97.1768905117217,
2028,88.15802887240243,0.24096385542168663,0.24096385542168663,530.7384878049223,127.8887922421499,0.0,127.8887922421499,216.04682111455233,746.7853089194747,184.56159729320063,97.1768905117217
