year,exp_rate_terms,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_noexp,delta_hat,residual_error
2026,0.0,0.0,0.0,0.0,0.0,-17.584133871102793,-17.584133871102793,0.0
2027,0.0,-17.584133871102793,-0.0,0.0,0.0,-18.119815556706246,-18.119815556706246,0.0
2028,0.0,-35.703949427809036,-0.0,0.0,0.0,-19.120849495221623,-19.120849495221623,0.0
