year,delta_noexp,exp_rate_terms,exp_rate_terms_clipped,base_pop_for_rate,exp_people_from_rate,exp_people_manual,exp_people_total,delta_hat,pop_after,lag_d1,lag_d2
2026,-30.565332345422142,3.0,0.5,1.0,0.5,0.0,0.5,-30.065332345422142,-30.065332345422142,,
2027,-30.602052851989097,3.0,0.5,1.0,0.5,0.0,0.5,-30.102052851989097,-60.167385197411235,-30.065332345422142,
2028,-30.633271786414202,3.0,0.5,1.0,0.5,0.0,0.5,-30.133271786414202,-90.30065698382543,-30.102052851989097,-30.065332345422142
