人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
平成15年4月1日 現在,,,
年齢区分,平成15年04月　人　口,備考,
計,男,女,
会富町,,,
総数,631,303,328
0〜4歳,26,12,14
5〜9歳,34,18,16
10〜14歳,18,13,5
15〜19歳,42,24,18
20〜24歳,53,30,23
25〜29歳,34,18,16
30〜34歳,37,17,20
35〜39歳,39,18,21
40〜44歳,34,14,20
45〜49歳,42,21,21
50〜54歳,47,21,26
55〜59歳,61,33,28
60〜64歳,33,15,18
65〜69歳,40,17,23
70〜74歳,29,13,16
75〜79歳,24,10,14
80〜84歳,16,2,14
85〜89歳,14,5,9
90〜94歳,5,1,4
95〜99歳,2,1,1
100歳以上,1,0,1
秋津１丁目,,,
総数,585,267,318
0〜4歳,14,7,7
5〜9歳,18,3,15
10〜14歳,25,12,13
15〜19歳,51,28,23
20〜24歳,39,23,16
25〜29歳,40,19,21
30〜34歳,28,15,13
35〜39歳,27,11,16
40〜44歳,33,15,18
45〜49歳,54,26,28
50〜54歳,42,18,24
55〜59歳,37,20,17
60〜64歳,39,15,24
65〜69歳,40,18,22
70〜74歳,30,15,15
75〜79歳,24,6,18
80〜84歳,22,9,13
85〜89歳,10,2,8
90〜94歳,10,5,5
95〜99歳,1,0,1
100歳以上,1,0,1
秋津２丁目,,,
総数,891,416,475
0〜4歳,54,24,30
5〜9歳,47,21,26
10〜14歳,64,33,31
15〜19歳,65,26,39
20〜24歳,53,29,24
25〜29歳,55,31,24
30〜34歳,57,27,30
35〜39歳,56,18,38
40〜44歳,76,34,42
45〜49歳,65,37,28
50〜54歳,70,36,34
55〜59歳,47,24,23
60〜64歳,32,16,16
65〜69歳,39,13,26
70〜74歳,50,22,28
75〜79歳,34,16,18
80〜84歳,14,7,7
85〜89歳,8,1,7
90〜94歳,4,1,3
95〜99歳,1,0,1
100歳以上,0,0,0
秋津３丁目,,,
総数,608,303,305
0〜4歳,47,24,23
5〜9歳,27,13,14
10〜14歳,36,18,18
15〜19歳,27,17,10
20〜24歳,44,23,21
25〜29歳,68,29,39
30〜34歳,46,24,22
35〜39歳,37,21,16
40〜44歳,37,18,19
45〜49歳,32,13,19
50〜54歳,55,30,25
55〜59歳,35,22,13
60〜64歳,40,17,23
65〜69歳,21,9,12
70〜74歳,21,14,7
75〜79歳,13,3,10
80〜84歳,14,5,9
85〜89歳,5,2,3
90〜94歳,3,1,2
95〜99歳,0,0,0
100歳以上,0,0,0
秋津新町,,,
総数,148,64,84
0〜4歳,4,2,2
5〜9歳,8,2,6
10〜14歳,8,6,2
15〜19歳,10,5,5
20〜24歳,7,3,4
25〜29歳,6,2,4
30〜34歳,5,3,2
35〜39歳,5,1,4
40〜44歳,13,3,10
45〜49歳,6,3,3
50〜54歳,18,8,10
55〜59歳,11,6,5
60〜64歳,4,2,2
65〜69歳,13,5,8
70〜74歳,10,6,4
75〜79歳,6,2,4
80〜84歳,6,2,4
85〜89歳,5,3,2
90〜94歳,3,0,3
95〜99歳,0,0,0
100歳以上,0,0,0
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,665","1,244","1,421"
0〜4歳,107,53,54
5〜9歳,196,101,95
10〜14歳,280,140,140
15〜19歳,253,133,120
20〜24歳,163,73,90
25〜29歳,111,51,60
30〜34歳,119,46,73
35〜39歳,175,77,98
40〜44歳,242,95,147
45〜49歳,222,107,115
50〜54歳,212,107,105
55〜59歳,139,78,61
60〜64歳,101,44,57
65〜69歳,91,41,50
70〜74歳,89,43,46
75〜79歳,51,19,32
80〜84歳,42,16,26
85〜89歳,42,10,32
90〜94歳,23,6,17
95〜99歳,7,4,3
100歳以上,0,0,0
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
0〜4歳,χ,χ,χ
5〜9歳,χ,χ,χ
10〜14歳,χ,χ,χ
15〜19歳,χ,χ,χ
20〜24歳,χ,χ,χ
25〜29歳,χ,χ,χ
30〜34歳,χ,χ,χ
35〜39歳,χ,χ,χ
40〜44歳,χ,χ,χ
45〜49歳,χ,χ,χ
50〜54歳,χ,χ,χ
55〜59歳,χ,χ,χ
60〜64歳,χ,χ,χ
65〜69歳,χ,χ,χ
