町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,656.0,311.0,345.0,26.0,39.0,24.0,27.0,34.0,48.0,46.0,41.0,32.0,38.0,37.0,73.0,39.0,40.0,36.0,26.0,21.0,15.0,11.0,3.0,0.0
秋津１丁目,756.0,355.0,401.0,39.0,44.0,39.0,47.0,54.0,47.0,55.0,53.0,58.0,50.0,52.0,42.0,38.0,38.0,35.0,22.0,19.0,11.0,9.0,3.0,1.0
秋津２丁目,957.0,454.0,503.0,64.0,46.0,68.0,69.0,51.0,56.0,70.0,65.0,63.0,81.0,65.0,66.0,37.0,27.0,40.0,47.0,27.0,7.0,5.0,3.0,0.0
秋津３丁目,723.0,349.0,374.0,59.0,52.0,43.0,29.0,35.0,57.0,84.0,54.0,55.0,39.0,33.0,57.0,33.0,35.0,14.0,22.0,9.0,10.0,3.0,0.0,0.0
秋津新町,127.0,55.0,72.0,3.0,6.0,8.0,2.0,7.0,5.0,4.0,6.0,13.0,4.0,9.0,15.0,10.0,6.0,7.0,6.0,7.0,5.0,3.0,1.0,0.0
秋津町秋田,2612.0,1221.0,1391.0,98.0,160.0,212.0,261.0,170.0,132.0,135.0,133.0,187.0,249.0,206.0,194.0,107.0,102.0,79.0,66.0,43.0,42.0,26.0,10.0,0.0
秋津町沼山津,16.0,7.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1374.0,647.0,727.0,81.0,70.0,80.0,71.0,80.0,117.0,102.0,75.0,87.0,88.0,98.0,93.0,69.0,85.0,58.0,50.0,30.0,28.0,10.0,2.0,0.0
安政町,114.0,48.0,66.0,3.0,6.0,1.0,2.0,12.0,5.0,8.0,6.0,7.0,6.0,7.0,14.0,5.0,3.0,8.0,5.0,6.0,5.0,4.0,0.0,1.0
井川淵町,139.0,62.0,77.0,7.0,6.0,1.0,2.0,6.0,6.0,11.0,5.0,5.0,8.0,11.0,9.0,8.0,15.0,10.0,11.0,12.0,2.0,2.0,1.0,1.0
池亀町,735.0,381.0,354.0,26.0,11.0,33.0,53.0,69.0,46.0,32.0,23.0,45.0,44.0,58.0,72.0,56.0,43.0,42.0,30.0,27.0,18.0,7.0,0.0,0.0
池田１丁目,2880.0,1314.0,1566.0,122.0,174.0,185.0,143.0,181.0,152.0,167.0,212.0,223.0,208.0,214.0,209.0,131.0,114.0,148.0,134.0,77.0,50.0,23.0,12.0,1.0
池田２丁目,2657.0,1274.0,1383.0,114.0,125.0,113.0,139.0,184.0,187.0,153.0,157.0,145.0,150.0,175.0,220.0,182.0,143.0,159.0,153.0,94.0,45.0,16.0,3.0,0.0
池田３丁目,2791.0,1320.0,1471.0,94.0,109.0,121.0,176.0,185.0,157.0,153.0,138.0,156.0,160.0,158.0,254.0,183.0,170.0,192.0,184.0,111.0,49.0,32.0,7.0,2.0
池田４丁目,602.0,350.0,252.0,15.0,16.0,14.0,50.0,123.0,42.0,46.0,24.0,27.0,23.0,37.0,55.0,29.0,24.0,29.0,18.0,17.0,6.0,5.0,1.0,1.0
池上町,218.0,101.0,117.0,10.0,6.0,12.0,20.0,21.0,12.0,15.0,7.0,6.0,20.0,19.0,29.0,10.0,5.0,5.0,12.0,4.0,4.0,1.0,0.0,0.0
石原町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
