町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,846,409,437,60,60,46,34,34,35,43,68,75,46,54,41,50,36,58,40,28,24,9,4,1
秋津１丁目,744,373,371,29,41,28,44,45,22,36,39,51,70,58,46,49,52,33,31,23,24,12,8,3
秋津２丁目,1048,488,560,59,68,64,70,49,54,62,89,53,86,71,67,64,54,52,32,19,24,8,2,1
秋津３丁目,852,392,460,43,55,73,46,44,45,44,59,56,60,49,50,40,47,57,30,26,15,11,1,1
秋津新町,326,138,188,29,23,6,5,12,22,33,36,38,20,18,20,12,12,15,7,5,8,2,3,0
秋津町秋田,1966,888,1078,37,47,60,93,83,67,96,75,85,107,118,132,215,206,199,121,88,77,39,19,2
秋津町沼山津,99,44,55,15,9,5,3,4,9,12,8,12,5,7,3,4,1,2,0,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1237,578,659,38,56,65,48,46,36,57,77,69,86,72,95,97,92,109,51,66,50,23,3,1
安政町,77,29,48,1,0,1,4,4,3,3,3,6,7,4,7,6,8,10,3,3,1,2,1,0
井川淵町,155,73,82,5,6,4,5,10,14,10,10,11,13,10,5,14,4,8,5,9,10,1,1,0
池亀町,773,388,385,35,24,22,31,53,47,48,44,36,48,44,37,43,54,65,53,39,24,15,10,1
池田１丁目,2530,1218,1312,93,103,117,123,121,108,99,126,149,193,173,194,193,188,206,114,87,72,53,13,5
池田２丁目,2700,1296,1404,73,108,134,134,168,107,125,150,150,211,213,159,159,185,194,143,110,97,53,24,3
池田３丁目,2394,1162,1232,71,87,82,84,124,101,121,118,144,129,151,155,164,168,222,139,135,113,63,20,3
池田４丁目,540,318,222,13,9,11,41,95,35,33,29,26,31,19,30,16,32,51,27,14,15,8,5,0
池上町,199,101,98,4,9,11,8,7,6,9,17,10,23,9,5,21,18,25,6,6,2,3,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1127,481,646,19,29,39,35,53,55,54,60,50,77,88,112,110,73,82,66,44,49,22,8,2
出水２丁目,599,278,321,23,20,27,30,31,17,25,30,31,27,53,38,51,45,56,42,17,20,11,5,0
出水３丁目,1290,583,707,53,74,62,80,80,56,59,67,86,89,113,96,70,79,83,51,38,29,20,5,0
出水４丁目,1428,684,744,61,76,85,93,53,57,69,86,61,124,116,97,78,87,95,69,48,45,19,6,3
出水５丁目,1849,874,975,60,89,114,101,83,63,73,87,119,145,132,122,119,133,138,92,72,51,38,15,3
出水６丁目,3319,1584,1735,154,129,179,172,157,170,186,219,231,262,214,210,211,216,199,151,113,101,38,5,2
出水７丁目,2645,1235,1410,145,116,105,106,100,82,139,145,175,160,165,152,148,142,201,150,172,147,72,21,2
出水８丁目,1978,928,1050,95,136,92,88,74,75,88,136,125,137,104,115,138,150,116,95,84,75,46,9,0
和泉町,335,174,161,15,15,7,16,17,10,13,24,16,28,11,15,26,29,32,24,12,14,10,1,0
板屋町,10,6,4,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,1,1,0,1,0,0
出仲間１丁目,732,344,388,32,39,49,41,36,22,38,47,51,70,49,47,54,54,47,23,14,7,8,3,1
出仲間２丁目,516,225,291,31,27,33,24,16,23,36,22,38,34,35,28,22,30,33,26,26,15,11,5,1
出仲間３丁目,749,370,379,41,46,51,42,43,52,43,49,58,59,53,50,51,42,27,19,13,2,7,1,0
出仲間４丁目,1140,546,594,42,62,73,62,64,40,42,56,69,104,85,91,49,56,68,64,59,43,7,4,0
出仲間５丁目,702,341,361,33,29,46,48,46,45,32,40,42,62,74,54,35,27,30,19,17,14,5,3,1
出仲間６丁目,1103,524,579,60,58,63,48,56,89,89,62,82,82,66,69,60,57,77,26,25,17,11,5,1
出仲間７丁目,1091,495,596,49,57,76,73,38,44,52,60,78,72,74,80,70,65,66,48,35,31,15,7,1
出仲間８丁目,553,268,285,15,21,27,26,47,27,22,19,36,33,70,46,42,24,28,28,21,14,5,2,0
出仲間９丁目,324,156,168,18,15,18,12,36,45,15,29,25,33,10,21,12,10,8,8,4,2,2,1,0
今町,798,372,426,19,19,26,25,29,35,19,29,40,47,57,52,39,82,86,65,53,41,26,7,2
魚屋町１丁目,73,32,41,3,1,0,0,17,13,15,7,7,2,1,2,0,3,2,0,0,0,0,0,0
魚屋町２丁目,29,15,14,0,1,0,1,5,7,3,2,1,1,2,0,0,0,0,2,2,1,1,0,0
魚屋町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海路口町,278,137,141,18,21,14,14,15,18,17,17,18,21,18,18,15,14,13,7,8,6,5,1,0
薄場町,50,25,25,2,3,2,6,2,3,5,3,5,6,5,1,1,0,4,1,1,0,0,0,0
打越町,1654,788,866,55,77,74,55,81,71,74,93,98,123,118,80,113,116,154,92,70,58,33,16,3
内田町,1183,573,610,37,55,59,56,37,37,50,67,64,84,75,77,81,99,106,59,64,46,22,6,2
内坪井町,663,305,358,14,32,35,38,30,28,31,40,50,47,56,36,33,41,47,27,33,24,15,5,1
江越１丁目,815,397,418,50,27,27,33,72,59,61,49,50,79,86,59,46,37,32,18,13,6,8,3,0
江越２丁目,285,137,148,17,28,16,11,5,14,14,26,25,23,8,11,15,23,24,9,4,7,3,2,0
画図町大字上無田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字重富,2519,1179,1340,116,202,176,120,79,59,100,165,217,176,118,138,160,206,189,122,83,55,30,7,1
画図町大字下江津,15,6,9,0,1,2,0,0,1,1,2,0,0,0,1,0,1,3,0,0,2,1,0,0
画図町大字下無田,1280,612,668,96,88,74,47,43,68,90,106,90,77,57,54,59,66,111,51,44,38,16,2,3
画図町大字所島,868,417,451,35,55,66,50,42,25,37,57,54,76,39,40,59,60,69,29,27,14,20,12,2
江津１丁目,1241,570,671,37,30,54,63,58,61,55,65,64,83,93,88,105,81,81,73,63,50,30,6,1
江津２丁目,293,138,155,7,18,11,9,8,10,12,13,19,19,16,22,25,17,25,23,23,9,5,2,0
榎町,2047,983,1064,73,105,103,104,84,63,87,93,135,143,135,157,144,146,168,109,97,71,20,10,0
大江１丁目,2177,1097,1080,52,56,76,97,209,129,106,126,130,145,166,150,125,174,156,108,68,52,38,10,4
大江２丁目,1623,803,820,106,141,80,64,88,87,104,136,155,107,90,89,79,77,72,50,44,31,16,5,2
大江３丁目,2010,977,1033,123,188,130,121,110,74,90,171,186,167,171,118,88,59,77,47,32,34,13,10,1
大江４丁目,1649,721,928,65,73,72,83,80,83,70,100,107,126,116,135,119,78,124,80,60,42,27,8,1
大江５丁目,792,340,452,17,19,31,33,50,51,39,35,39,61,61,69,53,53,63,44,27,23,18,5,1
大江６丁目,1721,773,948,53,93,116,104,90,77,57,80,116,197,164,138,92,88,82,68,46,27,21,10,2
大江本町,535,228,307,27,18,11,14,25,43,38,39,32,35,39,36,50,30,34,27,18,13,5,1,0
大窪１丁目,212,93,119,8,6,5,11,11,15,13,19,12,12,7,11,14,13,14,14,9,10,8,0,0
大窪２丁目,276,148,128,1,5,9,2,18,14,14,9,15,25,14,15,20,29,41,20,5,13,3,3,1
大窪３丁目,277,135,142,7,9,11,8,7,5,18,26,23,19,11,14,10,35,24,19,15,7,6,3,0
大窪４丁目,309,155,154,15,11,5,7,24,33,31,26,22,27,21,13,10,17,24,5,9,7,0,2,0
大窪５丁目,724,330,394,17,27,18,22,29,29,23,47,37,33,56,41,55,63,85,62,36,24,16,3,1
大鳥居町,198,103,95,5,9,6,6,3,4,11,15,8,11,11,8,19,22,20,10,7,11,12,0,0
岡田町,467,218,249,15,16,17,26,29,26,20,27,26,38,43,25,24,34,24,29,23,15,5,2,3
沖新町,1699,806,893,41,69,84,77,77,63,68,91,71,81,128,142,149,102,132,97,94,83,36,14,0
奥古閑町,858,434,424,48,44,30,44,51,42,57,64,48,53,58,60,62,66,57,13,26,16,12,6,1
小島上町,84,44,40,1,3,3,1,1,1,4,2,5,4,6,3,5,6,16,7,7,6,2,1,0
小島下町,568,282,286,15,20,24,19,22,16,23,27,40,29,21,36,43,48,70,28,36,29,17,5,0
尾ノ上１丁目,1879,880,999,81,84,70,97,84,107,97,122,118,141,142,115,111,124,133,85,80,45,30,13,0
尾ノ上２丁目,1463,687,776,42,74,85,87,74,69,54,90,79,100,104,104,141,126,90,50,46,28,12,8,0
尾ノ上３丁目,1123,481,642,26,40,48,56,46,44,47,58,78,73,78,92,106,96,92,47,25,41,17,10,3
尾ノ上４丁目,2348,1092,1256,88,90,117,103,135,123,118,151,141,203,190,187,143,137,134,97,87,59,29,14,2
帯山１丁目,2500,1133,1367,89,104,134,139,123,96,96,106,157,175,188,182,167,157,206,130,101,98,38,13,1
帯山２丁目,1635,709,926,59,72,74,93,145,126,85,84,99,133,117,103,103,82,77,62,48,38,24,10,1
帯山３丁目,2798,1309,1489,129,164,178,197,137,118,101,164,202,224,206,163,160,164,159,100,84,79,47,19,3
帯山４丁目,2700,1268,1432,101,154,170,162,125,112,102,161,178,232,205,161,148,164,143,92,108,98,63,19,2
帯山５丁目,2277,1040,1237,85,87,107,107,95,82,98,107,135,148,144,136,188,185,167,114,113,83,72,22,2
帯山６丁目,935,445,490,42,53,46,55,35,33,44,65,52,61,67,71,41,74,63,35,32,40,17,9,0
帯山７丁目,2344,1111,1233,108,112,107,110,127,113,130,160,148,159,188,143,153,158,174,86,83,47,23,12,3
帯山８丁目,489,240,249,18,18,29,18,21,34,25,21,32,38,43,34,41,33,39,20,8,12,5,0,0
帯山９丁目,825,370,455,29,30,35,47,40,41,47,48,42,70,66,64,79,58,48,31,19,22,9,0,0
小峯１丁目,604,289,315,31,37,35,43,26,16,15,46,47,45,33,38,30,33,39,34,20,16,17,3,0
小峯２丁目,1189,554,635,54,65,48,53,69,64,74,82,71,106,84,84,64,63,82,56,34,20,9,6,1
小峯３丁目,1196,558,638,75,54,46,48,67,98,121,94,70,90,77,63,63,51,59,30,32,34,17,7,0
小峯４丁目,545,279,266,96,55,26,14,21,43,70,68,44,25,17,18,11,8,14,6,5,2,1,1,0
小山町,708,328,380,56,62,28,13,13,26,57,58,44,24,18,35,37,37,51,38,50,24,25,8,4
鹿帰瀬町,357,179,178,24,20,10,11,10,16,22,26,23,13,16,17,24,33,39,18,11,12,11,1,0
梶尾町,3864,1831,2033,191,196,183,189,154,164,165,250,255,285,236,253,260,279,253,174,159,125,68,22,3
鍛冶屋町,240,117,123,7,26,17,6,9,8,8,21,23,28,24,18,13,12,4,6,3,3,2,2,0
春日１丁目,1301,589,712,46,50,59,58,75,79,63,85,70,103,123,97,100,73,78,49,43,24,21,5,0
春日２丁目,606,298,308,44,31,17,14,19,33,43,50,63,53,44,37,41,37,36,15,8,11,5,5,0
