町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,678.0,325.0,353.0,30.0,19.0,35.0,50.0,48.0,35.0,35.0,30.0,31.0,50.0,65.0,33.0,45.0,40.0,36.0,34.0,35.0,16.0,8.0,3.0,0.0
秋津１丁目,611.0,298.0,313.0,15.0,27.0,41.0,39.0,50.0,44.0,28.0,36.0,57.0,42.0,41.0,35.0,41.0,35.0,25.0,22.0,15.0,14.0,4.0,0.0,0.0
秋津２丁目,810.0,381.0,429.0,45.0,44.0,58.0,61.0,45.0,66.0,30.0,58.0,64.0,68.0,44.0,36.0,44.0,51.0,45.0,24.0,12.0,10.0,4.0,1.0,0.0
秋津３丁目,563.0,276.0,287.0,37.0,28.0,31.0,30.0,43.0,47.0,52.0,37.0,34.0,40.0,49.0,43.0,27.0,17.0,17.0,13.0,9.0,8.0,1.0,0.0,0.0
秋津新町,138.0,68.0,70.0,4.0,8.0,9.0,8.0,7.0,3.0,4.0,13.0,7.0,20.0,9.0,5.0,10.0,6.0,9.0,6.0,6.0,4.0,0.0,0.0,0.0
秋津町秋田,2649.0,1250.0,1399.0,152.0,271.0,307.0,202.0,123.0,97.0,145.0,242.0,241.0,213.0,170.0,100.0,105.0,93.0,55.0,42.0,42.0,32.0,16.0,1.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,330.0,152.0,178.0,36.0,19.0,14.0,13.0,24.0,28.0,27.0,30.0,14.0,19.0,15.0,21.0,24.0,6.0,9.0,15.0,9.0,7.0,0.0,0.0,0.0
改寄町,1288.0,605.0,683.0,96.0,63.0,76.0,77.0,93.0,83.0,107.0,82.0,82.0,95.0,67.0,71.0,79.0,62.0,54.0,39.0,42.0,13.0,6.0,1.0,0.0
安政町,112.0,55.0,57.0,5.0,1.0,9.0,6.0,1.0,1.0,5.0,8.0,10.0,11.0,11.0,6.0,4.0,6.0,12.0,8.0,4.0,3.0,0.0,1.0,0.0
井川淵町,182.0,84.0,98.0,3.0,3.0,5.0,7.0,12.0,11.0,7.0,15.0,9.0,9.0,17.0,10.0,20.0,10.0,23.0,9.0,4.0,5.0,3.0,0.0,0.0
池亀町,818.0,442.0,376.0,23.0,34.0,45.0,61.0,114.0,39.0,28.0,46.0,52.0,64.0,61.0,61.0,49.0,43.0,32.0,34.0,22.0,8.0,2.0,0.0,0.0
池田１丁目,2653.0,1241.0,1412.0,136.0,134.0,145.0,169.0,225.0,151.0,192.0,177.0,194.0,186.0,173.0,124.0,137.0,156.0,141.0,82.0,66.0,47.0,12.0,5.0,1.0
池田２丁目,2537.0,1242.0,1295.0,83.0,86.0,124.0,171.0,277.0,142.0,113.0,116.0,139.0,182.0,184.0,180.0,179.0,174.0,165.0,111.0,73.0,27.0,9.0,2.0,0.0
池田３丁目,3013.0,1479.0,1534.0,131.0,122.0,158.0,190.0,287.0,180.0,161.0,165.0,155.0,219.0,179.0,208.0,181.0,244.0,183.0,120.0,69.0,36.0,21.0,3.0,1.0
池田４丁目,751.0,480.0,271.0,16.0,12.0,55.0,151.0,189.0,30.0,20.0,15.0,21.0,37.0,50.0,34.0,25.0,33.0,26.0,19.0,7.0,7.0,4.0,0.0,0.0
池上町,2623.0,1211.0,1412.0,120.0,146.0,233.0,167.0,154.0,170.0,138.0,181.0,212.0,186.0,199.0,140.0,136.0,145.0,109.0,82.0,56.0,35.0,14.0,0.0,0.0
石原町,994.0,480.0,514.0,41.0,82.0,81.0,85.0,78.0,54.0,58.0,71.0,93.0,91.0,75.0,49.0,35.0,34.0,21.0,19.0,15.0,10.0,2.0,0.0,0.0
出水１丁目,1117.0,498.0,619.0,62.0,68.0,65.0,45.0,57.0,88.0,108.0,114.0,70.0,75.0,73.0,50.0,59.0,59.0,39.0,39.0,17.0,19.0,9.0,1.0,0.0
出水２丁目,588.0,260.0,328.0,26.0,29.0,38.0,49.0,36.0,28.0,42.0,36.0,49.0,56.0,41.0,36.0,24.0,25.0,32.0,22.0,8.0,6.0,5.0,0.0,0.0
出水３丁目,1423.0,677.0,746.0,88.0,80.0,90.0,86.0,100.0,81.0,125.0,94.0,115.0,99.0,86.0,80.0,63.0,70.0,67.0,53.0,24.0,17.0,5.0,0.0,0.0
出水４丁目,1588.0,767.0,821.0,84.0,123.0,98.0,101.0,92.0,140.0,121.0,140.0,123.0,103.0,107.0,89.0,73.0,71.0,54.0,41.0,16.0,7.0,2.0,2.0,1.0
出水５丁目,2011.0,958.0,1053.0,109.0,94.0,127.0,140.0,139.0,112.0,143.0,132.0,149.0,169.0,122.0,113.0,101.0,117.0,115.0,72.0,30.0,12.0,13.0,2.0,0.0
出水６丁目,3509.0,1688.0,1821.0,223.0,178.0,213.0,273.0,278.0,318.0,267.0,234.0,262.0,293.0,248.0,215.0,158.0,149.0,95.0,42.0,25.0,27.0,9.0,2.0,0.0
出水７丁目,2573.0,1228.0,1345.0,85.0,117.0,161.0,160.0,182.0,148.0,121.0,141.0,151.0,191.0,194.0,198.0,230.0,174.0,139.0,78.0,52.0,29.0,15.0,5.0,2.0
出水８丁目,1854.0,851.0,1003.0,89.0,95.0,140.0,128.0,92.0,126.0,105.0,114.0,152.0,132.0,131.0,109.0,90.0,139.0,90.0,63.0,33.0,19.0,4.0,2.0,1.0
和泉町,386.0,185.0,201.0,10.0,18.0,33.0,26.0,29.0,16.0,14.0,20.0,27.0,32.0,32.0,20.0,21.0,28.0,29.0,11.0,9.0,8.0,2.0,1.0,0.0
板屋町,38.0,15.0,23.0,0.0,2.0,0.0,3.0,4.0,2.0,2.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0
出仲間１丁目,711.0,352.0,359.0,49.0,56.0,55.0,58.0,44.0,49.0,64.0,68.0,71.0,64.0,39.0,22.0,22.0,14.0,13.0,13.0,5.0,1.0,4.0,0.0,0.0
出仲間２丁目,498.0,222.0,276.0,24.0,21.0,28.0,24.0,30.0,39.0,27.0,29.0,34.0,35.0,38.0,37.0,31.0,29.0,24.0,25.0,14.0,6.0,1.0,2.0,0.0
