町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,631.0,303.0,328.0,26.0,34.0,18.0,42.0,53.0,34.0,37.0,39.0,34.0,42.0,47.0,61.0,33.0,40.0,29.0,24.0,16.0,14.0,5.0,2.0,1.0
秋津１丁目,585.0,267.0,318.0,14.0,18.0,25.0,51.0,39.0,40.0,28.0,27.0,33.0,54.0,42.0,37.0,39.0,40.0,30.0,24.0,22.0,10.0,10.0,1.0,1.0
秋津２丁目,891.0,416.0,475.0,54.0,47.0,64.0,65.0,53.0,55.0,57.0,56.0,76.0,65.0,70.0,47.0,32.0,39.0,50.0,34.0,14.0,8.0,4.0,1.0,0.0
秋津３丁目,608.0,303.0,305.0,47.0,27.0,36.0,27.0,44.0,68.0,46.0,37.0,37.0,32.0,55.0,35.0,40.0,21.0,21.0,13.0,14.0,5.0,3.0,0.0,0.0
秋津新町,148.0,64.0,84.0,4.0,8.0,8.0,10.0,7.0,6.0,5.0,5.0,13.0,6.0,18.0,11.0,4.0,13.0,10.0,6.0,6.0,5.0,3.0,0.0,0.0
秋津町秋田,2665.0,1244.0,1421.0,107.0,196.0,280.0,253.0,163.0,111.0,119.0,175.0,242.0,222.0,212.0,139.0,101.0,91.0,89.0,51.0,42.0,42.0,23.0,7.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1282.0,611.0,671.0,63.0,77.0,69.0,74.0,83.0,89.0,71.0,86.0,79.0,90.0,101.0,63.0,83.0,78.0,58.0,46.0,41.0,26.0,4.0,1.0,0.0
安政町,117.0,51.0,66.0,5.0,3.0,1.0,8.0,4.0,12.0,4.0,6.0,9.0,7.0,13.0,7.0,5.0,6.0,7.0,9.0,5.0,5.0,1.0,0.0,0.0
井川淵町,159.0,75.0,84.0,8.0,1.0,4.0,6.0,7.0,10.0,8.0,4.0,13.0,6.0,13.0,14.0,10.0,16.0,7.0,20.0,6.0,1.0,4.0,1.0,0.0
池亀町,799.0,433.0,366.0,15.0,27.0,44.0,57.0,105.0,55.0,27.0,32.0,43.0,59.0,71.0,57.0,48.0,44.0,34.0,30.0,30.0,16.0,5.0,0.0,0.0
池田１丁目,2663.0,1221.0,1442.0,112.0,160.0,138.0,139.0,173.0,184.0,156.0,197.0,196.0,186.0,205.0,150.0,115.0,146.0,144.0,107.0,72.0,49.0,25.0,8.0,1.0
池田２丁目,2590.0,1240.0,1350.0,105.0,111.0,112.0,165.0,215.0,170.0,158.0,128.0,139.0,156.0,195.0,177.0,155.0,172.0,176.0,123.0,72.0,48.0,9.0,4.0,0.0
池田３丁目,2930.0,1404.0,1526.0,133.0,109.0,131.0,192.0,188.0,167.0,169.0,157.0,165.0,152.0,242.0,188.0,182.0,199.0,233.0,155.0,91.0,51.0,20.0,6.0,0.0
池田４丁目,695.0,421.0,274.0,21.0,13.0,18.0,87.0,163.0,53.0,29.0,26.0,20.0,37.0,51.0,41.0,27.0,34.0,24.0,25.0,15.0,4.0,5.0,2.0,0.0
池上町,2604.0,1201.0,1403.0,122.0,112.0,161.0,231.0,123.0,158.0,141.0,141.0,189.0,195.0,203.0,185.0,147.0,143.0,120.0,105.0,60.0,43.0,21.0,4.0,0.0
石原町,1017.0,491.0,526.0,34.0,53.0,71.0,89.0,69.0,73.0,48.0,61.0,65.0,98.0,112.0,54.0,41.0,36.0,28.0,32.0,28.0,16.0,8.0,1.0,0.0
