人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,640,313,327,42,40,41,76,94,46,55,44,50,62,90,74,56,59,43,32,20,19,9,1,0
秋津１丁目,586,272,314,25,21,46,79,60,71,45,35,50,89,49,53,57,53,47,30,23,8,16,0,1
秋津２丁目,876,407,469,70,68,100,93,83,96,73,75,116,95,110,60,37,54,68,51,13,14,7,0,0
秋津３丁目,613,303,310,67,49,52,49,71,95,72,51,50,50,89,50,59,30,38,14,19,7,4,0,0
秋津新町,145,66,79,6,11,10,21,8,5,5,16,12,14,29,10,3,21,14,10,7,7,2,0,0
秋津町秋田,2671,1244,1427,187,325,439,372,213,165,181,258,374,306,306,187,134,143,105,74,68,47,26,5,0
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1299,619,680,107,132,106,110,121,126,106,133,125,145,148,96,121,97,89,59,62,28,5,2,0
安政町,117,51,66,7,5,1,12,5,10,7,9,15,13,17,11,8,8,10,13,7,9,0,1,0
井川淵町,151,72,79,5,5,3,10,12,14,9,10,18,6,21,20,16,23,10,24,8,1,6,2,0
池亀町,818,441,377,19,45,76,93,222,70,44,50,65,86,108,85,68,66,49,49,39,18,5,2,0
池田１丁目,2648,1215,1433,184,222,190,235,288,229,242,288,292,275,300,220,167,203,207,137,94,54,29,7,0
池田２丁目,2916,1397,1519,196,167,227,266,352,259,244,245,229,219,366,242,286,287,315,209,114,54,30,5,1
池田４丁目,684,426,258,25,20,39,158,310,101,35,35,33,47,75,63,28,52,29,31,14,8,4,3,0
池上町,2608,1205,1403,172,204,259,327,163,237,227,208,292,286,318,221,225,199,177,142,74,46,32,4,0
石原町,1037,499,538,51,90,112,131,102,111,78,96,105,153,177,55,71,43,52,38,38,21,10,2,0
出水１丁目,1296,579,717,100,118,116,110,71,127,145,180,171,143,137,95,56,101,63,65,42,18,15,2,0
出水２丁目,556,255,301,38,37,59,59,49,38,42,59,67,72,77,53,27,36,30,37,19,7,4,1,0
出水３丁目,1590,764,826,155,154,145,137,119,155,219,198,172,147,175,130,122,109,85,62,46,10,12,0,2
出水５丁目,2073,979,1094,156,189,167,205,210,189,180,202,224,222,264,158,146,150,149,136,64,27,9,5,0
出水６丁目,3675,1781,1894,366,326,295,385,382,499,475,371,353,386,451,312,234,238,184,106,45,18,25,5,0
出水７丁目,2612,1230,1382,141,172,236,239,233,229,184,210,244,234,307,239,290,308,249,149,78,63,29,7,1
出水８丁目,1945,892,1053,165,171,158,192,154,177,161,164,203,225,203,174,152,156,161,129,57,24,9,0,2
和泉町,385,184,201,31,20,32,58,33,41,18,16,36,47,50,35,26,32,41,34,9,9,1,0,0
板屋町,35,14,21,1,1,2,2,8,2,3,1,0,2,6,3,2,2,4,4,3,3,0,0,0
出仲間１丁目,728,350,378,76,68,79,88,83,73,74,105,94,103,77,45,28,29,19,19,12,4,2,0,0
出仲間２丁目,467,206,261,29,21,34,30,35,36,54,42,43,47,55,37,49,42,42,32,27,12,3,1,2
出仲間３丁目,456,218,238,47,57,39,67,47,57,56,36,68,58,58,23,19,4,11,9,14,3,1,0,0
出仲間４丁目,862,408,454,67,85,84,71,67,105,82,102,63,81,91,95,93,90,40,21,21,8,4,0,0
出仲間５丁目,522,250,272,58,42,55,45,58,75,91,49,60,46,52,25,28,37,27,12,5,7,0,0,0
出仲間６丁目,968,472,496,86,100,82,94,105,107,132,116,118,105,140,60,49,53,42,33,8,10,0,0,0
出仲間７丁目,1114,513,601,108,131,104,108,94,96,105,150,116,136,106,71,63,73,82,40,25,13,5,1,0
出仲間８丁目,345,175,170,39,26,30,21,33,36,27,34,43,39,23,47,40,36,12,11,15,6,1,1,0
出仲間９丁目,143,68,75,14,16,19,14,20,16,26,32,9,10,18,6,7,0,2,2,0,0,0,0,0
今町,308,145,163,19,19,18,22,22,34,17,30,31,29,29,36,42,34,20,21,13,16,1,0,0
魚屋町１丁目,23,4,19,0,0,0,3,4,2,1,2,1,2,2,3,0,1,1,4,1,0,0,0,0
魚屋町２丁目,27,11,16,0,2,4,8,1,0,1,4,1,2,0,5,4,2,2,0,1,1,0,0,0
