人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,656,311,345,36,59,37,46,54,73,65,60,49,55,57,109,57,59,52,37,26,16,15,5,0
秋津１丁目,756,355,401,58,68,53,68,81,75,82,78,86,72,83,56,57,58,52,28,24,14,13,4,1
秋津２丁目,957,454,503,94,71,107,97,72,84,108,92,91,123,97,99,57,35,56,68,39,11,7,3,0
秋津３丁目,723,349,374,92,75,62,41,55,86,121,77,88,57,47,87,53,50,19,33,12,13,4,0,0
秋津新町,127,55,72,4,8,13,3,8,9,5,10,16,5,12,23,15,8,11,9,11,7,4,1,0
秋津町秋田,2612,1221,1391,145,246,315,393,259,187,193,194,261,359,302,302,158,146,114,96,60,58,33,12,0
秋津町沼山津,16,7,9,0,0,1,5,4,2,1,0,1,3,2,2,1,0,0,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1374,647,727,118,100,123,105,111,180,156,113,130,129,149,135,100,119,84,76,39,37,15,2,0
安政町,114,48,66,5,9,2,4,14,6,13,10,10,9,10,21,8,3,11,7,7,6,6,0,1
井川淵町,139,62,77,9,11,1,3,9,9,18,8,7,10,14,13,13,21,14,15,18,3,2,1,2
池亀町,735,381,354,38,17,51,85,120,77,49,33,69,64,87,108,84,60,65,40,35,25,9,0,0
池田１丁目,2880,1314,1566,183,249,270,212,280,228,251,316,320,306,316,311,197,158,208,182,101,63,26,15,2
池田２丁目,2791,1320,1471,142,179,190,268,290,235,226,199,231,229,231,377,269,244,274,259,155,65,39,7,2
池田４丁目,602,350,252,26,23,21,93,213,69,72,41,41,32,55,81,48,32,42,23,23,7,7,1,2
池上町,218,101,117,16,9,15,28,28,18,26,11,9,26,31,43,17,7,7,16,6,5,1,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1281,574,707,77,91,128,115,113,73,116,131,177,148,128,145,75,58,96,72,65,30,11,6,0
出水２丁目,614,273,341,45,44,53,61,32,44,58,66,51,74,66,90,46,38,30,36,28,14,7,4,0
出水３丁目,1494,717,777,91,123,147,132,118,128,145,165,180,161,156,158,109,123,110,64,59,35,6,0,1
出水５丁目,1991,950,1041,114,205,148,155,158,180,185,211,163,221,218,238,165,118,146,157,91,49,13,5,1
出水６丁目,3627,1758,1869,308,350,310,285,395,404,491,387,334,345,394,400,282,214,225,142,69,25,17,8,0
出水７丁目,2604,1218,1386,119,181,168,249,182,226,251,201,217,260,206,300,248,290,268,219,119,79,24,13,2
出水８丁目,1906,872,1034,130,137,161,190,162,130,190,144,187,207,228,179,140,133,169,122,113,39,14,3,0
和泉町,383,185,198,25,34,31,26,48,30,35,18,22,36,39,55,31,28,38,34,27,6,5,0,0
板屋町,27,13,14,0,0,3,1,3,2,2,0,1,0,4,7,2,1,2,4,4,4,0,0,0
出仲間１丁目,729,356,373,76,68,63,79,69,94,100,54,85,90,87,87,30,36,17,19,20,9,2,0,0
出仲間２丁目,470,214,256,16,29,40,32,38,36,37,45,47,47,41,59,34,56,37,36,28,19,7,0,0
出仲間３丁目,760,374,386,129,81,64,55,75,118,144,75,76,80,74,64,37,16,13,13,10,7,2,1,0
出仲間４丁目,1115,534,581,142,108,118,86,70,112,153,138,126,78,82,90,90,108,74,37,17,15,5,0,0
出仲間５丁目,490,233,257,54,33,33,27,52,90,58,70,41,46,36,55,25,30,38,24,5,1,3,1,1
出仲間６丁目,992,486,506,75,105,110,86,74,102,108,115,130,111,106,127,55,51,59,38,13,6,6,0,1
出仲間７丁目,1106,491,615,101,94,110,100,84,107,136,103,126,100,114,102,81,51,63,67,34,15,8,1,0
出仲間８丁目,590,287,303,56,78,52,39,33,66,61,96,76,61,40,45,46,49,39,16,8,12,3,1,0
出仲間９丁目,230,109,121,22,22,25,17,37,65,47,27,20,14,13,15,9,4,0,2,0,0,0,0,0
今町,293,134,159,5,21,24,13,18,19,26,27,24,29,24,41,32,42,33,16,17,10,6,0,0
魚屋町１丁目,14,4,10,0,0,0,0,1,3,1,0,1,1,1,2,3,0,0,2,2,1,0,0,0
魚屋町２丁目,15,5,10,0,0,2,0,0,0,0,1,3,0,0,0,9,0,2,2,0,0,1,0,0
魚屋町３丁目,8,4,4,0,0,0,0,0,1,0,0,0,0,3,6,0,0,0,0,2,0,0,0,0
海路口町,237,120,117,33,18,16,22,30,21,43,31,26,17,26,17,8,11,14,14,6,4,0,0,0
薄場町,28,14,14,0,0,4,2,0,4,8,2,1,8,1,3,4,3,0,0,0,2,0,0,0
打越町,1851,905,946,146,132,138,149,166,167,189,184,143,190,182,247,181,130,158,127,84,17,18,5,3
内田町,1325,663,662,73,85,110,129,94,82,118,124,123,152,161,169,110,131,111,103,63,28,15,6,1
内坪井町,699,286,413,37,55,26,33,47,72,86,69,52,54,75,92,57,63,45,46,41,22,12,1,0
江越１丁目,862,406,456,132,113,73,32,68,131,173,173,113,66,52,42,29,18,17,20,10,4,2,0,0
江越２丁目,229,103,126,13,18,8,14,33,35,41,8,14,17,30,41,17,8,9,17,5,1,2,1,0
画図町大字上無田,12,7,5,0,0,0,3,4,0,0,0,1,3,4,0,3,0,0,0,1,0,0,0,0
画図町大字重富,1389,683,706,64,97,156,197,139,109,76,88,141,212,244,168,102,107,50,56,34,20,10,1,1
画図町大字下江津,230,103,127,8,16,8,14,22,26,16,22,16,20,23,32,33,24,20,13,13,5,1,1,0
画図町大字下無田,1005,470,535,50,58,85,90,73,53,87,66,91,79,127,162,90,96,89,61,62,28,21,4,3
画図町大字所島,714,348,366,61,52,55,73,72,50,71,64,48,80,105,99,48,50,39,37,22,23,13,0,0
