人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,753,361,392,63,72,57,48,51,42,65,66,100,66,79,68,56,52,93,45,46,30,9,5,1
秋津１丁目,728,353,375,38,52,46,84,56,44,46,55,67,115,78,87,72,58,56,34,42,27,18,6,0
秋津２丁目,1000,464,536,89,89,69,103,87,72,113,81,91,110,98,105,88,85,69,32,35,36,11,1,0
秋津３丁目,849,401,448,63,100,92,90,54,59,69,79,88,95,68,70,64,70,72,46,33,15,18,4,1
秋津新町,272,118,154,47,20,5,12,9,17,42,45,31,34,16,25,12,23,17,9,9,9,4,4,0
秋津町秋田,2050,923,1127,56,93,106,165,146,137,134,131,118,173,169,243,306,300,262,154,109,91,56,21,3
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1286,600,686,79,108,89,75,68,84,103,106,127,125,133,113,147,159,117,90,90,44,25,2,2
安政町,85,32,53,3,2,3,8,8,6,4,6,8,8,6,9,9,12,15,2,4,3,0,1,0
井川淵町,148,60,88,8,6,4,9,13,13,13,13,14,19,13,14,11,10,11,15,12,8,2,0,0
池亀町,733,366,367,44,43,40,35,46,73,80,63,42,84,48,70,69,78,113,75,46,32,10,8,0
池田１丁目,2589,1238,1351,153,161,184,183,212,160,162,211,250,296,258,290,285,318,242,165,105,110,65,14,3
池田２丁目,2740,1318,1422,126,160,198,232,277,166,188,251,251,275,313,231,268,283,249,224,151,127,65,21,2
池田３丁目（北区）,1779,811,968,101,73,103,131,118,113,130,118,134,140,175,139,198,208,205,167,125,129,72,8,3
池田３丁目（西区）,634,352,282,34,25,19,34,89,54,59,59,48,75,52,96,68,54,77,65,45,22,8,3,0
池田４丁目,547,314,233,23,15,11,82,158,73,53,38,37,50,23,37,46,43,73,36,23,20,14,6,0
池上町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1223,525,698,37,54,55,72,93,101,93,91,84,137,125,190,144,87,125,88,65,74,23,8,2
出水２丁目,583,265,318,30,24,39,53,40,34,32,33,43,60,52,60,74,85,71,50,24,18,16,10,0
出水３丁目,1285,577,708,78,115,100,120,117,79,86,126,107,147,146,123,117,122,89,82,42,38,24,4,0
出水４丁目（中央区）,1358,645,713,110,107,150,108,82,97,91,120,135,172,143,138,103,78,120,102,70,43,25,8,1
出水４丁目（東区）,104,48,56,6,0,3,7,7,3,3,5,2,10,12,9,14,26,15,10,6,8,5,1,0
出水５丁目,1917,905,1012,102,154,164,164,136,96,127,145,203,217,206,153,189,199,204,116,106,74,54,11,2
出水６丁目,3335,1602,1733,216,221,282,263,259,251,294,302,422,352,326,299,339,303,276,213,159,107,45,7,1
出水７丁目,2564,1201,1363,203,148,171,156,162,126,187,205,229,249,219,227,216,229,266,241,256,172,78,21,4
出水８丁目,1984,927,1057,169,184,131,142,104,143,142,179,187,193,159,164,223,209,166,139,104,130,33,8,2
和泉町,343,175,168,30,20,21,23,27,20,22,36,29,35,19,30,34,43,49,29,18,24,7,2,0
板屋町,17,9,8,0,0,1,1,0,0,0,3,3,2,3,0,2,0,5,2,1,2,1,0,0
出仲間１丁目,758,359,399,53,74,71,59,52,48,69,64,91,92,75,68,100,71,57,32,19,9,10,3,0
出仲間２丁目,523,230,293,52,30,53,38,23,41,39,42,68,37,48,40,44,42,53,34,39,13,11,6,0
出仲間３丁目,799,390,409,88,66,83,77,76,83,94,87,89,92,70,67,71,65,29,27,13,6,6,0,0
出仲間４丁目,1165,554,611,76,99,115,123,88,63,55,95,113,175,131,107,87,69,96,105,78,35,5,4,0
出仲間５丁目,681,341,340,46,51,74,80,55,54,50,51,72,91,115,74,42,40,49,26,26,16,9,1,0
出仲間６丁目,1072,521,551,90,84,92,90,95,125,93,90,129,90,126,102,95,104,74,35,33,28,15,3,0
出仲間７丁目,1078,489,589,72,95,97,96,61,63,74,105,109,110,116,117,97,100,84,66,35,40,26,4,0
出仲間８丁目,561,280,281,33,35,39,56,64,44,35,44,51,68,91,58,60,34,35,45,26,18,1,4,0
出仲間９丁目,340,166,174,43,32,20,28,58,45,49,37,47,30,26,28,14,17,16,4,9,0,3,0,0
今町,821,378,443,37,26,42,45,47,45,39,40,64,79,59,82,68,144,117,92,69,56,28,17,3
魚屋町１丁目,61,22,39,4,0,0,3,18,17,17,7,6,1,1,1,2,3,0,2,0,0,1,0,0
魚屋町２丁目,20,8,12,0,1,0,2,5,2,0,3,1,5,0,0,0,0,1,5,1,0,2,0,0
魚屋町３丁目,6,5,1,0,0,0,0,0,0,0,2,0,0,0,2,2,2,3,0,0,0,0,0,0
海路口町,287,135,152,33,34,18,26,18,14,25,37,27,28,32,32,20,15,23,11,10,8,8,3,0
薄場町,48,22,26,3,5,6,3,8,2,6,3,9,8,4,1,2,1,6,0,2,0,1,0,0
打越町,1694,802,892,104,120,87,100,118,124,122,152,160,190,150,137,152,227,198,130,81,83,46,14,1
内田町,1167,577,590,42,89,65,91,60,61,80,93,109,117,113,118,143,127,144,102,88,57,37,6,2
内坪井町,691,323,368,30,52,60,56,39,36,53,57,82,92,70,48,56,70,61,52,43,35,17,4,1
江越１丁目,806,391,415,81,49,60,52,69,103,86,86,86,119,110,96,66,39,42,19,8,14,11,1,0
江越２丁目,285,135,150,30,40,20,11,17,22,16,45,40,26,11,23,16,35,34,11,12,6,4,0,1
画図町大字上無田,8,4,4,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,3,1,0,0,0,0
画図町大字重富,2542,1197,1345,207,339,234,177,128,121,166,280,327,233,169,210,251,256,269,157,109,67,32,4,3
画図町大字下江津,18,8,10,1,2,1,0,0,4,0,3,0,0,0,1,2,3,5,0,1,2,1,0,0
画図町大字下無田,1122,543,579,122,96,88,64,69,76,116,123,107,94,81,83,73,135,126,79,76,35,16,4,2
画図町大字所島,834,395,439,45,89,94,74,45,30,54,82,92,102,59,66,80,103,86,43,25,28,22,9,1
江津１丁目,1272,574,698,47,55,77,88,85,80,74,121,85,153,135,128,159,126,112,115,93,71,33,8,1
江津２丁目（中央区）,81,37,44,5,5,1,0,11,4,7,6,3,7,15,13,8,4,8,13,6,1,0,1,0
江津２丁目（東区）,216,98,118,5,12,11,16,9,13,6,15,21,22,22,22,21,20,32,30,25,5,6,1,0
榎町,2022,975,1047,120,165,119,145,138,126,96,166,188,215,196,208,232,232,216,184,121,99,19,10,2
大江１丁目,2188,1064,1124,67,105,97,174,317,218,182,179,203,227,236,210,227,245,204,149,78,82,36,16,0
大江２丁目,1635,833,802,206,170,92,111,174,148,194,223,215,147,121,136,116,111,104,63,70,36,20,9,2
大江３丁目,2059,985,1074,249,256,184,188,166,112,193,267,268,287,205,167,116,95,96,71,45,47,22,9,1
大江４丁目,1722,752,970,97,125,108,127,120,121,144,152,187,188,176,204,151,133,163,94,87,56,34,6,1
大江５丁目,782,344,438,22,30,48,52,85,62,44,57,55,100,92,85,64,95,76,55,49,24,25,6,0
大江６丁目,1769,778,991,71,165,175,153,164,103,80,133,220,289,212,174,128,133,107,95,60,42,38,4,1
大江本町,568,246,322,34,25,18,20,43,57,62,67,50,58,57,73,63,56,48,36,27,16,4,0,0
大窪１丁目,214,98,116,19,12,8,10,13,24,20,24,22,12,11,12,23,21,25,16,14,21,5,0,0
大窪２丁目,261,135,126,5,9,5,11,22,14,12,17,25,38,19,38,25,61,44,20,8,14,5,4,0
大窪３丁目,290,136,154,17,7,13,14,7,18,35,35,32,30,20,14,30,46,46,24,19,13,4,2,0
大窪４丁目,297,147,150,17,13,9,13,42,30,32,58,30,40,35,17,22,34,21,14,11,3,1,1,1
大窪５丁目,760,351,409,33,37,23,42,55,38,39,79,52,73,77,72,72,104,104,101,57,30,20,3,0
大鳥居町,200,105,95,8,15,7,13,6,8,26,13,15,14,16,21,30,34,19,17,12,17,13,0,1
岡田町,477,228,249,20,25,40,39,23,54,34,44,55,63,54,41,39,42,37,41,30,15,6,2,1
沖新町,1741,816,925,67,113,116,117,130,102,123,125,132,125,193,230,211,148,191,142,135,110,33,13,1
奥古閑町,855,437,418,91,58,68,59,75,68,76,100,53,96,96,86,105,90,64,26,32,26,16,5,2
小島上町,89,44,45,0,7,5,3,0,7,7,2,7,2,15,2,11,12,21,14,6,9,2,0,1
小島下町,597,304,293,36,32,34,43,41,38,35,51,58,26,41,57,70,94,82,51,47,34,27,3,1
尾ノ上１丁目,1872,867,1005,101,99,113,166,108,147,130,148,205,205,193,197,190,194,196,114,91,88,38,14,2
尾ノ上２丁目,1524,712,812,70,113,143,128,134,95,113,154,121,150,157,179,216,185,89,57,65,41,17,9,0
尾ノ上３丁目,1204,518,686,55,74,76,80,75,102,87,98,109,115,113,139,155,117,117,71,43,60,27,9,0
尾ノ上４丁目,2397,1119,1278,145,183,142,203,219,202,200,219,209,312,271,287,193,185,174,162,96,81,26,6,1
帯山１丁目,2594,1165,1429,138,180,197,258,188,174,151,159,241,296,277,263,218,244,275,179,132,124,49,13,3
帯山２丁目,1662,717,945,91,101,135,140,188,160,122,120,181,175,189,152,146,130,103,100,60,46,30,9,1
帯山３丁目,2831,1320,1511,179,237,278,283,208,186,173,241,313,333,285,263,238,235,207,168,113,114,73,23,1
帯山４丁目（中央区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帯山４丁目（東区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
