町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
川尻３丁目,642,307,335,26,15,19,33,25,33,42,31,34,25,31,62,62,49,39,45,32,21,10,7,1
川尻４丁目,662,311,351,24,25,18,24,21,40,43,50,23,32,28,43,67,49,63,37,32,28,10,5,0
川尻５丁目,326,148,178,11,18,14,12,11,20,18,22,10,17,23,22,21,22,21,18,32,10,3,1,0
川尻６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河内町大多尾,377,176,201,3,12,14,26,17,7,15,13,16,23,26,24,31,34,37,31,28,10,5,4,1
河内町面木,68,29,39,2,3,3,4,4,3,3,0,6,3,3,8,6,3,3,6,5,2,1,0,0
河内町河内,1600,753,847,32,51,58,71,71,61,84,63,77,103,101,113,168,107,96,132,103,73,21,11,4
河内町白浜,904,425,479,24,38,41,50,38,42,27,38,56,69,50,50,85,74,72,59,48,34,5,2,2
河内町岳,770,361,409,23,21,19,27,34,28,42,30,35,50,60,73,76,52,67,47,36,26,16,7,1
河内町東門寺,156,81,75,1,3,11,9,11,6,3,5,8,9,16,12,13,7,10,15,6,8,3,0,0
河内町野出,743,353,390,11,30,27,35,40,35,21,32,26,50,52,56,62,53,60,48,41,35,21,8,0
河内町船津,2045,988,1057,65,54,94,88,95,103,69,83,123,141,131,141,186,141,143,155,121,74,26,10,2
川端町,39,17,22,0,0,1,3,9,4,4,1,3,1,2,3,4,0,1,0,1,2,0,0,0
河原町,182,86,96,15,16,7,8,6,10,11,26,19,11,12,10,7,4,11,6,2,1,0,0,0
北迫町,188,92,96,6,7,8,12,8,5,13,7,11,14,9,11,22,7,11,17,13,6,1,0,0
北千反畑町,448,192,256,18,21,13,12,23,36,34,30,26,23,22,29,35,31,19,31,18,15,9,2,1
京塚本町,1717,785,932,71,74,72,64,70,88,100,120,123,95,97,108,168,109,102,74,79,54,39,8,2
京町１丁目,1324,586,738,55,40,71,60,56,65,85,97,103,102,86,112,95,79,62,62,42,34,15,2,1
京町２丁目,1454,628,826,55,49,72,71,74,80,74,97,94,119,85,92,126,69,78,78,83,37,15,6,0
京町本丁,1112,533,579,37,51,77,71,64,57,48,77,71,106,87,87,64,48,38,43,48,25,9,3,1
草葉町,531,228,303,20,27,26,16,31,42,42,48,47,39,41,28,38,19,15,31,10,7,4,0,0
楠１丁目,1404,573,831,47,76,55,59,50,32,58,97,61,69,74,81,125,113,141,119,77,47,17,5,1
楠２丁目,761,367,394,16,32,39,33,33,30,28,42,52,48,30,58,64,53,77,56,40,20,8,0,2
楠３丁目,379,151,228,13,7,9,7,7,14,23,14,10,20,11,25,40,31,37,53,28,19,9,2,0
楠４丁目,996,459,537,17,40,48,53,54,27,40,56,46,53,59,76,107,100,72,73,48,18,8,1,0
楠５丁目,981,437,544,16,30,52,58,54,28,39,39,62,78,64,70,76,81,86,74,44,22,7,1,0
楠６丁目,584,288,296,41,47,49,26,19,26,42,56,52,39,35,22,36,27,27,17,12,6,4,1,0
楠７丁目,1235,582,653,48,69,73,67,74,54,64,68,103,97,83,78,79,73,70,75,34,12,12,2,0
楠８丁目,1096,527,569,40,72,97,88,52,37,62,79,118,90,58,54,70,57,53,34,17,10,6,2,0
楠野町,1136,537,599,53,56,50,57,49,76,53,75,59,74,78,81,114,85,58,53,38,15,11,1,0
九品寺１丁目,1192,549,643,45,29,25,41,62,126,123,93,81,64,64,91,98,69,58,47,39,20,13,3,1
九品寺２丁目,1015,445,570,60,67,45,40,71,82,61,109,90,59,68,55,60,30,27,22,34,27,8,0,0
九品寺３丁目,1741,815,926,106,80,76,87,118,155,139,103,127,120,112,102,96,57,75,83,56,29,17,1,2
九品寺４丁目,630,275,355,11,15,11,22,44,56,52,44,31,47,37,37,47,39,36,37,29,16,13,6,0
九品寺５丁目,1423,649,774,70,66,57,53,68,110,87,108,86,105,102,81,139,73,80,64,37,21,15,1,0
九品寺６丁目,1003,458,545,58,66,68,63,52,52,68,85,95,86,76,56,57,38,29,22,15,12,3,2,0
黒髪１丁目,1170,539,631,36,46,49,60,109,64,68,61,84,68,79,68,72,61,76,65,51,43,7,2,1
黒髪２丁目,1508,730,778,39,33,38,77,220,107,90,98,72,66,71,73,123,89,71,78,62,56,27,16,2
