町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,693,329,364,31,38,36,40,28,19,39,59,43,50,35,42,33,69,33,35,33,19,8,2,1
秋津１丁目,776,372,404,33,32,47,56,42,30,42,46,70,60,57,49,46,37,30,31,28,25,12,3,0
秋津２丁目,1013,474,539,59,50,71,52,59,65,58,64,77,73,71,71,67,59,33,26,33,20,5,0,0
秋津３丁目,791,386,405,66,58,61,49,33,49,52,52,75,51,47,32,35,45,28,27,10,14,5,2,0
秋津新町,86,40,46,0,0,1,2,9,1,4,0,4,2,14,2,7,14,7,5,5,1,5,2,1
秋津町秋田,2264,1025,1239,53,70,120,140,139,128,89,90,129,139,176,218,194,192,114,98,74,57,28,14,2
秋津町沼山津,69,31,38,9,11,3,1,2,3,16,6,3,6,3,3,1,1,0,0,0,1,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1302,610,692,73,59,51,56,72,64,79,80,85,69,83,98,103,93,59,79,51,31,10,6,1
安政町,97,38,59,1,2,5,5,6,3,7,5,6,6,10,9,6,12,2,2,5,2,2,1,0
井川淵町,139,57,82,5,6,7,6,3,3,13,9,12,10,6,10,7,6,8,12,9,3,4,0,0
池亀町,710,362,348,30,23,21,17,62,32,46,32,44,25,45,46,61,76,56,34,30,20,7,2,1
池田１丁目,2651,1251,1400,95,107,121,169,162,111,136,139,180,191,198,175,194,206,121,99,112,88,38,9,0
池田２丁目,2715,1303,1412,83,111,129,168,161,152,133,153,188,191,149,184,178,208,150,111,125,88,43,10,0
池田３丁目,2529,1198,1331,86,82,90,118,133,123,120,135,126,146,170,156,170,234,172,145,154,115,41,11,2
池田４丁目,548,306,242,21,5,15,38,78,44,32,29,36,21,27,20,33,60,27,19,18,14,10,1,0
池上町,244,113,131,15,14,9,5,8,23,27,19,17,8,6,22,21,25,8,5,4,7,1,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1220,525,695,31,38,43,66,75,72,62,52,78,85,119,100,73,97,60,40,71,37,16,4,1
出水２丁目,575,261,314,13,24,33,29,27,9,25,24,39,49,36,49,44,67,29,22,23,16,13,3,1
出水３丁目,1253,557,696,39,52,80,85,63,53,74,61,103,111,85,81,84,81,57,48,39,33,17,6,1
出水４丁目,1540,730,810,62,87,101,82,85,77,85,87,132,110,119,88,86,96,74,63,52,32,16,6,0
出水５丁目,1973,921,1052,90,104,113,136,71,75,87,125,153,151,109,131,141,141,91,77,71,70,28,9,0
出水６丁目,3508,1647,1861,166,190,185,197,160,196,232,258,285,231,218,214,240,228,163,125,128,59,24,9,0
出水７丁目,2428,1125,1303,94,87,95,124,86,128,105,127,139,146,150,146,148,195,160,194,153,97,39,14,1
出水８丁目,1821,846,975,100,78,70,80,89,89,111,113,112,100,124,129,141,121,92,84,102,55,22,6,3
和泉町,337,171,166,9,8,17,20,14,11,21,15,21,14,18,24,28,40,19,16,21,16,5,0,0
板屋町,18,7,11,0,1,1,0,1,0,0,3,0,0,1,0,1,3,1,1,1,2,2,0,0
出仲間１丁目,754,361,393,52,60,38,37,32,42,57,51,65,44,40,62,50,50,23,21,11,12,7,0,0
出仲間２丁目,480,213,267,17,29,24,14,26,33,21,31,32,31,31,28,28,33,24,34,18,14,11,1,0
出仲間３丁目,746,362,384,61,63,44,48,41,54,61,75,65,46,41,43,39,24,19,10,4,6,2,0,0
出仲間４丁目,1191,567,624,56,74,76,77,58,46,64,76,108,97,84,55,57,71,64,66,41,12,6,2,1
出仲間５丁目,716,358,358,37,56,52,46,39,31,37,49,62,81,51,32,29,36,17,26,21,12,2,0,0
出仲間６丁目,1043,499,544,67,58,43,58,72,67,61,86,73,78,73,65,68,69,22,24,37,19,3,0,0
出仲間７丁目,1078,484,594,59,65,72,63,53,58,53,79,87,65,77,70,67,56,57,30,34,27,6,0,0
出仲間８丁目,584,285,299,30,27,35,48,23,25,28,43,54,57,43,40,22,26,30,29,12,7,2,3,0
出仲間９丁目,334,143,191,37,21,14,16,27,39,43,40,24,13,21,9,11,8,5,4,0,1,1,0,0
今町,879,387,492,18,22,32,40,40,27,32,29,53,49,55,48,86,90,72,56,45,42,28,12,3
魚屋町１丁目,14,4,10,0,0,0,0,0,0,4,1,0,0,1,1,1,2,2,0,0,2,0,0,0
魚屋町２丁目,14,6,8,1,0,1,0,2,0,1,1,1,0,0,0,0,0,4,0,2,1,0,0,0
魚屋町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海路口町,281,137,144,26,18,18,16,13,8,19,26,24,19,22,9,12,17,6,8,9,7,3,1,0
薄場町,44,20,24,2,6,3,3,2,2,0,7,5,4,1,1,0,4,1,1,0,2,0,0,0
打越町,1734,820,914,87,65,68,92,76,81,106,101,117,119,89,118,124,158,107,68,78,46,29,5,0
内田町,1215,598,617,48,43,57,57,51,61,48,61,81,74,75,93,91,111,67,70,63,45,14,4,1
内坪井町,764,342,422,36,30,45,37,22,29,44,47,62,67,39,34,52,53,41,50,29,24,16,5,2
江越１丁目,801,386,415,49,40,31,51,45,74,57,66,85,87,61,46,27,27,18,14,8,10,4,1,0
江越２丁目,292,132,160,27,17,7,10,12,11,28,34,21,9,15,13,24,28,9,7,7,9,3,0,1
画図町大字上無田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字重富,2422,1130,1292,194,161,120,101,105,113,159,198,165,111,135,163,188,179,116,98,52,46,11,6,1
画図町大字下江津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字下無田,917,425,492,33,42,33,37,41,39,39,48,62,46,56,56,72,106,57,58,46,24,12,6,4
画図町大字所島,852,399,453,44,72,56,44,27,36,47,57,75,33,46,60,71,63,24,30,22,23,13,9,0
