町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
九品寺１丁目,1215,611,604,23,33,28,33,96,123,74,84,94,80,115,63,80,67,60,76,31,31,18,6,0
九品寺２丁目,1254,565,689,50,47,52,59,79,87,83,84,105,92,109,87,69,73,64,50,24,22,12,4,2
九品寺３丁目,1720,811,909,68,78,66,73,119,107,107,112,117,115,108,126,102,93,106,63,66,59,21,12,2
九品寺４丁目,678,333,345,35,25,20,9,36,62,60,58,46,50,54,49,40,28,22,31,22,22,6,2,1
九品寺５丁目,1728,804,924,82,101,66,67,88,90,106,128,120,154,127,93,111,80,103,88,57,44,19,4,0
九品寺６丁目,1018,488,530,35,38,47,64,69,53,53,48,68,92,84,93,86,57,44,37,25,11,11,3,0
黒髪１丁目,1080,512,568,27,39,30,48,117,62,64,72,55,71,76,76,68,64,61,51,45,32,19,3,0
黒髪２丁目,1410,713,697,26,27,42,87,238,85,60,54,68,87,86,72,78,82,77,87,64,49,24,15,2
黒髪３丁目,712,332,380,26,21,19,42,93,56,42,35,47,42,37,29,33,48,34,32,23,24,23,4,2
黒髪４丁目,1089,560,529,21,27,40,60,160,87,62,40,60,72,61,63,61,40,63,59,46,37,22,7,1
黒髪５丁目,1403,685,718,29,51,73,84,175,92,46,48,75,97,102,88,65,63,80,62,60,64,27,17,5
黒髪６丁目,1793,924,869,35,43,41,80,166,103,92,85,103,88,140,109,132,117,135,118,82,82,27,15,0
黒髪７丁目,693,355,338,13,15,23,24,113,63,32,34,43,50,47,43,33,33,41,26,27,16,12,5,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神水１丁目,1873,838,1035,59,83,64,93,98,93,84,102,115,117,122,128,107,146,115,123,82,62,53,23,4
神水２丁目,703,334,369,20,21,22,25,46,51,40,59,40,41,50,60,43,51,42,37,26,18,8,2,1
神水本町,1873,844,1029,57,98,86,87,70,63,63,124,117,117,160,166,143,134,110,92,72,55,37,19,3
慶徳堀町,174,84,90,3,9,5,6,11,11,5,11,17,15,21,18,18,9,11,2,1,1,0,0,0
健軍１丁目,1379,640,739,54,69,72,66,72,80,73,75,93,100,106,94,106,73,66,60,55,34,18,11,2
健軍２丁目,1039,495,544,45,38,48,46,62,78,67,69,58,78,81,80,60,77,51,32,29,26,9,5,0
健軍３丁目,2505,1189,1316,79,89,101,116,143,155,132,144,140,159,210,203,221,159,148,118,94,52,28,14,0
健軍４丁目,1848,861,987,69,69,82,109,91,94,102,102,123,161,139,125,112,110,109,93,75,54,21,7,1
健軍５丁目,192,90,102,9,7,8,13,7,8,6,5,14,20,13,7,16,15,8,10,12,7,3,4,0
健軍本町,2484,1163,1321,104,103,107,123,158,125,123,154,141,183,209,193,196,158,143,99,84,58,16,7,0
小糸山町,725,347,378,76,55,38,29,22,61,75,58,56,48,45,27,30,19,34,22,15,12,2,1,0
幸田１丁目,454,215,239,18,17,27,25,14,17,32,25,30,31,21,27,41,33,32,19,20,15,8,1,1
幸田２丁目,639,311,328,42,28,30,29,37,52,42,30,33,35,60,48,41,23,41,22,15,20,9,2,0
紺屋阿弥陀寺町,10,3,7,1,1,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,1,1,0,0
紺屋今町,87,37,50,1,2,2,1,18,10,8,6,7,3,7,6,0,3,2,2,5,3,1,0,0
紺屋町１丁目,116,57,59,3,8,3,6,11,11,14,9,13,5,15,7,0,8,2,0,1,0,0,0,0
紺屋町２丁目,104,45,59,7,4,1,2,2,9,9,12,16,9,7,5,7,4,2,2,2,3,0,1,0
紺屋町３丁目,123,55,68,4,6,7,3,8,11,7,17,10,12,9,8,6,3,3,2,2,2,3,0,0
子飼本町,593,300,293,14,9,21,65,84,33,24,26,41,40,34,33,17,25,34,28,27,17,12,8,1
国府１丁目,1356,654,702,37,53,50,52,56,76,74,84,89,99,101,92,82,87,78,86,65,52,34,8,1
国府２丁目,2025,873,1152,84,101,94,119,73,86,129,120,132,125,162,115,132,135,112,98,93,63,34,14,4
国府３丁目,2929,1341,1588,93,130,143,126,166,190,146,159,162,199,228,209,215,185,186,150,101,70,57,13,1
国府４丁目,1237,574,663,55,66,70,63,62,66,54,78,99,86,83,76,70,87,86,55,25,25,17,10,4
国府本町,1359,654,705,75,62,70,69,68,82,72,99,89,94,89,86,72,84,74,67,47,34,19,7,0
小沢町,615,264,351,28,24,26,19,32,44,41,48,46,55,42,35,28,27,25,32,27,18,12,5,1
古城町,37,17,20,0,0,2,1,0,1,1,0,0,2,2,4,3,0,3,3,6,6,3,0,0
壺川１丁目,720,331,389,19,30,28,35,28,38,32,30,34,47,49,66,39,51,61,42,40,26,15,8,2
壺川２丁目,706,338,368,32,36,44,40,44,29,27,43,49,61,45,52,33,33,41,26,27,23,15,6,0
湖東１丁目,369,178,191,9,21,17,23,16,16,14,30,18,33,19,29,24,36,20,22,5,9,4,4,0
