町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,919,434,485,52,67,61,40,34,34,56,64,68,69,59,55,49,40,39,62,28,26,12,3,1
秋津１丁目,703,337,366,32,31,41,24,34,30,25,42,36,53,68,48,52,43,38,35,24,20,17,8,2
秋津２丁目,1078,492,586,62,62,66,71,69,61,56,75,63,80,71,75,67,54,55,41,15,18,13,3,1
秋津３丁目,869,410,459,38,45,72,61,48,40,46,49,60,54,66,52,48,44,44,38,31,20,7,6,0
秋津新町,325,139,186,19,29,14,7,11,13,15,35,30,29,27,19,20,10,17,12,8,5,3,2,0
秋津町秋田,1847,827,1020,44,46,58,54,74,55,60,77,98,82,107,119,170,212,215,152,97,69,36,20,2
秋津町沼山津,97,44,53,10,11,9,5,1,8,9,10,8,6,4,7,4,3,1,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1174,555,619,28,44,61,56,45,32,40,69,69,70,77,94,78,93,103,72,57,54,22,10,0
安政町,70,26,44,0,0,0,3,4,1,3,2,3,7,6,4,7,6,10,8,1,4,0,0,1
井川淵町,191,84,107,6,4,5,2,17,20,10,11,9,12,11,8,7,7,6,11,15,15,10,5,0
池亀町,755,380,375,27,28,21,35,45,55,49,45,39,30,54,36,45,47,48,58,47,30,10,5,1
池田１丁目,2537,1234,1303,81,121,111,118,115,110,116,117,164,168,188,172,189,198,192,152,94,65,46,19,1
池田２丁目,2561,1246,1315,73,91,101,129,152,118,106,129,157,152,198,204,159,168,182,165,131,80,46,15,5
池田３丁目,2428,1170,1258,85,90,73,113,116,120,106,133,137,124,139,160,158,176,183,176,143,96,71,27,2
池田４丁目,590,338,252,20,21,7,37,106,42,34,41,37,28,28,24,27,29,26,41,18,12,6,3,3
池上町,199,96,103,4,7,11,11,8,10,6,12,13,16,15,5,7,25,18,20,7,2,2,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1110,463,647,24,34,33,37,42,47,49,61,55,48,89,80,120,91,61,89,58,44,36,8,4
出水２丁目,589,278,311,16,28,25,31,34,18,20,28,31,29,38,42,44,45,55,46,31,12,13,2,1
出水３丁目,1262,559,703,38,57,79,65,76,68,52,53,87,88,102,103,81,74,74,61,49,28,17,10,0
出水４丁目,1368,659,709,52,72,69,100,60,48,64,82,79,89,119,100,92,73,69,83,53,35,22,7,0
出水５丁目,1790,851,939,59,70,96,103,83,67,70,67,107,120,139,140,102,131,130,128,69,52,35,17,5
出水６丁目,3133,1486,1647,119,119,142,186,142,155,176,192,194,256,241,201,177,206,176,168,138,86,52,7,0
出水７丁目,2721,1252,1469,151,170,113,119,92,82,114,176,176,182,176,151,156,142,145,168,153,153,76,22,4
出水８丁目,1927,908,1019,55,119,119,88,84,68,88,108,124,132,126,96,120,157,131,96,81,68,54,13,0
和泉町,353,174,179,20,22,14,15,15,10,17,18,25,20,24,13,21,22,27,28,18,11,9,4,0
板屋町,13,6,7,2,1,0,0,0,0,2,0,2,0,1,1,0,1,0,2,0,1,0,0,0
出仲間１丁目,729,348,381,14,36,51,54,36,26,26,43,37,65,66,47,47,63,52,29,17,11,6,2,1
出仲間２丁目,521,231,290,21,22,29,36,18,24,27,23,29,44,30,33,25,31,29,36,21,25,7,8,3
出仲間３丁目,705,354,351,36,33,42,47,41,39,48,38,44,48,64,40,51,44,39,21,16,10,2,2,0
出仲間４丁目,1069,522,547,40,48,55,68,44,35,48,47,59,76,103,90,70,56,44,62,61,41,17,2,3
出仲間５丁目,651,317,334,22,27,34,46,43,32,31,34,34,48,57,77,49,29,25,22,17,15,6,3,0
出仲間６丁目,1094,508,586,49,44,50,56,68,82,85,68,58,84,68,75,66,62,71,49,22,22,9,4,2
出仲間７丁目,1038,464,574,43,54,60,73,42,41,40,61,66,68,69,70,70,71,65,56,40,22,17,10,0
出仲間８丁目,545,263,282,15,27,25,23,34,39,19,22,30,34,46,66,38,38,20,23,26,14,5,0,1
出仲間９丁目,364,186,178,18,14,18,18,52,48,28,22,24,33,22,14,11,12,11,12,3,3,0,1,0
今町,761,346,415,9,23,21,28,26,28,31,19,33,41,55,45,51,52,87,71,65,35,29,10,2
魚屋町１丁目,70,31,39,0,2,0,1,17,18,9,3,4,6,2,1,2,2,2,1,0,0,0,0,0
魚屋町２丁目,23,12,11,0,0,1,0,3,2,4,1,1,3,2,0,0,0,0,1,3,1,0,1,0
魚屋町３丁目,5,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0
海路口町,263,133,130,14,12,14,11,19,16,12,14,17,17,15,27,21,12,11,15,7,4,4,1,0
薄場町,50,25,25,0,4,3,4,2,2,4,4,2,7,7,4,1,1,1,3,0,1,0,0,0
打越町,1590,763,827,48,59,77,60,67,82,80,68,91,112,115,95,98,99,138,120,81,48,35,17,0
内田町,1145,550,595,35,51,61,45,51,37,48,53,60,72,79,71,81,90,82,87,59,49,28,5,1
