人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,640.0,313.0,327.0,42.0,40.0,41.0,76.0,94.0,46.0,55.0,44.0,50.0,62.0,90.0,74.0,56.0,59.0,43.0,32.0,20.0,19.0,9.0,1.0,0.0
秋津１丁目,586.0,272.0,314.0,25.0,21.0,46.0,79.0,60.0,71.0,45.0,35.0,50.0,89.0,49.0,53.0,57.0,53.0,47.0,30.0,23.0,8.0,16.0,0.0,1.0
秋津２丁目,876.0,407.0,469.0,70.0,68.0,100.0,93.0,83.0,96.0,73.0,75.0,116.0,95.0,110.0,60.0,37.0,54.0,68.0,51.0,13.0,14.0,7.0,0.0,0.0
秋津３丁目,613.0,303.0,310.0,67.0,49.0,52.0,49.0,71.0,95.0,72.0,51.0,50.0,50.0,89.0,50.0,59.0,30.0,38.0,14.0,19.0,7.0,4.0,0.0,0.0
秋津新町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋津町秋田,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1299.0,619.0,680.0,107.0,132.0,106.0,110.0,121.0,126.0,106.0,133.0,125.0,145.0,148.0,96.0,121.0,97.0,89.0,59.0,62.0,28.0,5.0,2.0,0.0
安政町,117.0,51.0,66.0,7.0,5.0,1.0,12.0,5.0,10.0,7.0,9.0,15.0,13.0,17.0,11.0,8.0,8.0,10.0,13.0,7.0,9.0,0.0,1.0,0.0
井川淵町,151.0,72.0,79.0,5.0,5.0,3.0,10.0,12.0,14.0,9.0,10.0,18.0,6.0,21.0,20.0,16.0,23.0,10.0,24.0,8.0,1.0,6.0,2.0,0.0
池亀町,818.0,441.0,377.0,19.0,45.0,76.0,93.0,222.0,70.0,44.0,50.0,65.0,86.0,108.0,85.0,68.0,66.0,49.0,49.0,39.0,18.0,5.0,2.0,0.0
