人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,632,302,330,38,40,51,30,45,45,69,58,54,67,50,62,109,50,59,41,28,15,15,7,1
秋津１丁目,785,367,418,55,70,59,55,82,82,69,88,71,102,95,57,72,43,52,36,25,24,12,3,0
秋津２丁目,986,468,518,87,109,86,101,74,79,106,115,85,132,106,90,74,41,51,62,40,11,3,2,0
秋津３丁目,699,332,367,79,91,60,48,41,53,105,79,72,70,53,63,74,62,29,20,19,7,5,1,0
秋津新町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋津町秋田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1383,646,737,131,87,110,119,101,133,171,130,134,112,139,164,106,113,106,71,48,31,22,1,0
安政町,115,48,67,4,4,7,2,11,9,9,13,7,7,18,14,17,7,5,8,6,7,4,4,0
井川淵町,150,63,87,12,9,8,3,8,15,20,16,10,11,10,16,13,12,19,7,17,5,2,0,0
池亀町,670,342,328,19,23,30,72,98,51,52,38,43,62,75,101,102,68,63,53,28,24,8,2,0
池田１丁目,2837,1313,1524,196,219,290,226,209,205,251,302,314,332,288,314,246,168,148,195,141,65,25,14,2
池田２丁目,2614,1243,1371,147,205,205,167,279,205,222,250,248,203,237,289,269,252,228,201,147,74,21,8,0
池田３丁目,2667,1263,1404,110,149,188,192,293,195,184,189,218,232,223,302,307,291,246,288,179,107,33,3,1
池田４丁目,572,318,254,33,27,21,61,171,79,64,56,35,29,34,69,66,42,36,26,24,12,1,2,2
池上町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1293,597,696,62,97,114,127,138,72,96,119,154,208,123,103,126,75,75,94,48,48,7,3,1
出水２丁目,609,273,336,37,46,50,52,35,42,51,73,50,54,72,83,69,47,21,33,39,20,6,2,0
出水３丁目,1341,603,738,101,103,136,85,98,114,145,135,174,110,163,132,100,93,71,73,57,43,9,2,0
出水４丁目,1519,733,786,102,135,130,141,132,125,132,166,184,168,155,137,131,117,92,94,54,44,11,1,1
