町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,753,361,392,42,49,37,36,33,30,41,43,67,46,51,46,37,35,64,32,31,20,8,4,1
秋津１丁目,728,353,375,24,34,30,53,40,32,32,36,44,76,52,58,46,39,37,26,29,20,15,5,0
秋津２丁目,1000,464,536,60,59,55,66,57,46,80,55,66,71,69,68,58,57,49,21,27,26,9,1,0
秋津３丁目,849,401,448,43,63,61,59,41,38,47,55,62,62,47,45,46,48,48,33,24,11,12,3,1
秋津新町,272,118,154,32,13,3,8,7,12,29,30,23,22,12,21,8,17,11,6,7,6,3,2,0
秋津町秋田,2050,923,1127,40,59,74,113,96,92,89,88,85,121,119,175,208,206,168,107,82,67,39,20,2
秋津町沼山津,89,38,51,15,9,6,1,0,7,13,14,6,4,6,2,3,1,0,0,0,0,1,1,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1286,600,686,52,71,55,53,48,57,71,74,84,80,90,77,101,109,79,64,67,33,17,2,2
安政町,85,32,53,2,1,3,6,5,5,3,4,6,6,4,7,7,8,10,1,3,3,0,1,0
井川淵町,148,60,88,6,4,4,7,10,8,8,9,11,13,9,10,7,7,9,10,8,7,1,0,0
池亀町,733,366,367,30,26,29,23,28,48,50,41,29,55,33,47,46,52,71,53,34,22,10,6,0
池田１丁目,2589,1238,1351,101,103,121,126,141,113,111,141,160,195,173,199,190,208,163,112,83,84,51,12,2
池田２丁目,2740,1318,1422,86,104,133,157,183,111,121,168,162,191,206,153,178,192,173,154,106,93,48,19,2
池田３丁目,2413,1163,1250,89,68,81,98,128,108,125,117,122,146,154,158,176,185,186,162,125,110,61,11,3
池田４丁目,547,314,233,15,9,6,49,93,45,31,25,24,30,17,24,30,29,50,23,17,13,12,5,0
池上町,203,104,99,5,9,10,8,8,7,19,11,19,15,4,7,26,19,20,8,2,4,2,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1223,525,698,22,40,39,49,65,69,65,63,58,96,86,131,98,60,88,62,49,57,17,7,2
出水２丁目,583,265,318,21,17,26,34,23,23,20,24,28,42,41,43,48,59,50,33,16,15,13,7,0
出水３丁目,1285,577,708,56,75,67,79,78,49,59,85,78,103,105,84,81,82,61,58,33,28,20,4,0
出水４丁目,1462,693,769,73,73,100,79,59,71,65,85,93,122,104,97,81,71,91,77,52,38,23,7,1
出水５丁目,1917,905,1012,64,102,113,108,91,64,83,95,139,148,142,105,127,137,133,79,76,58,41,10,2
出水６丁目,3335,1602,1733,142,148,176,171,171,171,204,200,283,242,217,200,227,203,191,152,115,82,33,6,1
出水７丁目,2564,1201,1363,128,99,116,100,101,92,128,136,153,166,151,156,147,157,184,171,186,116,59,15,3
出水８丁目,1984,927,1057,116,121,86,95,66,95,94,124,125,135,106,116,154,141,109,94,77,93,28,7,2
和泉町,343,175,168,18,12,13,15,17,12,15,23,18,24,14,20,23,30,33,19,14,15,6,2,0
板屋町,17,9,8,0,0,1,1,0,0,0,2,2,1,2,0,1,0,3,1,1,1,1,0,0
出仲間１丁目,758,359,399,36,46,49,38,36,36,47,44,59,64,49,46,66,51,37,22,14,7,8,3,0
出仲間２丁目,523,230,293,34,21,35,23,15,31,27,28,48,27,32,28,30,28,36,24,30,10,10,6,0
出仲間３丁目,799,390,409,62,43,54,50,46,56,63,61,59,67,44,48,46,44,20,18,9,5,4,0,0
出仲間４丁目,1165,554,611,49,65,77,76,62,42,37,63,78,113,92,72,61,49,68,72,57,25,3,4,0
出仲間５丁目,681,341,340,27,31,48,56,34,34,35,34,49,62,77,50,26,28,33,18,18,13,7,1,0
出仲間６丁目,1072,521,551,59,57,63,55,61,83,62,64,86,63,83,70,64,72,50,22,25,20,10,3,0
出仲間７丁目,1078,489,589,48,63,65,65,43,44,51,70,75,77,81,79,68,67,60,46,28,26,20,2,0
出仲間８丁目,561,280,281,20,21,26,37,41,27,22,31,36,47,63,39,40,21,23,32,18,13,1,3,0
出仲間９丁目,340,166,174,24,22,14,20,36,31,33,27,32,20,18,19,9,12,12,3,6,0,2,0,0
今町,821,378,443,23,17,28,27,30,30,24,27,40,54,40,53,51,98,78,70,49,41,23,15,3
魚屋町１丁目,61,22,39,3,0,0,3,13,13,12,5,3,1,1,1,2,2,0,1,0,0,1,0,0
魚屋町２丁目,20,8,12,0,1,0,1,4,2,0,2,1,3,0,0,0,0,1,3,1,0,1,0,0
魚屋町３丁目,6,5,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0
海路口町,287,135,152,22,22,12,18,14,9,16,25,21,19,22,20,12,11,16,7,7,6,6,2,0
薄場町,48,22,26,2,3,5,2,5,2,4,2,6,5,3,1,1,1,4,0,1,0,1,0,0
打越町,1694,802,892,68,81,59,68,81,83,83,100,108,128,104,94,103,146,131,87,63,59,36,11,1
内田町,1167,577,590,30,56,43,59,38,42,51,60,76,77,72,77,95,84,97,70,62,46,24,6,2
内坪井町,691,323,368,18,35,39,36,25,25,34,37,55,65,45,33,39,44,43,38,32,28,15,4,1
江越１丁目,806,391,415,54,33,41,36,47,68,56,58,57,82,73,61,46,26,29,14,7,8,9,1,0
江越２丁目,285,135,150,19,27,15,7,10,15,11,30,27,17,7,17,12,24,23,6,9,5,3,0,1
画図町大字上無田,8,4,4,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,0,0,0,0
画図町大字重富,2542,1197,1345,135,217,149,118,84,82,117,188,222,160,116,146,172,175,186,111,79,52,26,4,3
画図町大字下江津,18,8,10,1,1,1,0,0,2,0,2,0,0,0,1,1,2,3,0,1,2,1,0,0
画図町大字下無田,1122,543,579,77,64,57,42,46,51,78,83,71,63,54,56,55,94,82,56,49,27,11,4,2
画図町大字所島,834,395,439,31,60,63,50,31,21,38,54,63,66,38,46,54,70,54,29,20,21,17,7,1
江津１丁目,1272,574,698,32,35,55,62,61,60,49,81,59,102,93,89,105,83,78,80,65,50,25,7,1
江津２丁目,297,135,162,7,10,8,11,14,10,9,15,17,20,23,26,23,15,28,28,21,6,4,2,0
榎町,2022,975,1047,80,103,79,92,92,87,68,108,125,146,139,141,159,153,148,125,87,66,14,8,2
大江１丁目,2188,1064,1124,47,69,62,114,207,148,118,125,135,152,158,141,152,162,142,96,59,61,27,13,0
大江２丁目,1635,833,802,141,111,62,71,106,97,130,148,142,95,76,88,73,76,68,45,51,29,18,6,2
大江３丁目,2059,985,1074,168,162,128,128,112,81,132,179,179,193,137,109,75,67,66,46,34,37,17,8,1
大江４丁目,1722,752,970,65,83,72,87,79,85,99,106,129,133,123,143,98,88,121,69,63,45,28,5,1
大江５丁目,782,344,438,17,19,32,32,58,44,29,39,40,69,61,59,44,67,54,39,38,19,17,5,0
