町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,639,304,335,25,31,37,15,32,38,43,40,38,40,40,48,63,33,40,25,19,14,14,3,1
秋津１丁目,771,356,415,36,43,42,38,61,37,51,57,53,62,60,43,41,35,34,30,21,17,8,2,0
秋津２丁目,999,473,526,64,68,61,67,53,56,78,75,68,83,60,71,49,24,38,45,25,8,3,3,0
秋津３丁目,722,351,371,69,49,43,34,28,48,73,58,60,39,38,54,33,41,16,18,11,7,3,0,0
秋津新町,114,48,66,0,1,7,6,4,6,2,6,5,12,5,15,9,4,10,7,6,4,3,2,0
秋津町秋田,2572,1187,1385,88,150,184,240,169,123,119,150,168,233,209,213,133,108,93,71,47,38,23,12,1
秋津町沼山津,13,5,8,0,0,0,2,3,0,0,0,0,3,1,2,1,0,0,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1363,643,720,84,56,79,78,76,101,103,76,86,85,95,112,63,77,70,47,32,25,18,0,0
安政町,123,53,70,5,5,2,0,12,8,7,9,6,7,9,13,7,4,4,7,5,5,6,1,1
井川淵町,153,67,86,7,10,2,2,6,11,16,11,6,11,8,10,8,10,14,6,11,4,0,0,0
池亀町,687,352,335,18,18,23,41,69,33,37,21,34,38,51,69,63,44,41,34,26,18,8,1,0
池田１丁目,2776,1267,1509,117,150,193,147,134,142,156,192,213,215,204,212,140,114,128,133,95,56,23,9,3
池田２丁目,2667,1270,1397,107,142,121,126,181,155,140,188,157,144,165,204,184,158,158,151,98,59,23,6,0
池田３丁目,2700,1283,1417,82,107,113,136,198,138,134,138,152,153,152,231,191,172,186,195,124,62,27,7,2
池田４丁目,589,328,261,26,17,14,38,108,50,44,32,19,18,34,48,40,23,30,14,21,9,2,1,1
池上町,226,99,127,7,6,11,12,24,23,19,9,5,18,25,24,11,7,5,9,6,2,3,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1254,570,684,42,53,77,94,82,49,65,85,110,121,81,88,62,49,58,62,42,24,7,2,1
出水２丁目,611,268,343,24,40,25,31,23,37,31,46,40,45,47,60,39,29,21,26,29,7,8,3,0
出水３丁目,1276,570,706,55,59,65,54,84,73,85,96,113,72,113,86,67,61,57,59,44,28,3,2,0
出水４丁目,1510,730,780,73,85,84,92,85,86,94,110,123,112,107,100,80,72,77,53,39,29,8,0,1
出水５丁目,1948,930,1018,66,112,107,103,110,82,129,120,154,123,155,153,105,95,95,95,87,40,10,6,1
出水６丁目,3573,1703,1870,205,199,190,192,209,279,308,267,242,214,247,261,212,170,149,119,62,31,13,4,0
出水７丁目,2624,1231,1393,104,98,108,148,126,153,168,146,140,168,144,186,188,181,198,154,106,60,33,14,1
出水８丁目,1841,831,1010,85,90,86,115,116,85,99,94,117,131,156,121,123,88,109,100,79,30,14,3,0
和泉町,374,187,187,14,25,13,19,31,16,24,16,12,20,29,33,28,18,20,26,22,6,2,0,0
板屋町,26,12,14,0,0,1,2,1,2,1,0,1,0,2,5,1,1,1,2,3,2,1,0,0
出仲間１丁目,711,346,365,47,38,41,46,41,57,58,47,47,60,63,60,27,22,19,13,13,9,3,0,0
出仲間２丁目,444,200,244,12,10,20,26,29,22,25,26,23,28,29,33,32,32,30,25,18,17,7,0,0
出仲間３丁目,807,399,408,96,60,46,35,51,82,116,56,48,55,47,42,27,16,7,9,7,6,0,1,0
出仲間４丁目,1163,551,612,100,84,70,60,47,61,113,106,96,51,58,57,58,79,61,28,18,8,8,0,0
出仲間５丁目,732,341,391,74,57,36,34,26,56,86,80,63,42,30,33,28,22,27,24,9,1,2,1,1
出仲間６丁目,968,478,490,50,62,57,69,51,70,62,81,88,66,58,94,43,32,35,26,17,4,1,1,1
出仲間７丁目,1073,485,588,62,59,64,67,62,65,77,80,80,71,73,74,50,47,42,45,31,14,7,3,0
出仲間８丁目,626,313,313,41,45,50,31,15,39,61,55,61,43,36,29,28,30,28,15,6,6,7,0,0
出仲間９丁目,231,104,127,25,8,13,8,26,35,33,29,13,8,11,9,8,3,1,0,1,0,0,0,0
今町,286,130,156,5,12,13,14,10,12,17,12,22,16,17,20,29,25,22,15,14,7,4,0,0
魚屋町１丁目,14,4,10,0,0,0,0,1,1,2,0,1,0,1,2,2,0,0,1,2,0,1,0,0
魚屋町２丁目,17,6,11,1,0,2,0,0,0,1,1,1,1,0,0,4,2,2,1,0,0,1,0,0
魚屋町３丁目,8,5,3,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0
海路口町,284,145,139,29,15,16,12,19,23,29,28,19,17,17,13,8,8,11,12,4,3,1,0,0
薄場町,31,18,13,2,1,2,2,1,2,3,5,2,2,1,2,2,1,0,1,1,1,0,0,0
打越町,1815,904,911,71,89,94,88,115,96,121,126,105,115,117,169,115,106,97,89,56,26,10,8,2
内田町,1328,664,664,43,65,56,83,77,54,81,81,70,103,103,110,77,82,84,69,49,28,7,6,0
内坪井町,696,305,391,27,32,27,17,33,40,47,56,42,35,43,62,47,49,34,36,39,17,9,3,1
江越１丁目,819,401,418,82,65,45,31,37,73,113,107,85,42,37,29,20,17,11,12,10,2,1,0,0
江越２丁目,253,121,132,13,9,8,11,19,38,27,12,4,14,21,22,22,5,7,11,5,3,1,1,0
画図町大字上無田,11,6,5,0,0,0,1,2,1,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0
画図町大字重富,1901,906,995,116,85,96,148,116,106,106,109,115,138,167,165,118,106,77,57,35,22,15,3,1
画図町大字下江津,23,9,14,4,3,0,0,1,4,0,0,2,2,2,1,0,1,0,2,1,0,0,0,0
画図町大字下無田,995,467,528,41,36,41,60,52,39,61,51,46,53,65,107,73,74,57,53,38,26,16,5,1
画図町大字所島,710,341,369,32,42,37,40,40,35,38,47,38,46,65,69,43,37,27,23,23,18,7,3,0
江津１丁目,1405,651,754,66,62,52,72,67,69,91,114,95,100,83,91,106,75,89,83,54,20,11,4,1
江津２丁目,246,108,138,17,15,9,8,7,14,22,27,13,11,13,12,16,25,16,10,5,5,1,0,0
榎町,2177,1010,1167,73,101,138,129,137,129,140,115,149,135,181,177,133,138,121,95,53,21,11,1,0
大江１丁目,1897,891,1006,58,72,68,81,247,161,106,105,103,100,142,125,122,99,93,76,67,48,16,7,1
大江２丁目,1397,708,689,56,68,62,87,122,94,96,88,115,95,86,84,72,46,63,64,49,34,15,1,0
大江３丁目,1182,581,601,61,80,62,61,94,79,95,115,113,103,79,77,39,40,27,28,12,13,3,0,1
大江４丁目,1726,769,957,85,94,74,92,112,115,138,131,132,126,108,133,92,71,56,73,49,29,12,4,0
大江５丁目,887,407,480,25,23,41,39,62,52,61,67,75,53,53,66,64,45,60,39,29,21,8,3,1
大江６丁目,1043,457,586,37,46,51,45,77,77,66,81,62,70,56,73,73,61,39,54,38,24,9,3,1
大江本町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大窪１丁目,262,120,142,18,9,9,8,19,34,23,8,11,8,19,17,15,18,15,17,8,4,1,1,0
大窪２丁目,253,137,116,5,8,6,6,18,13,20,13,15,22,16,30,18,17,14,14,9,7,2,0,0
大窪３丁目,275,136,139,11,5,5,16,19,25,24,14,9,10,33,29,23,10,8,16,10,5,3,0,0
大窪４丁目,281,150,131,16,5,9,9,30,44,35,24,15,14,9,23,8,14,10,7,4,1,2,2,0
大窪５丁目,906,443,463,26,43,38,48,70,58,46,44,61,56,82,79,76,64,36,46,16,11,3,3,0
大鳥居町,237,117,120,5,9,4,19,17,10,14,9,8,18,23,23,9,10,15,20,17,3,3,1,0
岡田町,507,229,278,22,15,11,31,32,48,41,32,19,27,40,33,38,26,39,15,18,13,4,3,0
沖新町,2022,953,1069,61,98,108,111,122,86,72,117,151,150,122,142,135,128,130,135,81,47,19,7,0
奥古閑町,837,408,429,30,45,55,55,53,48,37,51,62,70,72,59,34,29,42,42,29,17,6,1,0
小島上町,116,56,60,2,3,5,9,4,5,7,7,8,5,7,10,11,11,7,3,7,4,1,0,0
小島下町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尾ノ上１丁目,1922,898,1024,72,90,84,109,127,115,133,128,139,141,159,158,119,98,77,74,56,27,12,4,0
尾ノ上２丁目,1868,899,969,117,110,151,157,132,123,117,129,159,174,167,106,61,41,57,34,21,5,3,4,0
尾ノ上３丁目,1391,615,776,65,94,83,91,88,87,103,95,94,127,92,94,60,60,34,50,44,16,11,3,0
尾ノ上４丁目,2202,1036,1166,112,143,136,115,128,162,191,190,197,128,130,142,123,87,78,48,43,27,18,4,0
帯山１丁目,2970,1360,1610,132,177,184,170,160,150,209,212,203,198,202,214,178,138,147,120,96,50,24,6,0
帯山２丁目,1420,657,763,61,81,99,93,109,83,91,86,107,126,92,93,68,59,58,45,46,13,8,1,1
帯山３丁目,2819,1316,1503,134,138,169,157,142,141,212,190,214,179,182,173,137,119,140,157,116,85,27,5,2
帯山４丁目,2828,1319,1509,125,144,152,141,161,165,188,203,182,193,193,186,141,136,148,182,108,42,27,9,2
帯山５丁目,2654,1239,1415,94,108,166,170,149,132,138,165,155,208,182,169,138,151,148,188,118,43,26,6,0
帯山６丁目,941,436,505,44,55,46,51,58,48,57,61,66,62,77,67,42,44,60,57,31,11,2,2,0
帯山７丁目,2365,1136,1229,137,118,120,139,154,186,229,180,135,149,194,158,107,105,91,66,51,29,10,7,0
帯山８丁目,587,287,300,40,34,28,24,41,44,61,62,42,42,39,43,24,16,14,15,11,3,4,0,0
帯山９丁目,852,397,455,61,40,51,44,61,80,73,64,65,57,67,57,36,34,24,27,6,1,4,0,0
小峯１丁目,547,257,290,28,22,39,21,23,37,31,44,32,31,32,47,44,32,25,20,20,13,5,1,0
小峯２丁目,1169,551,618,68,63,57,61,101,95,90,88,76,80,89,89,74,38,36,26,22,9,7,0,0
小峯３丁目,924,440,484,57,39,40,47,76,66,93,72,52,63,62,65,51,43,34,28,20,10,4,2,0
小峯４丁目,90,40,50,3,10,11,4,3,5,1,10,7,12,4,5,3,6,2,1,3,0,0,0,0
小山町,517,213,304,6,12,13,20,14,12,15,14,29,24,31,46,35,42,34,42,48,38,29,10,3
鹿帰瀬町,354,181,173,7,12,19,22,21,14,15,15,22,21,33,41,22,18,15,26,17,9,4,1,0
梶尾町,3332,1616,1716,134,186,239,198,170,165,184,215,221,243,231,276,182,182,172,147,115,50,17,3,2
鍛冶屋町,66,25,41,1,0,5,3,14,7,5,1,7,3,4,1,3,2,3,2,4,1,0,0,0
春日１丁目,881,389,492,33,42,37,34,54,47,60,71,69,53,51,80,70,46,44,33,29,18,8,2,0
春日２丁目,267,129,138,10,7,3,8,7,15,15,12,8,12,20,37,29,20,16,24,14,5,5,0,0
春日３丁目,383,156,227,7,12,8,18,19,25,17,29,21,19,24,40,28,30,18,29,22,6,7,2,2
春日４丁目,1277,614,663,35,47,45,57,66,79,72,81,65,56,101,106,92,99,81,67,71,34,15,4,4
春日５丁目,540,268,272,15,16,20,16,19,34,19,46,19,34,36,49,55,48,34,27,21,18,11,3,0
春日６丁目,276,121,155,7,5,11,2,17,12,9,18,11,8,18,27,21,20,22,27,20,14,5,2,0
春日７丁目,1698,817,881,123,97,64,59,100,135,155,128,88,88,100,123,95,98,65,74,57,33,12,2,2
春日８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿子木町,1511,668,843,82,134,120,82,67,94,130,128,90,71,66,92,59,58,47,46,52,39,37,15,2
釜尾町,215,102,113,1,4,12,21,11,11,4,6,8,15,17,25,11,12,13,22,15,5,2,0,0
上鍛冶屋町,176,70,106,6,6,9,9,8,21,13,8,14,11,15,20,11,5,1,9,5,4,1,0,0
上京塚町,62,42,20,0,1,4,5,7,8,14,3,10,4,4,2,0,0,0,0,0,0,0,0,0
上熊本１丁目,1244,552,692,36,50,47,58,68,86,84,79,67,70,90,126,102,88,64,74,28,18,9,0,0
上熊本２丁目,659,302,357,38,44,33,43,41,32,55,58,47,43,48,52,30,29,16,14,23,8,3,2,0
上熊本３丁目,1793,803,990,97,82,82,121,178,111,124,113,114,119,167,124,100,91,57,45,37,17,10,3,1
上水前寺１丁目,427,211,216,18,11,9,17,31,59,42,36,18,15,32,36,32,24,17,7,14,3,6,0,0
上水前寺２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上通町,222,108,114,5,3,4,9,11,22,14,8,7,10,19,26,19,17,13,14,10,6,4,1,0
上南部町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上林町,264,107,157,14,3,5,12,14,26,17,19,7,12,9,22,22,13,19,16,20,8,3,3,0
辛島町,675,322,353,58,61,43,33,31,53,57,60,62,37,37,39,37,21,13,19,10,4,0,0,0
川口町,2314,1109,1205,68,107,105,90,104,95,102,127,122,128,153,204,194,169,175,172,105,60,25,9,0
川尻１丁目,429,204,225,11,13,21,17,18,18,27,19,22,23,30,33,29,32,26,38,30,14,6,2,0
川尻２丁目,229,112,117,15,6,8,10,16,14,25,25,18,8,13,15,17,6,7,10,10,3,3,0,0
川尻３丁目,635,290,345,15,20,29,29,28,35,36,22,41,30,46,61,48,43,48,38,34,19,9,4,0
川尻４丁目,633,296,337,20,21,18,19,26,27,48,32,31,23,38,55,62,54,57,32,38,17,13,2,0
川尻５丁目,304,137,167,13,14,10,11,16,17,23,7,14,19,18,20,24,17,24,27,17,9,2,2,0
川尻６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河内町大多尾,403,195,208,4,16,24,22,15,7,17,18,20,28,22,27,36,36,35,34,24,9,8,1,0
河内町面木,72,33,39,0,5,2,6,2,3,4,2,6,3,8,6,3,4,3,7,5,2,0,0,1
河内町河内,1696,799,897,42,56,74,71,75,90,79,69,103,97,119,152,123,116,123,125,97,50,29,5,1
河内町白浜,968,458,510,27,41,57,51,54,35,41,47,75,62,44,83,76,73,68,57,41,25,6,3,2
河内町岳,802,381,421,22,15,27,32,45,33,41,31,40,57,65,77,67,61,65,46,32,24,14,8,0
河内町東門寺,185,92,93,2,7,12,15,16,3,8,5,8,15,12,16,8,12,13,13,10,10,0,0,0
河内町野出,782,376,406,21,29,34,43,37,32,36,26,41,50,55,55,57,62,54,52,39,33,14,9,3
河内町船津,2083,1000,1083,50,73,97,87,110,101,71,98,136,136,138,178,149,138,159,160,111,58,24,8,1
川端町,22,7,15,0,0,2,1,1,2,1,0,1,1,2,2,4,2,0,0,2,1,0,0,0
