人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
飛田１丁目,537.0,249.0,288.0,41.0,49.0,47.0,44.0,44.0,70.0,57.0,49.0,58.0,82.0,67.0,55.0,38.0,39.0,17.0,14.0,8.0,6.0,1.0,0.0,0.0
飛田２丁目,392.0,184.0,208.0,73.0,30.0,21.0,7.0,67.0,103.0,78.0,55.0,32.0,20.0,27.0,14.0,25.0,11.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0
飛田３丁目,317.0,153.0,164.0,33.0,27.0,27.0,20.0,46.0,39.0,35.0,35.0,48.0,34.0,40.0,24.0,20.0,12.0,16.0,7.0,4.0,1.0,2.0,0.0,0.0
飛田４丁目,476.0,228.0,248.0,60.0,25.0,45.0,26.0,46.0,92.0,57.0,28.0,47.0,34.0,48.0,38.0,47.0,32.0,30.0,26.0,19.0,3.0,1.0,0.0,0.0
飛田町,29.0,17.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,8.0,4.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
日吉１丁目,1168.0,540.0,628.0,100.0,127.0,119.0,128.0,119.0,134.0,128.0,115.0,111.0,178.0,116.0,82.0,78.0,59.0,41.0,35.0,26.0,10.0,2.0,0.0,0.0
日吉２丁目,1016.0,487.0,529.0,90.0,93.0,97.0,106.0,114.0,97.0,114.0,102.0,89.0,156.0,99.0,94.0,69.0,71.0,45.0,43.0,13.0,5.0,6.0,0.0,0.0
平田１丁目,543.0,257.0,286.0,36.0,41.0,46.0,37.0,50.0,61.0,53.0,51.0,47.0,46.0,75.0,65.0,56.0,49.0,29.0,24.0,12.0,13.0,7.0,2.0,0.0
平田２丁目,414.0,210.0,204.0,59.0,22.0,30.0,54.0,42.0,58.0,54.0,41.0,43.0,59.0,37.0,39.0,29.0,13.0,22.0,8.0,7.0,6.0,0.0,0.0,1.0
平山町,272.0,114.0,158.0,15.0,18.0,38.0,23.0,13.0,12.0,22.0,22.0,33.0,36.0,24.0,25.0,26.0,22.0,24.0,22.0,8.0,3.0,0.0,0.0,0.0
広木町,1537.0,744.0,793.0,120.0,117.0,163.0,160.0,126.0,141.0,139.0,151.0,164.0,179.0,133.0,143.0,148.0,138.0,105.0,73.0,36.0,37.0,5.0,3.0,0.0
古桶屋町,12.0,5.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
古川町,104.0,51.0,53.0,11.0,14.0,6.0,6.0,38.0,17.0,21.0,11.0,13.0,3.0,9.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
古京町,85.0,41.0,44.0,2.0,21.0,33.0,29.0,8.0,2.0,6.0,2.0,3.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
古大工町,55.0,23.0,32.0,4.0,5.0,1.0,3.0,11.0,5.0,1.0,4.0,3.0,6.0,6.0,4.0,9.0,5.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0
平成１丁目,516.0,249.0,267.0,127.0,87.0,27.0,22.0,41.0,97.0,138.0,97.0,25.0,32.0,31.0,10.0,9.0,7.0,8.0,0.0,4.0,3.0,0.0,0.0,0.0
平成２丁目,494.0,220.0,274.0,75.0,41.0,21.0,24.0,73.0,84.0,85.0,79.0,45.0,39.0,37.0,13.0,12.0,25.0,8.0,6.0,14.0,12.0,15.0,5.0,1.0
平成３丁目,424.0,219.0,205.0,45.0,36.0,22.0,21.0,92.0,86.0,86.0,46.0,49.0,33.0,31.0,21.0,27.0,20.0,15.0,5.0,5.0,3.0,0.0,0.0,0.0
保田窪１丁目,1680.0,830.0,850.0,147.0,178.0,237.0,182.0,260.0,189.0,208.0,197.0,237.0,185.0,144.0,75.0,74.0,74.0,55.0,31.0,15.0,16.0,5.0,1.0,0.0
保田窪２丁目,609.0,322.0,287.0,48.0,47.0,51.0,96.0,123.0,72.0,62.0,55.0,56.0,50.0,58.0,48.0,57.0,45.0,29.0,15.0,10.0,8.0,1.0,0.0,0.0
保田窪３丁目,1079.0,503.0,576.0,96.0,105.0,91.0,88.0,100.0,111.0,116.0,127.0,117.0,119.0,125.0,72.0,65.0,94.0,75.0,42.0,21.0,10.0,5.0,3.0,0.0
保田窪４丁目,1259.0,616.0,643.0,104.0,75.0,109.0,136.0,177.0,164.0,121.0,106.0,126.0,147.0,132.0,112.0,123.0,83.0,84.0,32.0,23.0,18.0,3.0,0.0,0.0
保田窪５丁目,1203.0,601.0,602.0,129.0,134.0,105.0,107.0,133.0,153.0,164.0,158.0,122.0,138.0,121.0,84.0,81.0,67.0,38.0,41.0,11.0,12.0,5.0,1.0,0.0
保田窪本町,1426.0,687.0,739.0,95.0,129.0,107.0,105.0,285.0,202.0,170.0,137.0,144.0,124.0,156.0,94.0,101.0,87.0,73.0,33.0,35.0,23.0,10.0,1.0,2.0
