人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,664.0,315.0,349.0,35.0,63.0,32.0,62.0,54.0,81.0,54.0,62.0,52.0,52.0,60.0,110.0,60.0,61.0,54.0,31.0,20.0,19.0,14.0,3.0,0.0
秋津１丁目,746.0,342.0,404.0,70.0,55.0,54.0,63.0,85.0,74.0,82.0,74.0,86.0,72.0,65.0,63.0,45.0,60.0,52.0,30.0,26.0,13.0,13.0,5.0,1.0
秋津２丁目,911.0,426.0,485.0,71.0,78.0,90.0,104.0,83.0,71.0,100.0,64.0,103.0,109.0,102.0,90.0,50.0,44.0,66.0,63.0,30.0,11.0,6.0,2.0,0.0
秋津３丁目,700.0,340.0,360.0,99.0,60.0,60.0,47.0,55.0,85.0,99.0,84.0,74.0,61.0,57.0,81.0,61.0,41.0,24.0,27.0,12.0,11.0,2.0,0.0,0.0
秋津新町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋津町秋田,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1378.0,656.0,722.0,126.0,103.0,129.0,109.0,120.0,159.0,142.0,146.0,108.0,138.0,160.0,111.0,115.0,113.0,84.0,74.0,46.0,39.0,12.0,0.0,0.0
安政町,110.0,52.0,58.0,4.0,8.0,2.0,7.0,8.0,10.0,14.0,6.0,10.0,15.0,11.0,20.0,5.0,7.0,9.0,9.0,6.0,6.0,4.0,0.0,1.0
井川淵町,142.0,61.0,81.0,7.0,8.0,1.0,3.0,11.0,10.0,16.0,6.0,7.0,9.0,16.0,19.0,16.0,19.0,12.0,23.0,12.0,3.0,2.0,3.0,0.0
池亀町,756.0,396.0,360.0,31.0,25.0,59.0,86.0,131.0,82.0,45.0,42.0,69.0,73.0,89.0,107.0,80.0,64.0,62.0,41.0,33.0,30.0,3.0,0.0,0.0
池田１丁目,2849.0,1294.0,1555.0,199.0,244.0,255.0,206.0,258.0,253.0,277.0,317.0,317.0,302.0,291.0,277.0,199.0,169.0,214.0,179.0,90.0,52.0,29.0,13.0,2.0
池田２丁目,2590.0,1231.0,1359.0,166.0,190.0,152.0,220.0,342.0,250.0,231.0,215.0,208.0,217.0,260.0,280.0,258.0,216.0,234.0,202.0,103.0,57.0,14.0,4.0,2.0
池田３丁目,2800.0,1329.0,1471.0,153.0,191.0,194.0,241.0,313.0,217.0,216.0,224.0,221.0,234.0,264.0,313.0,294.0,245.0,322.0,245.0,135.0,74.0,22.0,10.0,1.0
池田４丁目,637.0,375.0,262.0,37.0,19.0,22.0,100.0,250.0,83.0,73.0,35.0,33.0,40.0,59.0,73.0,44.0,40.0,34.0,30.0,24.0,5.0,6.0,2.0,3.0
池上町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石原町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
出水１丁目,1258.0,572.0,686.0,70.0,94.0,126.0,120.0,86.0,83.0,113.0,129.0,198.0,146.0,110.0,131.0,81.0,76.0,85.0,70.0,69.0,24.0,13.0,6.0,0.0
出水２丁目,624.0,274.0,350.0,48.0,44.0,56.0,60.0,43.0,44.0,58.0,54.0,59.0,73.0,86.0,76.0,47.0,30.0,26.0,42.0,31.0,13.0,6.0,2.0,0.0
出水３丁目,1303.0,597.0,706.0,72.0,101.0,90.0,94.0,122.0,132.0,142.0,152.0,123.0,159.0,136.0,114.0,124.0,83.0,79.0,77.0,56.0,31.0,11.0,2.0,0.0
出水４丁目,1526.0,733.0,793.0,99.0,142.0,141.0,134.0,122.0,114.0,160.0,182.0,195.0,172.0,132.0,146.0,138.0,114.0,110.0,68.0,58.0,27.0,3.0,1.0,1.0
出水５丁目,2015.0,966.0,1049.0,129.0,190.0,150.0,193.0,151.0,195.0,169.0,225.0,167.0,228.0,217.0,218.0,166.0,124.0,163.0,141.0,102.0,32.0,16.0,4.0,1.0
出水６丁目,3606.0,1747.0,1859.0,322.0,328.0,303.0,315.0,346.0,464.0,483.0,370.0,330.0,347.0,384.0,386.0,298.0,218.0,212.0,148.0,50.0,24.0,19.0,6.0,0.0
出水７丁目,2614.0,1219.0,1395.0,129.0,178.0,184.0,248.0,192.0,225.0,239.0,204.0,229.0,238.0,228.0,286.0,269.0,310.0,248.0,213.0,110.0,63.0,32.0,6.0,2.0
出水８丁目,1945.0,894.0,1051.0,145.0,138.0,192.0,184.0,155.0,138.0,199.0,166.0,181.0,212.0,217.0,161.0,165.0,128.0,184.0,118.0,104.0,35.0,15.0,2.0,0.0
和泉町,381.0,183.0,198.0,24.0,26.0,30.0,40.0,43.0,29.0,30.0,15.0,27.0,36.0,43.0,52.0,36.0,28.0,37.0,37.0,21.0,5.0,5.0,0.0,0.0
板屋町,28.0,14.0,14.0,0.0,0.0,3.0,1.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0
出仲間１丁目,746.0,359.0,387.0,61.0,69.0,67.0,88.0,94.0,99.0,84.0,62.0,89.0,90.0,106.0,62.0,34.0,33.0,20.0,17.0,20.0,9.0,0.0,1.0,0.0
出仲間２丁目,479.0,220.0,259.0,20.0,26.0,39.0,37.0,37.0,43.0,40.0,42.0,44.0,51.0,39.0,68.0,40.0,52.0,30.0,29.0,31.0,22.0,9.0,0.0,0.0
出仲間３丁目,711.0,349.0,362.0,105.0,70.0,66.0,67.0,74.0,117.0,108.0,82.0,74.0,74.0,76.0,54.0,39.0,18.0,11.0,10.0,6.0,6.0,2.0,1.0,0.0
出仲間４丁目,1103.0,526.0,577.0,136.0,118.0,109.0,76.0,74.0,118.0,155.0,131.0,114.0,88.0,80.0,82.0,103.0,110.0,65.0,34.0,13.0,16.0,7.0,0.0,0.0
出仲間５丁目,487.0,229.0,258.0,52.0,32.0,39.0,31.0,56.0,84.0,53.0,63.0,39.0,49.0,43.0,50.0,27.0,40.0,27.0,21.0,5.0,1.0,3.0,1.0,0.0
出仲間６丁目,1011.0,505.0,506.0,77.0,108.0,112.0,82.0,89.0,111.0,117.0,126.0,125.0,105.0,124.0,117.0,52.0,52.0,53.0,40.0,14.0,5.0,6.0,1.0,0.0
出仲間７丁目,1108.0,500.0,608.0,96.0,104.0,106.0,99.0,91.0,99.0,141.0,117.0,114.0,114.0,109.0,95.0,82.0,42.0,77.0,71.0,31.0,13.0,6.0,1.0,0.0
出仲間８丁目,582.0,285.0,297.0,61.0,74.0,49.0,30.0,42.0,74.0,70.0,99.0,58.0,55.0,38.0,38.0,56.0,45.0,40.0,11.0,8.0,14.0,3.0,2.0,0.0
出仲間９丁目,162.0,76.0,86.0,17.0,17.0,16.0,16.0,28.0,31.0,30.0,25.0,17.0,8.0,13.0,10.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
今町,296.0,135.0,161.0,12.0,17.0,25.0,11.0,15.0,26.0,25.0,32.0,26.0,27.0,27.0,40.0,31.0,40.0,28.0,18.0,16.0,6.0,9.0,0.0,0.0
魚屋町１丁目,16.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
魚屋町２丁目,25.0,10.0,15.0,0.0,1.0,2.0,7.0,2.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
魚屋町３丁目,66.0,35.0,31.0,3.0,2.0,2.0,2.0,12.0,10.0,11.0,9.0,6.0,3.0,5.0,2.0,10.0,8.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0
海路口町,2102.0,999.0,1103.0,117.0,134.0,142.0,174.0,207.0,130.0,155.0,172.0,190.0,247.0,208.0,215.0,218.0,213.0,229.0,168.0,89.0,66.0,24.0,3.0,0.0
薄場町,30.0,16.0,14.0,1.0,3.0,2.0,2.0,1.0,3.0,11.0,2.0,1.0,7.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
打越町,1853.0,896.0,957.0,143.0,129.0,150.0,169.0,151.0,174.0,194.0,169.0,153.0,166.0,223.0,204.0,184.0,146.0,157.0,119.0,70.0,22.0,16.0,6.0,4.0
内田町,1323.0,660.0,663.0,76.0,92.0,112.0,111.0,96.0,100.0,119.0,114.0,123.0,164.0,146.0,157.0,121.0,134.0,116.0,88.0,67.0,29.0,10.0,7.0,1.0
内坪井町,710.0,295.0,415.0,45.0,50.0,28.0,28.0,61.0,74.0,83.0,67.0,61.0,64.0,76.0,95.0,55.0,66.0,40.0,49.0,35.0,18.0,9.0,1.0,0.0
江越１丁目,823.0,387.0,436.0,131.0,101.0,65.0,38.0,68.0,137.0,182.0,160.0,98.0,74.0,32.0,35.0,28.0,14.0,16.0,20.0,8.0,3.0,0.0,0.0,0.0
江越２丁目,308.0,151.0,157.0,44.0,22.0,21.0,26.0,27.0,48.0,53.0,67.0,29.0,28.0,32.0,19.0,17.0,3.0,12.0,1.0,6.0,4.0,0.0,0.0,0.0
画図町大字上無田,16.0,9.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
画図町大字重富,1405.0,689.0,716.0,61.0,110.0,168.0,203.0,152.0,83.0,82.0,108.0,159.0,211.0,219.0,162.0,111.0,92.0,61.0,47.0,31.0,25.0,6.0,1.0,2.0
画図町大字下江津,249.0,113.0,136.0,10.0,11.0,8.0,20.0,18.0,36.0,22.0,17.0,20.0,23.0,25.0,36.0,43.0,19.0,22.0,13.0,14.0,3.0,1.0,1.0,0.0
画図町大字下無田,1014.0,478.0,536.0,61.0,60.0,88.0,101.0,73.0,62.0,85.0,62.0,90.0,73.0,140.0,149.0,98.0,102.0,69.0,63.0,58.0,31.0,21.0,3.0,3.0
画図町大字所島,693.0,339.0,354.0,43.0,53.0,66.0,73.0,64.0,49.0,70.0,60.0,54.0,83.0,106.0,80.0,65.0,39.0,37.0,37.0,24.0,18.0,11.0,0.0,0.0
江津１丁目,1536.0,699.0,837.0,116.0,109.0,93.0,122.0,125.0,139.0,175.0,143.0,142.0,157.0,131.0,154.0,161.0,128.0,120.0,115.0,54.0,31.0,15.0,5.0,0.0
江津２丁目,2348.0,1019.0,1329.0,159.0,165.0,145.0,196.0,155.0,192.0,206.0,212.0,167.0,190.0,214.0,296.0,228.0,227.0,220.0,197.0,112.0,62.0,20.0,4.0,0.0
榎町,2005.0,943.0,1062.0,99.0,135.0,162.0,197.0,193.0,187.0,174.0,150.0,174.0,205.0,249.0,231.0,225.0,176.0,186.0,103.0,56.0,32.0,12.0,2.0,0.0
大江１丁目,1995.0,932.0,1063.0,82.0,119.0,100.0,172.0,418.0,253.0,171.0,146.0,153.0,188.0,218.0,211.0,143.0,117.0,147.0,114.0,104.0,44.0,19.0,6.0,2.0
大江２丁目,1379.0,664.0,715.0,104.0,116.0,99.0,169.0,194.0,114.0,119.0,125.0,125.0,109.0,134.0,135.0,89.0,100.0,84.0,102.0,73.0,42.0,9.0,1.0,0.0
大江３丁目,1174.0,582.0,592.0,110.0,119.0,77.0,114.0,162.0,110.0,148.0,159.0,165.0,143.0,128.0,96.0,85.0,27.0,49.0,24.0,26.0,9.0,1.0,2.0,2.0
大江４丁目,1639.0,712.0,927.0,134.0,111.0,108.0,135.0,188.0,195.0,164.0,164.0,185.0,145.0,162.0,186.0,96.0,93.0,93.0,88.0,55.0,34.0,12.0,3.0,0.0
大江５丁目,666.0,287.0,379.0,16.0,31.0,36.0,53.0,71.0,70.0,51.0,44.0,50.0,52.0,75.0,70.0,71.0,74.0,55.0,50.0,41.0,24.0,11.0,8.0,0.0
大江６丁目,1066.0,459.0,607.0,53.0,57.0,88.0,85.0,116.0,115.0,103.0,101.0,97.0,98.0,93.0,108.0,113.0,76.0,74.0,64.0,42.0,27.0,12.0,3.0,0.0
大江本町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大窪１丁目,245.0,123.0,122.0,27.0,21.0,13.0,11.0,34.0,40.0,21.0,17.0,14.0,16.0,25.0,25.0,19.0,24.0,31.0,14.0,10.0,5.0,0.0,1.0,0.0
大窪２丁目,256.0,131.0,125.0,16.0,19.0,9.0,10.0,24.0,35.0,24.0,21.0,33.0,22.0,46.0,29.0,28.0,15.0,25.0,13.0,9.0,7.0,2.0,0.0,0.0
大窪３丁目,317.0,157.0,160.0,20.0,13.0,12.0,40.0,47.0,41.0,42.0,18.0,15.0,30.0,49.0,56.0,20.0,12.0,27.0,16.0,8.0,5.0,3.0,0.0,0.0
大窪４丁目,274.0,147.0,127.0,22.0,12.0,13.0,17.0,50.0,43.0,67.0,32.0,17.0,19.0,23.0,32.0,24.0,17.0,11.0,8.0,6.0,5.0,3.0,0.0,0.0
大窪５丁目,981.0,472.0,509.0,68.0,66.0,66.0,95.0,128.0,93.0,93.0,92.0,85.0,91.0,128.0,120.0,107.0,83.0,52.0,44.0,23.0,9.0,7.0,3.0,0.0
大鳥居町,240.0,124.0,116.0,12.0,6.0,24.0,32.0,23.0,23.0,12.0,11.0,22.0,31.0,31.0,22.0,17.0,22.0,25.0,31.0,13.0,5.0,2.0,0.0,0.0
岡田町,521.0,232.0,289.0,33.0,13.0,27.0,47.0,59.0,51.0,62.0,39.0,31.0,66.0,54.0,45.0,47.0,49.0,47.0,33.0,26.0,14.0,8.0,2.0,0.0
沖新町,2132.0,1021.0,1111.0,138.0,165.0,169.0,206.0,176.0,150.0,145.0,204.0,229.0,223.0,185.0,227.0,186.0,198.0,221.0,152.0,95.0,46.0,24.0,13.0,1.0
奥古閑町,1720.0,803.0,917.0,91.0,82.0,128.0,171.0,142.0,125.0,121.0,102.0,153.0,139.0,197.0,172.0,184.0,171.0,181.0,138.0,102.0,63.0,43.0,15.0,3.0
小島上町,829.0,396.0,433.0,33.0,52.0,68.0,69.0,61.0,50.0,57.0,66.0,75.0,67.0,102.0,107.0,90.0,63.0,94.0,76.0,52.0,25.0,16.0,1.0,1.0
小島下町,142.0,63.0,79.0,11.0,12.0,8.0,7.0,10.0,7.0,15.0,11.0,5.0,4.0,19.0,7.0,22.0,18.0,17.0,12.0,4.0,7.0,9.0,0.0,0.0
