人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,919,434,485,76,104,91,63,46,49,82,97,102,105,84,85,68,59,57,90,38,35,17,4,1
秋津１丁目,703,337,366,46,48,65,35,53,43,36,59,53,83,101,72,81,64,55,52,32,28,22,10,2
秋津２丁目,1078,492,586,92,91,98,92,104,88,84,110,93,115,109,108,101,79,82,57,22,22,18,4,1
秋津３丁目,869,410,459,56,65,111,91,72,58,65,73,85,80,101,76,74,62,65,55,44,27,10,9,0
秋津新町,325,139,186,28,41,20,11,14,17,22,52,46,40,42,27,23,15,23,18,12,6,4,3,0
秋津町秋田,1847,827,1020,59,68,92,79,105,85,89,115,147,120,153,167,241,308,317,231,138,88,44,26,2
秋津町沼山津,97,44,53,15,18,11,8,1,12,13,14,13,8,7,9,5,5,1,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1174,555,619,42,63,94,89,65,49,58,100,103,106,118,138,116,135,152,106,80,74,27,14,0
安政町,70,26,44,0,0,0,3,5,2,4,3,4,9,8,6,9,8,15,12,2,5,0,0,1
井川淵町,191,84,107,8,5,8,2,23,33,15,17,15,16,16,12,9,10,9,13,21,24,12,7,0
池亀町,755,380,375,41,42,35,52,68,82,78,69,59,47,82,50,71,71,70,92,65,41,12,6,2
池田１丁目,2537,1234,1303,132,184,177,177,177,155,171,174,237,264,288,259,273,293,293,226,130,83,55,22,1
池田２丁目,2561,1246,1315,113,137,149,195,230,183,164,203,237,237,285,307,240,258,260,235,179,112,61,17,5
池田３丁目（北区）,1770,809,961,98,108,84,128,108,127,113,135,137,131,139,181,140,198,211,191,145,90,81,32,2
池田３丁目（西区）,658,361,297,26,33,28,45,83,56,50,64,71,53,63,56,95,67,46,71,58,35,16,3,0
池田４丁目,590,338,252,31,34,11,65,176,64,54,65,56,43,48,36,41,45,40,59,27,15,10,4,4
池上町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1110,463,647,33,52,47,52,57,70,73,84,80,69,124,116,172,132,87,126,83,58,45,8,5
出水２丁目,589,278,311,28,40,38,45,56,28,32,44,46,44,55,55,60,68,80,65,46,18,15,3,1
出水３丁目,1262,559,703,52,81,117,95,110,102,84,76,130,127,142,145,121,105,108,89,69,36,20,12,0
出水４丁目（中央区）,1272,610,662,76,112,99,149,91,71,80,111,111,131,165,136,131,95,71,108,70,45,22,8,0
出水４丁目（東区）,96,49,47,8,6,2,2,2,6,14,10,5,0,8,8,9,12,27,15,4,4,2,1,0
出水５丁目,1790,851,939,94,109,144,146,130,103,106,103,160,178,205,204,150,194,188,193,102,66,42,19,5
出水６丁目,3133,1486,1647,172,177,219,292,205,225,259,277,292,382,351,307,266,305,260,245,193,115,67,10,0
出水７丁目,2721,1252,1469,229,255,171,180,139,127,162,264,260,273,264,216,229,209,214,237,210,201,101,26,6
出水８丁目,1927,908,1019,88,171,180,136,128,103,129,167,179,198,180,141,172,229,194,144,119,90,73,14,0
和泉町,353,174,179,31,36,23,23,20,15,25,29,37,33,35,18,31,32,39,39,28,14,15,4,0
板屋町,13,6,7,3,1,0,0,0,0,3,0,2,0,2,1,0,2,0,4,0,1,0,0,0
出仲間１丁目,729,348,381,21,51,84,81,51,38,37,62,54,100,95,72,71,93,73,44,26,14,7,2,1
出仲間２丁目,521,231,290,35,32,42,54,27,34,38,35,42,62,45,49,35,45,44,53,29,31,8,9,3
出仲間３丁目,705,354,351,53,48,67,70,67,58,77,53,69,72,93,61,72,69,58,29,23,14,2,4,0
出仲間４丁目,1069,522,547,65,77,85,105,67,56,72,67,89,115,159,129,105,81,61,86,88,54,23,4,3
出仲間５丁目,651,317,334,31,42,55,68,64,48,46,49,52,68,86,118,74,48,35,32,23,20,6,3,0
出仲間６丁目,1094,508,586,75,64,72,82,103,120,128,100,83,123,97,112,95,93,103,73,33,27,13,4,2
出仲間７丁目,1038,464,574,61,81,88,110,61,63,59,91,93,100,97,103,103,101,98,75,56,26,24,12,0
出仲間８丁目,545,263,282,21,45,42,35,51,58,30,33,45,48,66,97,57,55,31,35,33,18,7,0,1
出仲間９丁目,364,186,178,27,23,24,30,82,74,42,34,35,52,32,20,16,18,15,17,4,4,0,1,0
今町,761,346,415,14,37,33,42,43,44,50,31,51,63,81,68,78,67,123,105,84,44,36,11,2
魚屋町１丁目,70,31,39,0,3,0,1,21,28,14,4,6,12,2,1,2,2,3,2,0,0,0,0,0
魚屋町２丁目,23,12,11,0,0,1,0,5,3,5,2,2,5,3,0,0,0,0,1,5,1,0,2,0
魚屋町３丁目,5,4,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,0,0,0,0,0
海路口町,263,133,130,21,17,23,16,29,25,18,23,26,24,21,39,34,21,15,22,11,5,5,1,0
薄場町,50,25,25,0,8,5,5,3,2,6,6,4,10,10,6,1,2,1,4,0,2,0,0,0
打越町,1590,763,827,72,92,115,88,96,119,121,106,135,169,170,137,146,144,213,183,118,59,47,23,0
内田町,1145,550,595,50,72,93,67,74,57,69,84,92,103,122,110,124,134,124,127,84,68,33,7,1
内坪井町,678,303,375,27,28,54,66,53,48,58,63,64,93,85,54,43,50,61,56,37,21,13,6,1
江越１丁目,820,416,404,65,30,38,54,89,102,106,83,66,89,115,116,91,73,41,39,19,12,7,0,1
江越２丁目,275,131,144,13,26,32,21,14,10,15,25,40,40,30,13,22,14,35,32,10,8,5,1,0
画図町大字上無田,8,5,3,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,5,0,0,0,0
画図町大字重富,2610,1219,1391,171,225,352,206,128,101,144,170,287,341,231,178,223,257,278,262,127,90,43,14,1
画図町大字下江津,13,6,7,0,1,2,1,0,0,4,0,3,0,0,0,1,2,0,3,0,1,1,0,0
画図町大字下無田,1390,669,721,140,161,132,98,71,84,154,188,140,140,116,77,86,74,136,126,63,44,22,6,1
画図町大字所島,929,443,486,71,84,92,95,60,40,59,90,81,89,92,65,74,76,108,81,42,31,25,12,5
江津１丁目,1227,567,660,57,54,60,76,92,77,78,84,126,89,136,120,137,160,118,102,102,63,48,13,2
江津２丁目（中央区）,83,37,46,3,7,5,6,1,6,3,10,5,1,9,16,11,8,4,8,11,4,2,0,0
江津２丁目（東区）,197,92,105,8,9,13,12,13,8,17,8,15,25,18,22,14,18,18,26,30,12,1,2,0
榎町,2091,1023,1068,90,164,197,142,152,115,132,135,184,209,237,204,204,227,223,204,150,81,46,13,5
大江１丁目,2165,1075,1090,75,77,103,123,346,250,150,168,198,185,241,224,199,230,219,192,135,56,47,19,3
大江２丁目,1577,791,786,111,178,160,120,128,119,122,167,191,204,157,131,134,111,97,96,57,58,20,4,3
大江３丁目,1964,936,1028,148,223,275,177,190,102,117,156,267,249,248,161,166,120,89,83,63,29,26,7,4
大江４丁目,1659,720,939,62,85,120,122,137,133,102,109,151,203,187,169,174,137,132,155,92,66,30,12,1
大江５丁目,727,326,401,19,23,39,61,74,52,50,42,57,46,96,107,96,52,85,70,36,34,7,6,1
大江６丁目,1717,762,955,65,87,177,168,153,130,85,91,137,241,267,211,161,122,125,94,84,42,25,11,3
大江本町,515,225,290,33,24,28,23,37,40,43,55,48,52,57,50,57,51,48,36,25,21,11,1,0
大窪１丁目,208,93,115,9,10,4,14,19,18,33,8,25,21,15,15,11,21,19,23,14,10,12,0,0
大窪２丁目,266,142,124,3,7,9,7,18,25,18,20,14,29,31,22,43,33,53,43,7,11,11,2,2
大窪３丁目,309,161,148,17,15,16,14,28,27,20,37,34,39,34,21,12,26,43,43,20,15,7,2,0
大窪４丁目,297,150,147,14,5,9,6,25,49,43,35,39,40,39,28,22,18,31,23,13,5,2,1,0
大窪５丁目,676,316,360,19,23,35,27,29,38,37,38,68,49,54,81,69,75,109,89,85,43,12,11,1
大鳥居町,184,93,91,7,11,17,4,8,3,14,19,14,13,12,15,19,30,30,19,17,7,10,8,0
岡田町,458,216,242,19,24,28,29,52,38,40,35,38,53,53,45,38,38,42,34,29,23,12,2,2
沖新町,1624,773,851,78,78,119,105,119,101,102,112,119,124,129,197,221,195,135,162,124,102,60,13,2
奥古閑町,837,411,426,57,84,53,64,52,79,67,73,92,64,80,97,80,94,85,51,27,27,17,3,2
小島上町,87,44,43,5,2,6,3,3,0,9,7,3,10,3,13,2,12,12,21,10,6,4,0,0
小島下町,525,267,258,14,25,32,35,35,21,25,30,43,58,35,44,57,65,84,77,50,35,19,8,0
尾ノ上１丁目,1793,837,956,104,93,139,112,146,124,119,149,156,221,222,158,170,162,171,174,92,65,42,10,1
尾ノ上２丁目,1373,635,738,46,76,119,122,93,76,81,108,133,122,136,131,167,204,170,94,52,53,21,3,1
尾ノ上３丁目,1153,491,662,62,60,63,75,79,60,71,91,91,127,103,119,146,146,117,97,59,31,34,11,2
尾ノ上４丁目,2296,1068,1228,97,95,170,181,185,163,210,202,208,221,292,264,267,194,173,161,153,69,39,18,2
帯山１丁目,2454,1111,1343,96,159,206,196,180,136,125,161,185,239,271,282,245,217,241,259,163,101,71,29,3
帯山２丁目,1623,753,870,126,100,103,138,121,132,168,163,142,182,171,168,157,136,119,86,79,43,29,12,1
帯山３丁目,2790,1322,1468,156,234,282,280,247,150,167,178,280,318,340,272,243,240,230,180,134,93,61,24,3
帯山４丁目（中央区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
