町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,664.0,315.0,349.0,26.0,41.0,21.0,38.0,36.0,55.0,36.0,44.0,34.0,34.0,41.0,73.0,40.0,41.0,36.0,23.0,17.0,16.0,10.0,2.0,0.0
秋津１丁目,746.0,342.0,404.0,48.0,37.0,38.0,46.0,57.0,48.0,54.0,52.0,58.0,47.0,43.0,44.0,32.0,40.0,35.0,24.0,19.0,10.0,9.0,4.0,1.0
秋津２丁目,911.0,426.0,485.0,50.0,51.0,60.0,71.0,57.0,48.0,65.0,48.0,69.0,73.0,67.0,61.0,34.0,33.0,47.0,41.0,21.0,9.0,4.0,2.0,0.0
秋津３丁目,700.0,340.0,360.0,62.0,44.0,41.0,32.0,35.0,58.0,67.0,59.0,47.0,43.0,39.0,51.0,40.0,28.0,16.0,19.0,9.0,8.0,2.0,0.0,0.0
秋津新町,128.0,54.0,74.0,2.0,5.0,8.0,4.0,6.0,5.0,7.0,3.0,12.0,5.0,14.0,13.0,7.0,8.0,7.0,7.0,6.0,5.0,4.0,0.0,0.0
秋津町秋田,2628.0,1215.0,1413.0,98.0,167.0,231.0,268.0,169.0,132.0,137.0,132.0,207.0,244.0,218.0,168.0,102.0,100.0,82.0,61.0,39.0,41.0,26.0,6.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1378.0,656.0,722.0,90.0,70.0,81.0,74.0,83.0,108.0,92.0,97.0,69.0,94.0,108.0,76.0,78.0,81.0,57.0,48.0,35.0,28.0,9.0,0.0,0.0
安政町,110.0,52.0,58.0,3.0,5.0,1.0,5.0,6.0,7.0,8.0,3.0,7.0,9.0,8.0,13.0,3.0,5.0,8.0,6.0,5.0,5.0,2.0,0.0,1.0
井川淵町,142.0,61.0,81.0,6.0,5.0,1.0,2.0,7.0,7.0,9.0,5.0,5.0,7.0,12.0,13.0,10.0,13.0,9.0,16.0,9.0,2.0,2.0,2.0,0.0
池亀町,756.0,396.0,360.0,19.0,16.0,38.0,55.0,76.0,49.0,30.0,29.0,45.0,50.0,60.0,69.0,56.0,45.0,39.0,30.0,26.0,21.0,3.0,0.0,0.0
池田１丁目,2849.0,1294.0,1555.0,133.0,166.0,179.0,142.0,172.0,163.0,186.0,211.0,218.0,209.0,195.0,189.0,133.0,124.0,150.0,130.0,69.0,43.0,24.0,12.0,1.0
池田２丁目,2590.0,1231.0,1359.0,116.0,126.0,103.0,140.0,215.0,164.0,154.0,144.0,139.0,147.0,178.0,187.0,174.0,151.0,164.0,143.0,82.0,46.0,12.0,4.0,1.0
池田３丁目,2800.0,1329.0,1471.0,100.0,118.0,123.0,161.0,197.0,144.0,146.0,156.0,147.0,161.0,185.0,210.0,199.0,173.0,223.0,170.0,98.0,59.0,19.0,10.0,1.0
池田４丁目,637.0,375.0,262.0,22.0,13.0,14.0,55.0,142.0,53.0,44.0,23.0,21.0,28.0,39.0,50.0,28.0,29.0,23.0,23.0,18.0,4.0,4.0,2.0,2.0
池上町,2577.0,1197.0,1380.0,100.0,135.0,144.0,192.0,159.0,116.0,152.0,154.0,165.0,215.0,177.0,205.0,157.0,130.0,127.0,100.0,77.0,45.0,22.0,5.0,0.0
石原町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
出水１丁目,1258.0,572.0,686.0,44.0,63.0,83.0,80.0,60.0,55.0,79.0,90.0,137.0,98.0,75.0,87.0,56.0,55.0,64.0,51.0,46.0,19.0,10.0,6.0,0.0
出水２丁目,624.0,274.0,350.0,30.0,28.0,36.0,40.0,33.0,30.0,39.0,41.0,42.0,48.0,60.0,55.0,30.0,21.0,22.0,32.0,21.0,10.0,5.0,1.0,0.0
出水３丁目,1303.0,597.0,706.0,46.0,61.0,62.0,65.0,81.0,89.0,101.0,102.0,83.0,108.0,91.0,78.0,84.0,60.0,57.0,60.0,43.0,23.0,8.0,1.0,0.0
出水４丁目,1526.0,733.0,793.0,66.0,91.0,96.0,89.0,85.0,76.0,109.0,126.0,131.0,117.0,87.0,99.0,94.0,75.0,73.0,48.0,40.0,19.0,3.0,1.0,1.0
出水５丁目,2015.0,966.0,1049.0,89.0,120.0,100.0,128.0,105.0,127.0,116.0,151.0,114.0,152.0,149.0,142.0,111.0,89.0,114.0,101.0,71.0,22.0,10.0,3.0,1.0
出水６丁目,3606.0,1747.0,1859.0,214.0,210.0,198.0,210.0,222.0,312.0,321.0,254.0,216.0,242.0,264.0,262.0,205.0,151.0,150.0,100.0,35.0,20.0,15.0,5.0,0.0
出水７丁目,2614.0,1219.0,1395.0,87.0,110.0,120.0,165.0,128.0,151.0,163.0,141.0,159.0,161.0,155.0,196.0,190.0,218.0,160.0,149.0,77.0,48.0,28.0,6.0,2.0
出水８丁目,1945.0,894.0,1051.0,98.0,89.0,128.0,120.0,110.0,95.0,138.0,110.0,124.0,150.0,148.0,103.0,115.0,92.0,130.0,84.0,68.0,29.0,12.0,2.0,0.0
和泉町,381.0,183.0,198.0,16.0,17.0,18.0,27.0,28.0,20.0,20.0,12.0,18.0,24.0,29.0,36.0,23.0,20.0,23.0,26.0,16.0,4.0,4.0,0.0,0.0
板屋町,28.0,14.0,14.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0
出仲間１丁目,746.0,359.0,387.0,41.0,46.0,47.0,56.0,61.0,66.0,56.0,45.0,59.0,62.0,73.0,41.0,22.0,22.0,14.0,12.0,16.0,6.0,0.0,1.0,0.0
出仲間２丁目,479.0,220.0,259.0,13.0,15.0,27.0,25.0,26.0,29.0,27.0,30.0,31.0,33.0,29.0,45.0,28.0,37.0,21.0,20.0,24.0,13.0,6.0,0.0,0.0
出仲間３丁目,711.0,349.0,362.0,68.0,46.0,43.0,46.0,50.0,80.0,77.0,53.0,53.0,47.0,51.0,34.0,25.0,12.0,7.0,8.0,4.0,4.0,2.0,1.0,0.0
出仲間４丁目,1103.0,526.0,577.0,87.0,82.0,67.0,48.0,50.0,83.0,103.0,92.0,76.0,61.0,56.0,58.0,70.0,72.0,45.0,23.0,12.0,13.0,5.0,0.0,0.0
出仲間５丁目,487.0,229.0,258.0,32.0,24.0,27.0,21.0,38.0,54.0,33.0,44.0,29.0,30.0,30.0,35.0,18.0,26.0,20.0,16.0,5.0,1.0,3.0,1.0,0.0
出仲間６丁目,1011.0,505.0,506.0,50.0,69.0,75.0,56.0,61.0,75.0,80.0,85.0,86.0,69.0,85.0,74.0,32.0,36.0,35.0,25.0,10.0,3.0,4.0,1.0,0.0
出仲間７丁目,1108.0,500.0,608.0,67.0,69.0,71.0,68.0,63.0,66.0,95.0,81.0,78.0,80.0,73.0,64.0,58.0,33.0,52.0,49.0,22.0,12.0,6.0,1.0,0.0
出仲間８丁目,582.0,285.0,297.0,39.0,51.0,31.0,19.0,29.0,50.0,48.0,63.0,40.0,38.0,24.0,27.0,38.0,32.0,25.0,8.0,6.0,10.0,2.0,2.0,0.0
出仲間９丁目,162.0,76.0,86.0,12.0,12.0,11.0,11.0,20.0,20.0,20.0,17.0,11.0,7.0,9.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
今町,296.0,135.0,161.0,9.0,12.0,16.0,7.0,10.0,16.0,18.0,23.0,18.0,16.0,19.0,26.0,22.0,27.0,20.0,15.0,11.0,5.0,6.0,0.0,0.0
魚屋町１丁目,16.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
魚屋町２丁目,25.0,10.0,15.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
魚屋町３丁目,66.0,35.0,31.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,4.0,2.0,4.0,1.0,8.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0
海路口町,2102.0,999.0,1103.0,77.0,90.0,95.0,118.0,135.0,82.0,107.0,115.0,125.0,164.0,141.0,143.0,146.0,145.0,156.0,120.0,68.0,53.0,19.0,3.0,0.0
薄場町,30.0,16.0,14.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
打越町,1853.0,896.0,957.0,92.0,85.0,96.0,115.0,105.0,119.0,135.0,114.0,106.0,113.0,144.0,136.0,120.0,103.0,103.0,81.0,51.0,17.0,11.0,5.0,2.0
