町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,689,332,357,28,22,37,43,54,31,37,29,34,49,72,34,46,41,34,28,35,23,9,3,0
秋津１丁目,585,278,307,13,23,37,39,40,41,28,34,45,43,39,33,45,38,30,23,13,12,8,1,0
秋津２丁目,835,402,433,38,45,66,64,47,78,33,58,64,66,58,40,35,46,44,24,13,9,7,0,0
秋津３丁目,611,299,312,45,37,38,33,36,57,55,32,45,42,50,41,31,17,20,12,12,8,0,0,0
秋津新町,145,69,76,3,8,7,11,8,4,3,14,6,20,13,5,11,8,6,8,6,4,0,0,0
秋津町秋田,2651,1229,1422,128,260,297,213,139,106,122,229,250,209,177,104,106,97,66,43,43,40,20,2,0
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,332,153,179,35,19,17,9,20,34,26,25,17,16,22,18,24,10,9,12,9,10,0,0,0
改寄町,1280,602,678,89,78,65,76,82,95,90,71,87,98,68,72,82,64,57,48,35,18,4,1,0
安政町,109,54,55,6,1,8,6,1,1,4,6,10,7,15,5,6,7,11,7,6,2,0,0,0
井川淵町,171,78,93,4,3,2,6,8,12,6,13,10,11,14,12,15,14,17,12,4,3,5,0,0
池亀町,819,436,383,19,38,43,60,113,41,26,45,48,57,66,61,51,42,36,35,28,7,3,0,0
池田１丁目,2625,1204,1421,124,130,135,164,215,154,177,205,176,191,190,125,136,152,141,82,65,43,15,5,0
池田２丁目,2512,1213,1299,82,100,109,164,260,151,103,121,142,157,190,182,168,180,173,117,71,29,10,3,0
池田３丁目,3025,1467,1558,136,124,170,178,259,176,184,148,169,190,208,206,182,239,194,117,73,47,21,3,1
池田４丁目,732,460,272,15,12,39,127,196,45,22,14,24,31,51,30,26,32,30,20,7,6,3,2,0
池上町,2625,1218,1407,124,142,212,184,143,176,142,175,210,187,197,152,132,136,116,90,54,34,18,1,0
石原町,1017,492,525,39,74,79,85,85,53,49,71,90,97,88,46,35,25,37,24,22,15,2,1,0
出水１丁目,1162,524,638,60,64,70,52,50,100,93,127,83,76,78,60,58,60,40,45,19,15,10,2,0
出水２丁目,574,257,317,28,29,36,41,43,27,33,38,44,61,39,29,27,21,33,22,12,6,5,0,0
出水３丁目,1391,644,747,66,77,81,87,97,99,110,93,112,102,78,82,66,69,68,52,28,18,6,0,0
出水４丁目,1590,771,819,96,118,91,100,86,120,128,157,116,97,105,93,81,68,57,40,24,8,2,3,0
出水５丁目,2010,950,1060,106,104,129,137,133,109,146,122,146,157,145,107,97,123,109,81,33,10,13,3,0
出水６丁目,3620,1769,1851,241,181,219,250,299,352,279,223,265,272,276,226,164,159,107,36,34,19,15,3,0
出水７丁目,2587,1215,1372,82,112,162,167,161,159,110,146,156,168,208,187,234,172,155,85,56,39,20,5,3
出水８丁目,1908,880,1028,95,116,126,131,93,145,95,120,152,149,118,122,89,133,88,75,36,19,3,2,1
和泉町,382,183,199,13,18,27,28,29,20,11,18,24,30,34,22,20,25,27,18,9,7,1,1,0
板屋町,35,13,22,0,2,0,3,3,1,2,0,1,1,5,3,1,2,4,5,1,1,0,0,0
出仲間１丁目,705,340,365,50,51,62,50,46,48,62,64,62,68,41,26,22,16,11,16,5,1,3,1,0
出仲間２丁目,481,211,270,17,23,24,30,29,28,28,25,37,32,45,28,40,23,24,24,13,7,2,2,0
出仲間３丁目,350,172,178,19,22,32,35,29,19,22,18,37,42,29,15,9,5,8,2,5,1,1,0,0
出仲間４丁目,764,357,407,37,40,49,48,45,46,48,43,58,52,61,65,66,48,24,12,13,6,3,0,0
出仲間５丁目,483,228,255,28,33,25,33,41,48,46,42,32,27,32,19,28,17,17,6,5,4,0,0,0
出仲間６丁目,944,468,476,75,59,52,68,74,77,75,76,73,82,72,34,33,38,28,14,7,6,1,0,0
出仲間７丁目,1125,514,611,72,84,74,76,65,67,85,91,97,83,72,55,40,56,53,25,14,11,5,0,0
出仲間８丁目,345,173,172,18,19,11,18,28,22,25,22,34,18,21,36,25,21,5,6,10,4,2,0,0
出仲間９丁目,150,79,71,16,16,12,5,10,14,28,17,7,10,5,6,2,0,1,1,0,0,0,0,0
今町,312,141,171,11,13,9,16,24,19,22,17,18,21,23,21,27,22,19,13,7,8,1,1,0
魚屋町１丁目,26,5,21,0,0,1,2,2,2,0,3,2,2,0,2,1,1,2,2,1,1,2,0,0
魚屋町２丁目,30,13,17,1,2,4,2,1,3,1,3,0,1,1,5,1,1,1,1,2,0,0,0,0
魚屋町３丁目,65,30,35,4,2,0,2,6,7,11,5,1,3,0,6,5,2,4,3,1,2,1,0,0
海路口町,2145,1028,1117,89,92,117,151,101,108,104,121,159,147,147,150,147,171,137,84,70,32,15,3,0
薄場町,1947,911,1036,110,104,139,121,115,117,150,120,125,126,152,90,97,112,129,63,49,20,5,3,0
打越町,1886,902,984,90,94,117,116,126,140,115,123,123,151,141,123,104,112,87,62,29,19,8,5,1
内田町,1311,644,667,50,68,79,70,76,76,75,76,106,86,111,80,92,85,65,58,33,14,10,0,1
内坪井町,696,287,409,31,19,17,44,48,51,42,41,48,52,62,47,41,48,42,31,16,12,3,1,0
江越１丁目,587,293,294,80,48,24,24,32,77,101,66,37,18,23,15,10,11,12,6,3,0,0,0,0
江越２丁目,279,133,146,36,16,17,14,12,44,49,25,14,16,10,8,2,8,1,5,2,0,0,0,0
画図町大字上無田,771,364,407,42,42,46,54,58,59,49,42,49,53,75,43,36,35,19,26,24,10,9,0,0
画図町大字重富,1401,707,694,53,111,130,121,73,59,60,115,145,139,114,72,62,42,40,25,19,14,4,2,1
