人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,649,311,338,36,20,57,83,76,42,39,39,64,69,82,52,67,57,47,54,44,19,11,2,0
秋津１丁目,625,306,319,22,37,73,53,94,82,38,61,84,58,56,54,62,53,29,29,19,18,9,0,0
秋津２丁目,809,371,438,58,76,86,94,75,82,43,83,97,111,62,53,55,73,67,28,16,17,3,1,0
秋津３丁目,553,269,284,58,48,42,54,62,81,58,55,43,78,55,59,36,34,16,21,12,9,1,0,0
秋津新町,149,73,76,12,17,15,14,4,7,9,21,7,35,16,3,18,15,8,8,8,5,0,0,0
秋津町秋田,2584,1240,1344,268,455,436,288,155,146,241,363,350,331,208,146,138,131,60,51,35,17,5,0,0
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,279,125,154,34,19,17,20,29,36,24,31,16,32,24,29,34,12,14,15,12,5,0,1,0
改寄町,1227,570,657,130,83,113,117,128,109,136,113,125,135,97,97,108,107,68,61,50,12,8,0,0
安政町,111,53,58,3,2,13,8,0,3,6,17,12,22,14,7,8,7,21,9,6,4,0,2,0
井川淵町,178,87,91,2,7,8,11,23,18,14,17,11,17,23,19,22,16,31,14,2,7,3,0,0
池亀町,832,444,388,53,53,67,90,216,64,47,61,79,105,98,75,73,59,54,42,29,8,3,0,0
池田１丁目,2625,1220,1405,203,180,224,258,336,214,298,246,281,299,228,176,207,227,186,115,79,68,12,7,1
池田２丁目,3069,1507,1562,198,196,263,314,506,289,242,234,243,337,267,287,287,357,233,147,95,56,21,2,2
池田４丁目,773,512,261,18,26,78,280,389,57,23,30,37,59,69,44,52,32,43,22,11,11,3,1,0
池上町,2634,1217,1417,167,232,371,240,258,248,226,246,301,285,276,201,208,185,168,97,76,52,14,0,0
石原町,1015,490,525,82,101,130,128,123,90,95,100,149,163,79,75,58,45,31,26,17,12,1,0,0
出水１丁目,1131,508,623,103,100,82,73,95,129,157,161,102,128,81,84,85,70,65,50,29,29,16,0,0
出水２丁目,530,240,290,33,31,47,60,48,35,53,60,67,73,49,44,37,35,45,24,14,11,4,0,0
出水３丁目,1550,742,808,124,169,148,161,154,182,166,179,170,191,135,129,125,93,73,55,21,12,2,2,1
出水５丁目,1989,963,1026,140,177,185,200,227,154,206,188,235,284,161,141,166,154,159,90,47,24,12,2,0
出水６丁目,3537,1708,1829,347,283,377,409,405,486,397,394,401,437,327,257,261,203,127,59,33,32,8,2,0
出水７丁目,2515,1204,1311,132,188,244,271,280,208,167,197,230,298,290,258,326,279,168,88,61,23,10,1,0
出水８丁目,1833,854,979,142,153,192,184,140,165,150,177,218,183,195,151,147,184,154,75,43,20,10,4,0
和泉町,398,189,209,15,34,59,38,45,22,21,27,52,49,37,32,29,44,41,13,18,8,2,1,0
板屋町,34,14,20,1,2,0,6,4,2,1,0,3,6,3,1,2,4,4,5,2,2,0,0,0
出仲間１丁目,704,354,350,79,84,92,92,65,93,96,101,108,83,42,32,25,23,18,14,5,0,6,0,0
出仲間２丁目,509,228,281,40,37,44,38,40,54,47,43,46,46,59,51,44,45,39,32,17,8,4,3,0
出仲間３丁目,341,168,173,29,27,58,44,51,31,25,33,48,56,39,21,11,8,10,9,3,6,0,0,0
出仲間４丁目,783,372,411,53,68,80,76,91,83,64,52,84,97,82,109,82,57,28,18,20,5,6,0,0
出仲間５丁目,454,216,238,42,45,38,42,54,76,57,50,54,51,34,24,42,26,16,8,7,4,0,0,0
出仲間６丁目,926,449,477,120,93,98,112,91,97,106,108,118,145,77,50,50,47,34,15,7,4,3,0,0
出仲間７丁目,1122,505,617,110,122,113,122,79,112,119,145,133,130,85,63,74,76,66,32,24,19,3,0,0
出仲間８丁目,346,166,180,25,28,20,30,33,33,34,50,46,27,39,44,38,22,7,14,14,7,1,0,0
出仲間９丁目,135,72,63,30,25,6,9,15,26,40,9,11,14,8,7,2,0,4,1,0,0,0,0,0
今町,320,141,179,16,24,21,26,32,22,32,31,27,28,39,38,31,26,29,14,13,8,3,1,0
魚屋町１丁目,30,7,23,0,0,3,3,2,3,3,2,1,3,3,0,2,2,4,0,3,2,1,0,0
魚屋町２丁目,33,16,17,2,3,9,0,4,1,2,5,0,2,5,4,2,2,2,1,5,0,0,0,0
魚屋町３丁目,68,39,29,7,0,2,6,10,26,16,7,1,3,4,4,6,2,10,0,1,2,0,0,0
海路口町,2136,1023,1113,118,148,227,173,182,141,176,190,231,249,193,207,257,227,191,102,78,54,10,4,1
薄場町,1952,910,1042,176,180,187,199,166,203,213,177,194,216,184,129,143,168,158,85,46,28,7,3,0
