町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,632,302,330,24,28,34,18,29,28,46,40,37,45,31,43,71,35,41,27,21,15,13,5,1
秋津１丁目,785,367,418,34,45,42,40,57,54,45,58,50,68,60,40,48,32,33,26,21,19,10,3,0
秋津２丁目,986,468,518,58,74,58,68,51,53,72,77,64,82,70,62,50,27,38,44,24,9,3,2,0
秋津３丁目,699,332,367,55,59,42,33,27,36,71,53,52,44,37,42,46,43,20,13,14,6,5,1,0
秋津新町,110,48,62,0,1,6,7,4,5,3,5,4,11,5,15,7,6,8,6,8,4,4,1,0
秋津町秋田,2513,1144,1369,78,138,166,225,179,120,118,133,148,217,211,208,154,111,101,74,52,40,24,12,4
秋津町沼山津,13,5,8,0,0,0,1,4,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1383,646,737,85,62,73,80,73,91,115,85,91,75,96,109,71,79,74,50,33,23,17,1,0
安政町,115,48,67,3,3,4,1,8,6,7,10,4,5,12,10,11,5,3,7,4,6,4,2,0
井川淵町,150,63,87,9,6,5,2,5,11,13,12,6,8,8,11,10,8,14,5,12,4,1,0,0
池亀町,670,342,328,15,17,20,44,58,30,33,24,29,41,50,67,66,48,43,36,21,19,7,2,0
池田１丁目,2837,1313,1524,125,149,192,160,138,140,167,201,209,228,199,207,162,117,116,136,104,51,23,11,2
池田２丁目,2614,1243,1371,96,140,137,114,171,139,144,169,165,136,162,195,181,173,157,141,111,58,18,7,0
池田３丁目,2667,1263,1404,75,93,116,124,185,136,125,130,150,160,153,212,202,196,175,200,125,79,27,3,1
池田４丁目,572,318,254,20,17,14,37,98,51,41,34,24,18,25,46,44,27,25,18,19,10,1,2,1
池上町,237,106,131,12,5,8,13,22,24,25,10,7,13,27,18,20,8,6,7,8,2,2,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1293,597,696,41,60,77,83,95,49,66,84,105,143,84,68,86,52,55,68,36,31,6,3,1
出水２丁目,609,273,336,24,30,33,33,25,29,34,49,38,37,49,56,50,30,16,25,31,13,5,2,0
出水３丁目,1341,603,738,66,67,85,58,70,78,98,98,120,75,109,88,70,66,51,54,47,32,7,2,0
出水４丁目,1519,733,786,66,87,86,95,90,85,90,110,127,111,106,90,89,79,63,63,39,33,8,1,1
出水５丁目,1940,924,1016,67,93,127,92,108,84,135,112,160,124,144,143,117,105,91,95,89,41,9,4,0
出水６丁目,3608,1712,1896,199,197,215,192,196,265,310,280,253,211,235,271,226,181,135,116,77,26,17,5,1
出水７丁目,2590,1200,1390,102,92,104,138,128,148,158,153,134,169,145,165,181,191,206,146,122,64,27,15,2
出水８丁目,1858,838,1020,77,91,92,121,107,93,100,101,113,127,157,125,123,97,92,119,66,39,16,2,0
和泉町,372,189,183,10,20,17,18,32,14,20,17,14,21,26,35,34,17,21,24,24,6,2,0,0
板屋町,23,11,12,0,0,0,2,0,3,1,0,1,0,2,3,2,0,1,1,3,3,1,0,0
出仲間１丁目,690,332,358,48,28,40,43,46,45,59,42,42,59,64,60,36,18,20,13,11,13,3,0,0
出仲間２丁目,444,198,246,16,9,20,23,22,36,21,24,23,28,27,32,33,35,29,23,17,19,7,0,0
出仲間３丁目,798,397,401,93,57,49,37,52,79,98,64,52,51,42,46,25,19,11,7,9,5,2,0,0
