町丁名,年度,変化率(%),変化タイプ,変化の大きさ,原因
田迎町大字田井島,2001,-40.0,大幅減少,40.0,
飛田町,1999,-43.13725490196079,大幅減少,43.13725490196079,
三郎１丁目,2013,-46.59357870007831,大幅減少,46.59357870007831,
八島町,2006,-50.40650406504065,大幅減少,50.40650406504065,
春日３丁目,2010,-55.00000000000001,大幅減少,55.00000000000001,
下硯川町,2011,-58.54309687261632,大幅減少,58.54309687261632,
横手３丁目,2013,-66.11842105263158,大幅減少,66.11842105263158,
世安町,2022,-70.10309278350515,大幅減少,70.10309278350515,
小島下町,2008,-72.04385277995301,大幅減少,72.04385277995301,
平成１丁目,2013,-78.46410684474124,大幅減少,78.46410684474124,
湖東１丁目,2013,-82.92682926829268,大幅減少,82.92682926829268,
小島上町,2008,-85.05154639175258,大幅減少,85.05154639175258,
鶴羽田町,2010,-86.39303482587066,大幅減少,86.39303482587066,
黒髪７丁目,2013,-87.48353096179183,大幅減少,87.48353096179183,
近見町,2001,-90.16018306636155,大幅減少,90.16018306636155,
東京塚町,2013,-90.72265625,大幅減少,90.72265625,
小山町,2004,-91.41075604053,大幅減少,91.41075604053,
田迎町大字田井島,2000,-95.26184538653366,大幅減少,95.26184538653366,
神水本町,2013,-95.29761904761904,大幅減少,95.29761904761904,
江津２丁目,2013,-95.6479217603912,大幅減少,95.6479217603912,
徳王町,2009,-95.79918032786884,大幅減少,95.79918032786884,
戸島町,2003,-98.27044025157232,大幅減少,98.27044025157232,
薄場町,2001,-98.30508474576273,大幅減少,98.30508474576273,
