year,exp,macro,inertia,other,delta_noexp,exp_terms
2026,0.0,4.63596275760843,-4.106748068344519,11.17605757227408,11.705272261537992,0.0
2027,0.0,4.63596275760843,-4.106748068344519,11.17605757227408,11.705272261537992,0.0
2028,0.0,4.63596275760843,-4.106748068344519,11.17605757227408,11.705272261537992,0.0
