town,year,exp_all_h1,exp_all_h2,exp_all_h3,era_post2022,exp_all_h1_post2022,exp_all_h2_post2022,exp_all_h3_post2022,pop_total,male,female,city_pop,city_growth_log,town_ma5,town_std5,town_trend5,lag_d1,lag_d2,ma2_delta,foreign_population,foreign_change,foreign_pct_change,foreign_log,era_covid,era_pre2013,era_post2009,era_post2013,foreign_population_covid,foreign_population_post2022,foreign_change_covid,foreign_change_post2022,foreign_pct_change_covid,foreign_pct_change_post2022,foreign_log_covid,foreign_log_post2022,exp_all_h1_covid,exp_all_h1_pre2013,exp_all_h1_post2009,exp_all_h1_post2013,exp_all_h2_covid,exp_all_h2_pre2013,exp_all_h2_post2009,exp_all_h2_post2013,exp_all_h3_covid,exp_all_h3_pre2013,exp_all_h3_post2009,exp_all_h3_post2013,macro_delta,macro_ma3,macro_shock,macro_excl,foreign_ma3,foreign_ma3_covid,foreign_ma3_post2022
上水前寺2丁目,2026,0.0,0.0,0.0,1,0.0,0.0,0.0,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,4.999999999998813,-21.0,26.0,2.5,,,,,0,0,1,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
上水前寺2丁目,2027,0.0,0.0,0.0,1,0.0,0.0,0.0,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,4.999999999998813,-21.0,26.0,2.5,,,,,0,0,1,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
上水前寺2丁目,2028,0.0,0.0,0.0,1,0.0,0.0,0.0,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,4.999999999998813,-21.0,26.0,2.5,,,,,0,0,1,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
