year,delta_noexp,exp_terms,exp,macro,inertia,other
2026,6.562401475492291,0.0,0.0,0.0,0.018924216465600274,6.543477259026691
2027,6.562401475492291,0.0,0.0,0.0,0.018924216465600274,6.543477259026691
2028,6.562401475492291,0.0,0.0,0.0,0.018924216465600274,6.543477259026691
