町丁名,年度,事象タイプ,信頼度,タイトル,URL,公開日,ソース,スニペット,一致キーワード,時間差,地名一致度,人口変化率,変化タイプ
慶徳堀町,2013,住宅,0.95,分譲マンション「エイルマンション慶徳イクシオ」竣工,,,エイルの仲介情報,分譲マンション「エイルマンション慶徳イクシオ」竣工,"エバーライフ, アンピール, 竣工, 新築工事, 分譲, 集合住宅, マンション, プラーノウエスト, 完成, 大型",0,1.0,775.0,激増
総数,2006,住宅,0.72,熊本県住宅マスタープラン,https://www.pref.kumamoto.jp/uploaded/attachment/173532.pdf,,自治体,住宅総数が総世帯数を上回る状況となり、公営住宅の整備目標を「量的供. 給 ... 吉住 和征 氏（熊本市都市建設局 住宅部長）. ※50 音順、敬称略. 【開催実績】. 第 1 ...,"建設, 整備",0,1.0,437.3239436619718,激増
総数,2006,住宅,0.72,本市のマンションを取りまく現状と課題 - 横浜市,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/jutaku/shiryo/fuzoku/juseishin/juseishin7.files/0023_20210603.pdf,,自治体,"熊本市. 1－2．市内のマンション⼾数 ③他都市⽐較. （横浜市）マンション居住率は ... 注 ︓持ち家・共同住宅総数のうち世帯主年齢不詳を除く399,600世帯のうちの割合.","マンション, 共同住宅",0,1.0,437.3239436619718,激増
