event_var,beta,se,pval,ci_low,ci_high,beta_t,beta_t1,gamma0,gamma1,n_obs,r2_within
housing_inc,-1.596579408464441,0.14142135623730953,0.0,-1.8737652666895677,-1.3193935502393142,-0.798289704269513,-0.798289704194928,1.0,0.0,177,0.892909029283166
housing_dec,60.17784650000068,0.14142135623730953,0.0,59.90066064177556,60.45503235822581,30.088923250000626,30.088923250000057,0.5000000000000048,0.4999999999999953,177,0.892909029283166
commercial_inc,4.2946770771347715,0.14142135623730953,0.0,4.017491218909645,4.571862935359898,2.147338538574873,2.1473385385598984,0.5000000000017434,0.4999999999982566,177,0.892909029283166
transit_inc,-3.0483845459599177,0.14142135623730953,0.0,-3.3255704041850445,-2.771198687734791,0.0,-3.0483845459599177,1.0,0.0,177,0.892909029283166
transit_dec,-76.50518091616586,0.14142135623730953,0.0,-76.78236677439098,-76.22799505794073,-75.16676496385273,-1.3384159523131256,1.0,0.0,177,0.892909029283166
public_edu_medical_inc,65.98286114912622,0.14142135623730953,0.0,65.7056752909011,66.26004700735135,0.0,65.98286114912622,0.0,1.0,177,0.892909029283166
public_edu_medical_dec,0.0,0.14142135623730953,1.0,-0.2771858582251267,0.2771858582251267,0.0,0.0,1.0,0.0,177,0.892909029283166
employment_inc,8.22988590437249,0.14142135623730953,0.0,7.9527000461473625,8.507071762597615,0.0,8.22988590437249,0.0,1.0,177,0.892909029283166
disaster_inc,38.000410622966186,0.14142135623730953,0.0,37.72322476474106,38.27759648119131,38.000410622966186,0.0,1.0,0.0,177,0.892909029283166
disaster_dec,-54.860615770486135,0.14142135623730953,0.0,-55.13780162871126,-54.58342991226101,-54.860615770486135,0.0,1.0,0.0,177,0.892909029283166
